policy,family,budget_words,tv_mismatch,js_mismatch,v_anticipation,lo,hi,n,harmful,helpful
oracle_exact,oracle_exact,40,,,0.35742187499999983,0.32252604166666654,0.39921874999999984,64,False,True
oracle_exact,oracle_exact,80,,,0.040364583333333266,-0.02944335937500002,0.10937499999999993,64,False,False
pointer__sigma0p5,pointer,40,0.45,0.1788510987426215,0.8917968749999998,0.8427083333333332,0.9424479166666666,64,False,True
pointer__sigma0p5,pointer,80,0.45,0.1788510987426215,0.5946614583333333,0.5338541666666666,0.6569042968750001,64,False,True
pointer__sigma1,pointer,40,0.9,0.7582766571931676,0.8951822916666665,0.8377539062499999,0.9557291666666665,64,False,True
pointer__sigma1,pointer,80,0.9,0.7582766571931676,0.5606770833333332,0.4800748697916666,0.6385514322916666,64,False,True
pointer__tau0,pointer,40,0.0,0.0,0.89453125,0.8412727864583333,0.9489648437499999,64,False,True
pointer__tau0,pointer,80,0.0,0.0,0.5919270833333333,0.5307291666666667,0.6540397135416667,64,False,True
pointer__tau0p5,pointer,40,0.22499999999999998,0.03805118115463712,0.8941406249999999,0.8408821614583332,0.9489583333333331,64,False,True
pointer__tau0p5,pointer,80,0.22499999999999998,0.03805118115463712,0.5946614583333333,0.5338541666666666,0.6569042968750001,64,False,True
pointer__tau1,pointer,40,0.44999999999999996,0.15191136719789716,0.8734374999999999,0.8098925781249999,0.9372395833333331,64,False,True
pointer__tau1,pointer,80,0.44999999999999996,0.15191136719789716,0.5946614583333333,0.5338541666666666,0.6569042968750001,64,False,True
preserve__sigma0p5,preserve,40,0.45,0.1788510987426215,0.04661458333333325,-0.020315755208333387,0.11159179687499989,64,False,False
preserve__sigma0p5,preserve,80,0.45,0.1788510987426215,0.05403645833333329,0.014973958333333311,0.09700520833333329,64,False,True
preserve__sigma1,preserve,40,0.9,0.7582766571931676,0.04088541666666657,-0.006119791666666758,0.08880208333333323,64,False,False
preserve__sigma1,preserve,80,0.9,0.7582766571931676,-0.236328125,-0.30273763020833333,-0.17069661458333338,64,True,False
preserve__tau0,preserve,40,0.0,0.0,0.32447916666666654,0.2813769531249999,0.3748763020833331,64,False,True
preserve__tau0,preserve,80,0.0,0.0,0.11419270833333321,0.05234374999999988,0.16914062499999988,64,False,True
preserve__tau0p5,preserve,40,0.22499999999999998,0.03805118115463712,0.19856770833333323,0.14075520833333327,0.26953450520833316,64,False,True
preserve__tau0p5,preserve,80,0.22499999999999998,0.03805118115463712,0.05507812499999993,-0.014322916666666737,0.11471679687499986,64,False,False
preserve__tau1,preserve,40,0.44999999999999996,0.15191136719789716,0.0,0.0,0.0,64,False,False
preserve__tau1,preserve,80,0.44999999999999996,0.15191136719789716,3.469446951953614e-18,-0.008203124999999992,0.008203125000000002,64,False,False
retrieval_only,retrieval_only,40,,,0.8747395833333333,0.834501953125,0.9145865885416666,64,False,True
retrieval_only,retrieval_only,80,,,0.5552083333333333,0.4746061197916666,0.6346386718750001,64,False,True
static_conditioned,static_conditioned,40,,,0.015755208333333336,-0.0023437499999999917,0.049609375,64,False,False
static_conditioned,static_conditioned,80,,,-0.3095052083333333,-0.37630208333333326,-0.24270507812499997,64,True,False
uncertainty_aware__tau0,uncertainty_aware,40,0.0,0.0,0.3272135416666665,0.28306966145833323,0.37786783854166645,64,False,True
uncertainty_aware__tau0,uncertainty_aware,80,0.0,0.0,0.11471354166666656,0.0528613281249999,0.16940104166666653,64,False,True
uncertainty_aware__tau1,uncertainty_aware,40,0.44999999999999996,0.15191136719789716,0.8752604166666667,0.8347623697916665,0.9154947916666667,64,False,True
uncertainty_aware__tau1,uncertainty_aware,80,0.44999999999999996,0.15191136719789716,0.5546875,0.473173828125,0.6346386718750001,64,False,True
