source,policy,budget_words,n_rotations,u_now,u_future,c_context,c_retrieval,cost,future_distribution
exp11,split__l0,40,64,1.0,0.09374999999999999,35.734375,0.0,35.734375,empirical_cells
exp11,split__l0p333,40,64,1.0,0.14375,36.96875,0.0,36.96875,empirical_cells
exp11,split__l1,40,64,1.0,0.15729166666666664,36.3125,0.0,36.3125,empirical_cells
exp11,split__l3,40,64,0.96875,0.19791666666666666,37.515625,0.0,37.515625,empirical_cells
exp11,split__linf,40,64,0.21875,0.18854166666666666,37.203125,0.0,37.203125,empirical_cells
exp12,blind,40,64,0.875,0.06666666666666667,13.921875,0.0,13.921875,empirical_cells
exp12,oracle_exact,40,64,0.890625,0.1958333333333333,32.046875,0.0,32.046875,empirical_cells
exp12,pointer__sigma0p5,40,64,0.890625,0.915625,38.015625,55.45703125,65.744140625,empirical_cells
exp12,pointer__sigma1,40,64,0.90625,0.9083333333333334,27.3125,55.45703125,55.041015625,empirical_cells
exp12,pointer__tau0,40,64,0.890625,0.9166666666666667,38.015625,55.45703125,65.744140625,empirical_cells
exp12,pointer__tau0p5,40,64,0.890625,0.915625,38.015625,55.45703125,65.744140625,empirical_cells
exp12,pointer__tau1,40,64,0.875,0.9145833333333333,38.015625,55.45703125,65.744140625,empirical_cells
exp12,preserve__sigma0p5,40,64,0.84375,0.175,26.75,0.0,26.75,empirical_cells
exp12,preserve__sigma1,40,64,0.875,0.18229166666666663,35.0,0.0,35.0,empirical_cells
exp12,preserve__tau0,40,64,0.890625,0.18333333333333332,27.546875,0.0,27.546875,empirical_cells
exp12,preserve__tau0p5,40,64,0.890625,0.13541666666666666,22.15625,0.0,22.15625,empirical_cells
exp12,preserve__tau1,40,64,0.875,0.06666666666666667,13.921875,0.0,13.921875,empirical_cells
exp12,retrieval_only,40,64,0.890625,0.9020833333333333,13.796875,55.45703125,41.525390625,empirical_cells
exp12,static_conditioned,40,64,0.890625,0.06666666666666667,14.125,0.0,14.125,empirical_cells
exp12,uncertainty_aware__tau0,40,64,0.890625,0.18437499999999998,27.546875,0.0,27.546875,empirical_cells
exp12,uncertainty_aware__tau1,40,64,0.890625,0.9031250000000001,13.796875,55.45703125,41.525390625,empirical_cells
exp11,split__l0,80,64,0.984375,0.14270833333333333,73.5625,0.0,73.5625,empirical_cells
exp11,split__l0p333,80,64,0.984375,0.20833333333333331,71.5625,0.0,71.5625,empirical_cells
exp11,split__l1,80,64,1.0,0.26875,71.96875,0.0,71.96875,empirical_cells
exp11,split__l3,80,64,1.0,0.284375,72.6875,0.0,72.6875,empirical_cells
exp11,split__linf,80,64,0.109375,0.2989583333333334,75.203125,0.0,75.203125,empirical_cells
exp12,blind,80,64,1.0,0.3572916666666667,66.140625,0.0,66.140625,empirical_cells
exp12,oracle_exact,80,64,0.984375,0.20520833333333333,56.640625,0.0,56.640625,empirical_cells
exp12,pointer__sigma0p5,80,64,1.0,0.9302083333333333,77.34375,55.453125,105.0703125,empirical_cells
exp12,pointer__sigma1,80,64,0.984375,0.9187500000000001,41.09375,55.453125,68.8203125,empirical_cells
exp12,pointer__tau0,80,64,1.0,0.9291666666666667,77.34375,55.453125,105.0703125,empirical_cells
exp12,pointer__tau0p5,80,64,1.0,0.9302083333333333,77.34375,55.453125,105.0703125,empirical_cells
exp12,pointer__tau1,80,64,1.0,0.9302083333333333,77.34375,55.453125,105.0703125,empirical_cells
exp12,preserve__sigma0p5,80,64,1.0,0.3125,65.03125,0.0,65.03125,empirical_cells
exp12,preserve__sigma1,80,64,0.984375,0.25,73.734375,0.0,73.734375,empirical_cells
exp12,preserve__tau0,80,64,0.984375,0.2333333333333333,59.921875,0.0,59.921875,empirical_cells
exp12,preserve__tau0p5,80,64,0.984375,0.23645833333333333,50.5,0.0,50.5,empirical_cells
exp12,preserve__tau1,80,64,1.0,0.3572916666666667,66.140625,0.0,66.140625,empirical_cells
exp12,retrieval_only,80,64,0.984375,0.9104166666666667,27.578125,55.453125,55.3046875,empirical_cells
exp12,static_conditioned,80,64,0.984375,0.071875,27.578125,0.0,27.578125,empirical_cells
exp12,uncertainty_aware__tau0,80,64,0.984375,0.23437499999999997,59.921875,0.0,59.921875,empirical_cells
exp12,uncertainty_aware__tau1,80,64,0.984375,0.909375,27.578125,55.453125,55.3046875,empirical_cells
exp11,split__l0,40,64,1.0,0.30859375,35.734375,0.0,35.734375,relation_balanced
exp11,split__l0p333,40,64,1.0,0.31705729166666663,36.96875,0.0,36.96875,relation_balanced
exp11,split__l1,40,64,1.0,0.3141276041666667,36.3125,0.0,36.3125,relation_balanced
exp11,split__l3,40,64,0.96875,0.3053385416666667,37.515625,0.0,37.515625,relation_balanced
exp11,split__linf,40,64,0.21875,0.16634114583333331,37.203125,0.0,37.203125,relation_balanced
exp12,blind,40,64,0.875,0.22493489583333331,13.921875,0.0,13.921875,relation_balanced
