budget_words,policy,family,tv_mismatch,u_now,u_future,cost_norm,x_net_of_cost,on_pareto_front,wins_at_lambda
40,blind,blind,,0.875,0.037109,0.193864,0.681136,False,
40,oracle_exact,oracle_exact,,0.890625,0.378906,0.446258,0.444367,True,
40,pointer__sigma0p5,pointer,0.45,0.890625,0.913281,0.915497,-0.024872,False,
40,pointer__sigma1,pointer,0.9,0.90625,0.901042,0.766455,0.139795,True,
40,pointer__tau0,pointer,0.0,0.890625,0.916016,0.915497,-0.024872,True,
40,pointer__tau0p5,pointer,0.22499999999999998,0.890625,0.915625,0.915497,-0.024872,False,
40,pointer__tau1,pointer,0.44999999999999996,0.875,0.910547,0.915497,-0.040497,False,
40,preserve__sigma0p5,preserve,0.45,0.84375,0.114974,0.372498,0.471252,False,
40,preserve__sigma1,preserve,0.9,0.875,0.077995,0.48738,0.38762,False,
40,preserve__tau0,preserve,0.0,0.890625,0.345964,0.383594,0.507031,False,
40,preserve__tau0p5,preserve,0.22499999999999998,0.890625,0.220052,0.308529,0.582096,True,
40,preserve__tau1,preserve,0.44999999999999996,0.875,0.037109,0.193864,0.681136,False,
40,retrieval_only,retrieval_only,,0.890625,0.896224,0.578247,0.312378,False,
40,static_conditioned,static_conditioned,,0.890625,0.03724,0.196693,0.693932,True,0.0;0.25
40,uncertainty_aware__tau0,uncertainty_aware,0.0,0.890625,0.348698,0.383594,0.507031,True,
40,uncertainty_aware__tau1,uncertainty_aware,0.44999999999999996,0.890625,0.896745,0.578247,0.312378,True,0.5;1.0;2.0;4.0;8.0
80,blind,blind,,1.0,0.329427,0.589226,0.410774,False,
80,oracle_exact,oracle_exact,,0.984375,0.385417,0.504594,0.479781,False,
80,pointer__sigma0p5,pointer,0.45,1.0,0.924089,0.936038,0.063962,True,
80,pointer__sigma1,pointer,0.9,0.984375,0.905729,0.613099,0.371276,True,
80,pointer__tau0,pointer,0.0,1.0,0.921354,0.936038,0.063962,False,
80,pointer__tau0p5,pointer,0.22499999999999998,1.0,0.924089,0.936038,0.063962,True,
80,pointer__tau1,pointer,0.44999999999999996,1.0,0.924089,0.936038,0.063962,True,
80,preserve__sigma0p5,preserve,0.45,1.0,0.383464,0.579343,0.420657,False,
80,preserve__sigma1,preserve,0.9,0.984375,0.108724,0.656876,0.327499,False,
80,preserve__tau0,preserve,0.0,0.984375,0.459245,0.533825,0.45055,False,
80,preserve__tau0p5,preserve,0.22499999999999998,0.984375,0.40013,0.449889,0.534486,True,
80,preserve__tau1,preserve,0.44999999999999996,1.0,0.329427,0.589226,0.410774,False,
80,retrieval_only,retrieval_only,,0.984375,0.90026,0.492692,0.491683,True,0.5;1.0;2.0;4.0;8.0
80,static_conditioned,static_conditioned,,0.984375,0.035547,0.245685,0.73869,True,0.0;0.25
80,uncertainty_aware__tau0,uncertainty_aware,0.0,0.984375,0.459766,0.533825,0.45055,False,
80,uncertainty_aware__tau1,uncertainty_aware,0.44999999999999996,0.984375,0.89974,0.492692,0.491683,False,
