policy,family,budget_words,n_rotations,u_now,u_now_lo,u_now_hi,u_future,u_future_lo,u_future_hi,utility,utility_lo,utility_hi,tv_mismatch,js_mismatch,p_hat_entropy,c_context,c_retrieval,cost,retrieval_rate,n_pointer,n_externalize,n_compress
blind,blind,40,64,0.875,0.796875,0.9375,0.037109375,0.029817708333333335,0.04596354166666666,0.912109375,0.8287760416666667,0.984375,,,,13.921875,0.0,13.921875,0.0,0.0,0.0,0.953125
blind,blind,80,64,1.0,1.0,1.0,0.32942708333333337,0.2694010416666667,0.38569010416666655,1.3294270833333335,1.2694010416666668,1.3856901041666665,,,,66.140625,0.0,66.140625,0.0,0.0,0.0,3.34375
oracle_exact,oracle_exact,40,64,0.890625,0.8125,0.953125,0.37890624999999994,0.356640625,0.39908854166666663,1.2695312499999998,1.1786425781249998,1.3488281249999998,,,,32.046875,0.0,32.046875,0.0,0.0,0.0,1.5625
oracle_exact,oracle_exact,80,64,0.984375,0.953125,1.0,0.38541666666666663,0.37473958333333335,0.3963541666666666,1.3697916666666665,1.3290364583333332,1.3951822916666665,,,,56.640625,0.0,56.640625,0.0,0.0,0.0,0.0625
pointer__sigma0p5,pointer,40,64,0.890625,0.8125,0.953125,0.91328125,0.8798177083333333,0.9420572916666665,1.8039062499999998,1.7121028645833332,1.8845052083333331,0.45,0.1788510987426215,0.7183332409583436,38.015625,55.45703125,65.744140625,1.0,4.84375,10.671875,0.9375
pointer__sigma0p5,pointer,80,64,1.0,1.0,1.0,0.9240885416666667,0.8916634114583333,0.950654296875,1.9240885416666667,1.8916634114583333,1.950654296875,0.45,0.1788510987426215,0.7183332409583436,77.34375,55.453125,105.0703125,1.0,9.953125,5.546875,0.0625
pointer__sigma1,pointer,40,64,0.90625,0.84375,0.96875,0.9010416666666666,0.8653613281249999,0.9320345052083334,1.8072916666666665,1.7339811197916666,1.875393880208333,0.9,0.7582766571931676,0.0,27.3125,55.45703125,55.041015625,1.0,2.703125,12.8125,0.9375
pointer__sigma1,pointer,80,64,0.984375,0.953125,1.0,0.9057291666666666,0.8704427083333333,0.9360709635416666,1.8901041666666667,1.8404947916666665,1.9302083333333333,0.9,0.7582766571931676,0.0,41.09375,55.453125,68.8203125,1.0,2.703125,12.796875,0.0625
pointer__tau0,pointer,40,64,0.890625,0.8125,0.953125,0.916015625,0.88359375,0.9436197916666667,1.8066406249999998,1.7128873697916667,1.8888085937499999,0.0,0.0,0.6783898247235198,38.015625,55.45703125,65.744140625,1.0,4.84375,10.671875,0.9375
pointer__tau0,pointer,80,64,1.0,1.0,1.0,0.9213541666666666,0.8889322916666667,0.9488313802083332,1.9213541666666667,1.8889322916666667,1.9488313802083332,0.0,0.0,0.6783898247235198,77.34375,55.453125,105.0703125,1.0,9.953125,5.546875,0.0625
pointer__tau0p5,pointer,40,64,0.890625,0.8125,0.953125,0.9156249999999999,0.883330078125,0.9434895833333332,1.8062499999999997,1.7126236979166665,1.8888020833333332,0.22499999999999998,0.03805118115463712,0.9151505959607085,38.015625,55.45703125,65.744140625,1.0,4.84375,10.671875,0.9375
pointer__tau0p5,pointer,80,64,1.0,1.0,1.0,0.9240885416666667,0.8916634114583333,0.950654296875,1.9240885416666667,1.8916634114583333,1.950654296875,0.22499999999999998,0.03805118115463712,0.9151505959607085,77.34375,55.453125,105.0703125,1.0,9.953125,5.546875,0.0625
pointer__tau1,pointer,40,64,0.875,0.796875,0.953125,0.910546875,0.8789029947916667,0.9371093749999999,1.7855468749999999,1.6941373697916664,1.8692708333333332,0.44999999999999996,0.15191136719789716,1.0,38.015625,55.45703125,65.744140625,1.0,4.84375,10.671875,0.9375
pointer__tau1,pointer,80,64,1.0,1.0,1.0,0.9240885416666667,0.8916634114583333,0.950654296875,1.9240885416666667,1.8916634114583333,1.950654296875,0.44999999999999996,0.15191136719789716,1.0,77.34375,55.453125,105.0703125,1.0,9.953125,5.546875,0.0625
preserve__sigma0p5,preserve,40,64,0.84375,0.765625,0.90625,0.11497395833333335,0.08463216145833335,0.14896484374999994,0.9587239583333333,0.8684765624999999,1.041806640625,0.45,0.1788510987426215,0.7183332409583436,26.75,0.0,26.75,0.0,0.0,0.0,2.0625
