kind,replication,dataset,contexts,selected,complete,status,result_dir
experiment10,legacy,relation_dossiers,16,True,True,completed source experiment,results\communication_regret\relation_dossiers\n16
experiment10,legacy,squad_groups,24,True,True,completed source experiment,results\communication_regret\squad_groups\n24
experiment10,mistral_controls,relation_dossiers,16,True,True,completed source experiment,results\bounded_communication_frontier\mistral_controls\relation_dossiers\n16
experiment11,mistral_stack,relation_dossiers,16,True,True,complete,results\bounded_communication_frontier\mistral_stack\relation_dossiers\n16
experiment11,primary,relation_dossiers,16,True,True,complete,results\bounded_communication_frontier\primary\relation_dossiers\n16
experiment11,primary,squad_groups,24,True,True,complete,results\bounded_communication_frontier\primary\squad_groups\n24
experiment11,scalar_probe,relation_dossiers,16,True,True,complete,results\bounded_communication_frontier\scalar_probe\relation_dossiers\n16
experiment11,seed17,squad_groups,24,True,True,complete,results\bounded_communication_frontier\seed17\squad_groups\n24
experiment11,seed29,squad_groups,24,True,True,complete,results\bounded_communication_frontier\seed29\squad_groups\n24
experiment11,seed43,squad_groups,24,True,True,complete,results\bounded_communication_frontier\seed43\squad_groups\n24
