stack_id,dataset,future_distribution,metric,scope,constraint_budget,policy_family,n_feasible_configurations,n_frontier_configurations,n_frontier_equivalence_points,n_exclusive_frontier_points,frontier_coordinate_coverage,mean_bootstrap_frontier_probability,total_frontier_equivalence_points
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all,80.0,split,3,2,2,2,1.0,0.8193333333333334,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,80.0,split,3,2,2,2,1.0,0.8161999999999999,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all,80.0,split,3,3,3,3,1.0,0.9687999999999999,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,deployable,80.0,split,3,3,3,3,1.0,0.9664,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all,80.0,split,3,3,3,3,1.0,0.9715999999999999,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,deployable,80.0,split,3,3,3,3,1.0,0.9742000000000001,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all,80.0,split,3,2,2,2,1.0,0.8002666666666668,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,deployable,80.0,split,3,2,2,2,1.0,0.7992666666666667,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,all,80.0,split,3,2,2,2,1.0,0.8075333333333333,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,deployable,80.0,split,3,2,2,2,1.0,0.8052,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,judge_correct,all,80.0,split,3,2,2,2,1.0,0.7704,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,judge_correct,deployable,80.0,split,3,2,2,2,1.0,0.7781333333333333,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,em,all,80.0,split,3,3,3,3,1.0,0.8278666666666666,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,em,deployable,80.0,split,3,3,3,3,1.0,0.8238666666666666,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,f1,all,80.0,split,3,2,2,2,1.0,0.7882666666666666,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,f1,deployable,80.0,split,3,2,2,2,1.0,0.7916,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,judge_correct,all,80.0,split,3,2,2,2,1.0,0.7173999999999999,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,judge_correct,deployable,80.0,split,3,2,2,2,1.0,0.7167333333333333,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,160.0,legacy,12,0,0,0,0.0,0.026333333333333334,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,160.0,oracle,4,1,1,1,0.3333333333333333,0.2516,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,160.0,scalar,5,0,0,0,0.0,0.0,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,160.0,split,15,2,2,2,0.6666666666666666,0.1256,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,20.0,legacy,3,1,1,1,0.5,0.3496666666666666,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,20.0,oracle,1,1,1,1,0.5,1.0,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,40.0,legacy,6,0,0,0,0.0,0.005999999999999999,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,40.0,oracle,2,1,1,1,0.3333333333333333,0.5,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,40.0,split,5,2,2,2,0.6666666666666666,0.39812000000000003,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,80.0,legacy,9,0,0,0,0.0,0.04013333333333333,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,80.0,oracle,3,1,1,1,0.3333333333333333,0.3333333333333333,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,80.0,scalar,5,1,1,1,0.3333333333333333,0.15196,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,all,80.0,split,10,1,1,1,0.3333333333333333,0.08792000000000001,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,legacy,12,1,1,1,0.3333333333333333,0.09561666666666667,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,scalar,5,0,0,0,0.0,0.0,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,split,15,2,2,2,0.6666666666666666,0.129,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,20.0,legacy,3,2,2,2,1.0,0.6074,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,40.0,legacy,6,1,1,1,0.3333333333333333,0.15083333333333335,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,40.0,split,5,2,2,2,0.6666666666666666,0.4006,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,80.0,legacy,9,0,0,0,0.0,0.054911111111111105,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,80.0,scalar,5,1,1,1,0.3333333333333333,0.15139999999999998,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,80.0,split,10,2,2,2,0.6666666666666666,0.14464,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,160.0,legacy,12,0,0,0,0.0,0.021633333333333334,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,160.0,oracle,4,1,1,1,0.25,0.251,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,160.0,scalar,5,0,0,0,0.0,4e-05,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,160.0,split,15,3,3,3,0.75,0.16293333333333332,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,20.0,legacy,3,1,1,1,0.5,0.3333333333333333,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,20.0,oracle,1,1,1,1,0.5,1.0,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,40.0,legacy,6,0,0,0,0.0,0.0015666666666666667,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,40.0,oracle,2,1,1,1,0.3333333333333333,0.5,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,40.0,split,5,2,2,2,0.6666666666666666,0.40024,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,80.0,legacy,9,0,0,0,0.0,0.028088888888888892,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,80.0,oracle,3,1,1,1,0.5,0.3333333333333333,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,80.0,scalar,5,0,0,0,0.0,0.05855999999999999,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,all,80.0,split,10,1,1,1,0.5,0.10422000000000001,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,160.0,legacy,12,1,1,1,0.25,0.10301666666666666,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,160.0,scalar,5,0,0,0,0.0,8e-05,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,160.0,split,15,3,3,3,0.75,0.16342666666666666,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,20.0,legacy,3,2,2,2,1.0,0.6636666666666667,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,40.0,legacy,6,1,1,1,0.3333333333333333,0.16140000000000002,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,40.0,split,5,2,2,2,0.6666666666666666,0.40076,3
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,80.0,legacy,9,1,1,1,0.5,0.11613333333333332,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,80.0,scalar,5,0,0,0,0.0,0.05708,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,deployable,80.0,split,10,1,1,1,0.5,0.1323,2
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,judge_correct,all,160.0,legacy,12,0,0,0,0.0,0.0,3
