stack_id,dataset,future_distribution,metric,baseline_set,augmented_set,constraint_budget,hypervolume_delta,hypervolume_delta_lo,hypervolume_delta_hi,dominated_area_reduction,dominated_area_reduction_lo,dominated_area_reduction_hi,robust_improvement,zero_tolerance,n_contexts,n_resamples
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_scalar,20,0.0,0.0,0.0,0.0,0.0,0.0,False,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_scalar,40,0.0,0.0,0.0,0.0,0.0,0.0,False,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_scalar,80,0.026269531250000006,0.012451171875,0.038656005859375,0.030150753768844227,0.01428492929949204,0.0447904246786719,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_scalar,160,0.0001464843749999778,0.0,0.003369547526041649,0.0001990401840015622,0.0,0.0046405615098055585,False,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_split,20,0.0,0.0,0.0,0.0,0.0,0.0,False,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_split,40,0.02340494791666667,0.008821207682291667,0.041977132161458354,0.025210820666561478,0.009477449608116521,0.0454334097477947,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_split,80,0.022770182291666635,0.003661702473958349,0.04973958333333331,0.026134389419214997,0.004192997029008336,0.05731620559790032,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,legacy_plus_split,160,0.03224283854166665,0.020051676432291613,0.062272949218750186,0.04381095605635047,0.027476603652350624,0.08350669506421995,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_deployable,20,0.0,0.0,0.0,0.0,0.0,0.0,False,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_deployable,40,0.02340494791666667,0.008821207682291667,0.041977132161458354,0.025210820666561478,0.009477449608116521,0.0454334097477947,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_deployable,80,0.027360026041666652,0.01705647786458331,0.05003295898437498,0.03140236498477516,0.019573899665573644,0.05769949245555165,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_deployable,160,0.03224283854166665,0.020051676432291613,0.062272949218750186,0.04381095605635047,0.027476603652350624,0.08350669506421987,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_including_oracle,20,0.020979817708333334,0.012450764973958328,0.029166666666666667,0.021736564307515895,0.012823681955068039,0.030398340672231777,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_including_oracle,40,0.07701822916666667,0.04002156575520835,0.11972941080729158,0.08296078121986712,0.04316652768339139,0.12930478284977928,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_including_oracle,80,0.21227213541666673,0.15486653645833331,0.2774650065104164,0.2436345295249482,0.176267683764959,0.32426267198986114,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,legacy_deployable,all_including_oracle,160,0.22638346354166677,0.1451131184895834,0.32624430338541643,0.30760554658646105,0.1941237373134528,0.4565167931249304,True,1e-12,16,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,legacy_deployable,legacy_plus_scalar,20,0.0,0.0,0.0,0.0,0.0,0.0,False,1e-12,16,5000
