stack_id,dataset,future_distribution,metric,scope,n_configurations,n_common_contexts,configs_with_extra_contexts,common_context_ids
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,judge_correct,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,judge_correct,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,em,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,em,all,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,f1,deployable,3,24,0,"[""sq:1"", ""sq:10"", ""sq:11"", ""sq:12"", ""sq:13"", ""sq:14"", ""sq:15"", ""sq:16"", ""sq:17"", ""sq:18"", ""sq:19"", ""sq:2"", ""sq:20"", ""sq:21"", ""sq:22"", ""sq:23"", ""sq:24"", ""sq:3"", ""sq:4"", ""sq:5"", ""sq:6"", ""sq:7"", ""sq:8"", ""sq:9""]"
