stack_id,stack_label,dataset,future_distribution,metric,policy_family,requested_budget,n_preferences,n_contexts,future_shares,preference_ids,u_now_values,u_future_values,slope_u_now,slope_u_now_lo,slope_u_now_hi,slope_u_future,slope_u_future_lo,slope_u_future_hi,spearman_u_now,spearman_u_future,endpoint_delta_u_now,endpoint_delta_u_now_lo,endpoint_delta_u_now_hi,endpoint_delta_u_future,endpoint_delta_u_future_lo,endpoint_delta_u_future_hi,adjacent_nonincrease_u_now,adjacent_nondecrease_u_future,point_direction_correct,joint_sign_probability,joint_direction_robust,ci_level,n_resamples
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.6145833333333334, 0.6145833333333334, 0.21875]","[0.18402777777777776, 0.21180555555555555, 0.30555555555555564]",-0.39583333333333337,-0.5104166666666666,-0.29166666666666663,0.12152777777777787,0.04513888888888884,0.20138888888888884,-0.8660254037844387,1.0,-0.39583333333333337,-0.5104166666666666,-0.29166666666666663,0.12152777777777787,0.04513888888888884,0.20138888888888884,1.0,1.0,True,0.9992,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.7750163674810854, 0.7222214193084335, 0.3629297303776471]","[0.29189160059258096, 0.36262686100711766, 0.45234015565784796]",-0.4120866371034383,-0.518986593479201,-0.30832087701942384,0.160448555065267,0.08318426558382788,0.23713340671673994,-1.0,1.0,-0.4120866371034383,-0.518986593479201,-0.30832087701942384,0.160448555065267,0.08318426558382788,0.23713340671673994,1.0,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,judge_correct,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.875, 0.8229166666666666, 0.4583333333333333]","[0.3784722222222221, 0.4722222222222221, 0.5659722222222222]",-0.4166666666666667,-0.53125,-0.30208333333333337,0.1875000000000001,0.1111111111111111,0.26388888888888884,-1.0,1.0,-0.4166666666666667,-0.53125,-0.30208333333333337,0.1875000000000001,0.1111111111111111,0.26388888888888884,1.0,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=29",squad_groups,empirical_questions,em,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.5625, 0.5625, 0.19791666666666666]","[0.2222222222222222, 0.2430555555555555, 0.37152777777777785]",-0.36458333333333337,-0.4895833333333333,-0.25,0.14930555555555564,0.09027777777777779,0.20833333333333334,-0.8660254037844387,1.0,-0.36458333333333337,-0.48958333333333337,-0.25,0.14930555555555564,0.09027777777777779,0.20833333333333334,1.0,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=29",squad_groups,empirical_questions,f1,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.7275015084781917, 0.7340655412806147, 0.33617349086099085]","[0.3422862191564237, 0.3685474562244267, 0.5186565487894982]",-0.3913280176172009,-0.49761913603825353,-0.28563816768483713,0.17637032963307447,0.1197887289160908,0.23084007717509247,-0.5,1.0,-0.3913280176172009,-0.49761913603825353,-0.28563816768483713,0.17637032963307447,0.1197887289160908,0.23084007717509247,0.5,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=29",squad_groups,empirical_questions,judge_correct,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.8541666666666666, 0.8645833333333334, 0.40625]","[0.43402777777777773, 0.47916666666666674, 0.6006944444444444]",-0.44791666666666663,-0.5729166666666666,-0.3333333333333333,0.16666666666666669,0.09722222222222238,0.23263888888888895,-0.5,1.0,-0.44791666666666663,-0.5729166666666666,-0.3333333333333333,0.16666666666666669,0.09722222222222238,0.23263888888888895,0.5,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=43",squad_groups,empirical_questions,em,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.5833333333333334, 0.5625, 0.3229166666666667]","[0.20486111111111113, 0.2152777777777778, 0.3541666666666667]",-0.2604166666666667,-0.3958333333333333,-0.125,0.14930555555555555,0.06944444444444445,0.23611111111111102,-1.0,1.0,-0.2604166666666667,-0.3958333333333333,-0.125,0.14930555555555555,0.06944444444444445,0.23611111111111102,1.0,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=43",squad_groups,empirical_questions,f1,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.7159221854534353, 0.7294355239667739, 0.42257808742183744]","[0.30534330967255946, 0.33968651499691876, 0.4971235437929517]",-0.2933440980315979,-0.42696709034599667,-0.16040752288799182,0.19178023412039225,0.1166896665040075,0.27322688644303217,-0.5,1.0,-0.2933440980315979,-0.42696709034599667,-0.16040752288799182,0.19178023412039225,0.1166896665040075,0.27322688644303217,0.5,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=43",squad_groups,empirical_questions,judge_correct,split,80,3,24,"[0.0, 0.5, 1.0]","[""l0"", ""l1"", ""linf""]","[0.7916666666666666, 0.84375, 0.5208333333333334]","[0.4097222222222221, 0.4444444444444444, 0.6006944444444445]",-0.27083333333333326,-0.40625000000000006,-0.13541666666666663,0.19097222222222243,0.09722222222222215,0.29166666666666663,-0.5,1.0,-0.27083333333333326,-0.40625000000000006,-0.13541666666666663,0.19097222222222243,0.09722222222222215,0.29166666666666663,0.5,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,em,scalar,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.78125, 0.765625, 0.765625, 0.765625, 0.75]","[0.16666666666666669, 0.19583333333333333, 0.17291666666666666, 0.18125000000000002, 0.18229166666666666]",-0.025,-0.0625,0.0,0.006666666666666654,-0.009583333333333287,0.025833333333333354,-0.8944271909999159,0.39999999999999997,-0.03125,-0.078125,0.0,0.015624999999999972,-0.008333333333333304,0.042708333333333265,1.0,0.75,True,0.6536,False,0.95,5000
