quantity,policy,metric,low_budget_words,high_budget_words,delta,lo,hi,p_value,n,cohens_dz
gap_low_minus_high,conditioned,em,40,80,-0.01979166666666668,-0.09895833333333334,0.062499999999999986,0.6392,16,-0.11474858294321628
gap_low_minus_high,conditioned,f1,40,80,0.011679894179894172,-0.05349041005291005,0.07451711309523804,0.727,16,0.08623024408271789
gap_low_minus_high,conditioned,judge_correct,40,80,0.041666666666666664,-0.007291666666666648,0.08437499999999995,0.0702,16,0.4347552147751578
gap_low_minus_high,generic,em,40,80,-0.012499999999999999,-0.11249999999999999,0.09166666666666667,0.8172,16,-0.05805992468282222
gap_low_minus_high,generic,f1,40,80,0.02696428571428569,-0.049147321428571464,0.10252281746031741,0.4868,16,0.16894037310682258
gap_low_minus_high,generic,judge_correct,40,80,0.020833333333333325,-0.04583333333333335,0.08750000000000001,0.5874,16,0.14524413787123586
gap_low_minus_high,oracle,em,40,80,0.016666666666666646,-0.05416666666666669,0.08749999999999997,0.6866,16,0.11490963994423029
gap_low_minus_high,oracle,f1,40,80,0.031031746031746032,-0.031968253968253965,0.09180555555555553,0.3276,16,0.23617188569401326
gap_low_minus_high,oracle,judge_correct,40,80,0.03749999999999999,-0.012500000000000022,0.0875,0.1756,16,0.3447289198326912
gap_low_minus_high,reusable,em,40,80,0.22083333333333333,0.13020833333333331,0.31460937499999964,0.0,16,1.0988380132518454
gap_low_minus_high,reusable,f1,40,80,0.21024718915343918,0.13028255208333334,0.29935414599867727,0.0,16,1.1500442222129066
gap_low_minus_high,reusable,judge_correct,40,80,0.17291666666666666,0.11247395833333343,0.225,0.0,16,1.4298448570700417
conditioning_gap_low_minus_high,conditioned_minus_generic,em,40,80,-0.007291666666666684,-0.1281510416666666,0.1146093749999996,0.9006,16,-0.028616835170788696
conditioning_gap_low_minus_high,conditioned_minus_generic,f1,40,80,-0.015284391534391536,-0.10807986111111113,0.07531462880291004,0.751,16,-0.07754839627353413
conditioning_gap_low_minus_high,conditioned_minus_generic,judge_correct,40,80,0.020833333333333322,-0.06666666666666667,0.10729166666666662,0.638,16,0.11530004754667471
