comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,conditioned,generic,40,utility,now,em,0.40625,0.25,0.546875,0.0,16,1.2914190481384178
conditioned_minus_generic,conditioned,generic,40,utility,now,f1,0.3208333333333333,0.21108630952380952,0.43467819940476177,0.0,16,1.3597475614466425
conditioned_minus_generic,conditioned,generic,40,utility,now,judge_correct,0.4375,0.328125,0.5625,0.0,16,1.75
conditioned_minus_generic,conditioned,generic,40,utility,future,em,-0.15729166666666666,-0.22499999999999998,-0.09062500000000001,0.0,16,-1.1367251022871003
conditioned_minus_generic,conditioned,generic,40,utility,future,f1,-0.21948660714285714,-0.281042576058201,-0.15641135499338632,0.0,16,-1.6672139808450739
conditioned_minus_generic,conditioned,generic,40,utility,future,judge_correct,-0.2708333333333333,-0.3458333333333333,-0.18854166666666666,0.0,16,-1.638713323291235
conditioned_minus_generic,conditioned,generic,40,utility,gap,em,0.5635416666666667,0.44375,0.6844010416666663,0.0,16,2.2178489773585577
conditioned_minus_generic,conditioned,generic,40,utility,gap,f1,0.5403199404761905,0.45481803902116397,0.6204612475198411,0.0,16,3.07202679241973
conditioned_minus_generic,conditioned,generic,40,utility,gap,judge_correct,0.7083333333333334,0.6395833333333334,0.7749999999999999,0.0,16,4.96293076902971
conditioned_minus_generic,conditioned,generic,40,regret,now,em,-0.40625,-0.546875,-0.25,0.0,16,-1.2914190481384178
conditioned_minus_generic,conditioned,generic,40,regret,now,f1,-0.3208333333333333,-0.4346781994047618,-0.21108630952380952,0.0,16,-1.3597475614466425
conditioned_minus_generic,conditioned,generic,40,regret,now,judge_correct,-0.4375,-0.5625,-0.328125,0.0,16,-1.75
conditioned_minus_generic,conditioned,generic,40,regret,future,em,0.15729166666666666,0.09062500000000001,0.22500000000000003,0.0,16,1.1367251022870999
conditioned_minus_generic,conditioned,generic,40,regret,future,f1,0.21948660714285714,0.15641135499338626,0.28104257605820093,0.0,16,1.6672139808450732
conditioned_minus_generic,conditioned,generic,40,regret,future,judge_correct,0.27083333333333337,0.18854166666666672,0.3458333333333334,0.0,16,1.638713323291235
conditioned_minus_generic,conditioned,generic,40,retained,now,em,0.4791666666666667,0.3072916666666667,0.640625,0.0,16,1.3429106786786271
conditioned_minus_generic,conditioned,generic,40,retained,now,f1,0.37564484126984127,0.26552269345238094,0.48601748511904747,0.0,16,1.6148221314655427
conditioned_minus_generic,conditioned,generic,40,retained,now,judge_correct,0.4375,0.328125,0.5625,0.0,16,1.75
conditioned_minus_generic,conditioned,generic,40,retained,future,em,-0.18565921925296924,-0.2625170077318514,-0.10997315835206463,0.0,16,-1.1642636498581118
conditioned_minus_generic,conditioned,generic,40,retained,future,f1,-0.2315932794057794,-0.29571856103552535,-0.16467718315290863,0.0,16,-1.6724149694145956
conditioned_minus_generic,conditioned,generic,40,retained,future,judge_correct,-0.2726190476190476,-0.348813244047619,-0.19062500000000002,0.0,16,-1.6333603872888827
conditioned_minus_generic,conditioned,generic,40,specialisation_did,now_minus_future,em,0.5635416666666667,0.44270833333333337,0.6854166666666667,0.0,16,2.2178489773585577
conditioned_minus_generic,conditioned,generic,40,specialisation_did,now_minus_future,f1,0.5403199404761905,0.4499983465608466,0.623769386574074,0.0,16,3.07202679241973
conditioned_minus_generic,conditioned,generic,40,specialisation_did,now_minus_future,judge_correct,0.7083333333333334,0.6375000000000001,0.7749999999999999,0.0,16,4.96293076902971
conditioned_minus_generic,conditioned,generic,80,utility,now,em,0.265625,0.125,0.390625,0.0,16,0.9456125889162177
conditioned_minus_generic,conditioned,generic,80,utility,now,f1,0.19583333333333333,0.09687499999999999,0.2927213541666665,0.0,16,0.9494142286611946
conditioned_minus_generic,conditioned,generic,80,utility,now,judge_correct,0.265625,0.15625,0.375,0.0,16,1.1440615418736018
conditioned_minus_generic,conditioned,generic,80,utility,future,em,-0.3052083333333333,-0.37190104166666654,-0.240625,0.0,16,-2.266234794872692
conditioned_minus_generic,conditioned,generic,80,utility,future,f1,-0.35977099867724865,-0.41161665013227505,-0.3108841765873016,0.0,16,-3.411207465505612
