comparison,budget_words,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,40,delivered_words,-1.40625,-2.984375,0.140625,0.0818,16,-0.4262872610647765
conditioned_minus_generic,80,delivered_words,-1.015625,-3.4378906249999983,1.1875,0.3962,16,-0.20679478058139925
conditioned_minus_reusable,40,delivered_words,-0.5625,-2.125,0.8125,0.4618,16,-0.17972224422753824
conditioned_minus_reusable,80,delivered_words,-1.328125,-2.578125,-0.09375,0.0382,16,-0.5047804985993084
reusable_minus_generic,40,delivered_words,-0.84375,-2.2503906249999983,0.671875,0.2596,16,-0.2732845782598718
reusable_minus_generic,80,delivered_words,0.3125,-1.796875,2.3125,0.7722,16,0.07187390692597737
oracle_minus_conditioned,40,delivered_words,-2.90625,-8.546875,1.9375,0.2762,16,-0.26816888456157795
oracle_minus_conditioned,80,delivered_words,-0.109375,-2.53125,2.03125,0.928,16,-0.022574475804183456
oracle_minus_generic,40,delivered_words,-4.3125,-10.625,1.0,0.1542,16,-0.3532591922710295
oracle_minus_generic,80,delivered_words,-1.125,-4.75,1.8125,0.5358,16,-0.15891373443376777
