comparison,budget_words,endpoint,metric,tolerance_words,n_contexts_matched,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,40,now,em,6,14,0.39285714285714285,0.23214285714285715,0.5357142857142857,0.0,14,1.2239670085812107
conditioned_minus_generic,40,now,f1,6,14,0.31309523809523815,0.19505739795918373,0.4379294217687074,0.0,14,1.2643938521810287
conditioned_minus_generic,40,now,judge_correct,6,14,0.44642857142857145,0.32142857142857145,0.5714285714285714,0.0,14,1.6992201062365413
conditioned_minus_generic,40,future,em,6,14,-0.15238095238095237,-0.2178571428571429,-0.08333333333333333,0.0,14,-1.1114317214278586
conditioned_minus_generic,40,future,f1,6,14,-0.21663832199546484,-0.28142257180650043,-0.14909703325774762,0.0,14,-1.6059947269885364
conditioned_minus_generic,40,future,judge_correct,6,14,-0.26666666666666666,-0.3464285714285714,-0.1773809523809524,0.0,14,-1.5440058791105018
conditioned_minus_reusable,40,now,em,6,14,-0.08928571428571429,-0.16071428571428573,-0.017857142857142856,0.039,14,-0.5639183574723604
conditioned_minus_reusable,40,now,f1,6,14,-0.059098639455782316,-0.11564625850340136,-0.0076530612244898,0.0308,14,-0.5556301588834239
conditioned_minus_reusable,40,now,judge_correct,6,14,0.0,0.0,0.0,1.0,14,nan
conditioned_minus_reusable,40,future,em,6,14,-0.059523809523809534,-0.07619047619047618,-0.04282738095238138,0.0,14,-1.7616793502013637
conditioned_minus_reusable,40,future,f1,6,14,-0.06677815570672714,-0.08270590041572182,-0.04949900793650798,0.0,14,-2.0124889250816342
conditioned_minus_reusable,40,future,judge_correct,6,14,-0.07619047619047618,-0.1,-0.0523809523809524,0.0,14,-1.636603441567229
reusable_minus_generic,40,now,em,6,14,0.48214285714285715,0.35714285714285715,0.6071428571428571,0.0,14,1.9338916357235194
reusable_minus_generic,40,now,f1,6,14,0.37219387755102046,0.2589179421768708,0.494047619047619,0.0,14,1.5184089071858404
reusable_minus_generic,40,now,judge_correct,6,14,0.44642857142857145,0.32142857142857145,0.5714285714285714,0.0,14,1.6992201062365413
reusable_minus_generic,40,future,em,6,14,-0.09285714285714286,-0.15119047619047615,-0.028571428571428553,0.0024,14,-0.7377404295351908
reusable_minus_generic,40,future,f1,6,14,-0.14986016628873772,-0.20885208805744518,-0.08375436980347697,0.0002,14,-1.1855700103849287
reusable_minus_generic,40,future,judge_correct,6,14,-0.19047619047619044,-0.2607142857142857,-0.10357142857142856,0.0002,14,-1.1917956813940738
conditioned_minus_generic,80,now,em,6,13,0.28846153846153844,0.1346153846153846,0.4230769230769231,0.0004,13,1.0090091909944687
conditioned_minus_generic,80,now,f1,6,13,0.2185897435897436,0.11921474358974365,0.3173076923076923,0.0,13,1.1397226879191191
conditioned_minus_generic,80,now,judge_correct,6,13,0.28846153846153844,0.17307692307692307,0.40384615384615385,0.0,13,1.2838814775327387
conditioned_minus_generic,80,future,em,6,13,-0.3038461538461538,-0.3705128205128205,-0.2384615384615385,0.0,13,-2.3695853588401308
conditioned_minus_generic,80,future,f1,6,13,-0.35493487993487993,-0.3997225783475783,-0.3084267908017907,0.0,13,-3.998669445460192
conditioned_minus_generic,80,future,judge_correct,6,13,-0.4141025641025641,-0.47820512820512817,-0.3461538461538462,0.0,13,-3.2217681595857814
conditioned_minus_reusable,80,now,em,6,13,0.057692307692307696,0.0,0.15384615384615385,0.2432,13,0.3851644432598217
conditioned_minus_reusable,80,now,f1,6,13,0.04807692307692308,0.0,0.11538461538461539,0.219,13,0.4003203845127179
conditioned_minus_reusable,80,now,judge_correct,6,13,0.0,0.0,0.0,1.0,13,nan
conditioned_minus_reusable,80,future,em,6,13,-0.16410256410256407,-0.21794871794871792,-0.11025641025641024,0.0,13,-1.5805480678744415
conditioned_minus_reusable,80,future,f1,6,13,-0.16377187627187625,-0.21278200040700038,-0.11653189865689868,0.0,13,-1.7846199505632976
conditioned_minus_reusable,80,future,judge_correct,6,13,-0.1987179487179487,-0.25384615384615383,-0.1423076923076923,0.0,13,-1.867921843483042
reusable_minus_generic,80,now,em,6,13,0.23076923076923078,0.09615384615384616,0.36538461538461536,0.0028,13,0.82775026403106
reusable_minus_generic,80,now,f1,6,13,0.17051282051282052,0.08333333333333331,0.25769230769230766,0.0002,13,0.9893125375872758
reusable_minus_generic,80,now,judge_correct,6,13,0.28846153846153844,0.17307692307692307,0.40384615384615385,0.0,13,1.2838814775327387
reusable_minus_generic,80,future,em,6,13,-0.13974358974358972,-0.19871794871794876,-0.08589743589743594,0.0,13,-1.2898429833058254
reusable_minus_generic,80,future,f1,6,13,-0.19116300366300365,-0.23010477716727712,-0.15400778388278388,0.0,13,-2.6107278903954163
reusable_minus_generic,80,future,judge_correct,6,13,-0.21538461538461534,-0.2769230769230769,-0.153814102564103,0.0,13,-1.8141589505729074
