policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
conditioned,40,utility,now,em,0.703125,0.59375,0.8125,16,64
conditioned,40,utility,now,f1,0.7790178571428571,0.6982886904761905,0.8571428571428571,16,64
conditioned,40,utility,now,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,40,utility,future,em,0.09791666666666668,0.08125000000000002,0.11354166666666668,16,64
conditioned,40,utility,future,f1,0.13201140873015874,0.11756648892195767,0.1474843543320106,16,64
conditioned,40,utility,future,judge_correct,0.13437500000000002,0.12083333333333332,0.14895833333333336,16,64
conditioned,40,utility,gap,em,0.6052083333333333,0.49375,0.7114843749999997,16,64
conditioned,40,utility,gap,f1,0.6470064484126984,0.562719142691799,0.727254650297619,16,64
conditioned,40,utility,gap,judge_correct,0.8500000000000001,0.8083333333333333,0.8791666666666667,16,64
conditioned,40,regret,now,em,0.09375,0.015625,0.15625,16,64
conditioned,40,regret,now,f1,0.06421130952380952,0.011235119047619053,0.11927083333333333,16,64
conditioned,40,regret,now,judge_correct,0.015625,0.0,0.046875,16,64
conditioned,40,regret,future,em,0.7572916666666667,0.715625,0.796875,16,64
conditioned,40,regret,future,f1,0.7614955357142857,0.7368116732804232,0.7873184110449736,16,64
conditioned,40,regret,future,judge_correct,0.8614583333333334,0.8427083333333334,0.878125,16,64
conditioned,40,retained,now,em,0.8489583333333333,0.7604166666666666,0.9322916666666666,16,64
conditioned,40,retained,now,f1,0.8781001984126984,0.8098927331349206,0.943204365079365,16,64
conditioned,40,retained,now,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,40,retained,future,em,0.11488615551115551,0.09774954212454215,0.13131309445762568,16,64
conditioned,40,retained,future,f1,0.1444546557939415,0.1301717760889078,0.1590095576959416,16,64
conditioned,40,retained,future,judge_correct,0.13504464285714288,0.12083333333333333,0.15029761904761907,16,64
conditioned,40,channel,message,delivered_words,35.34375,34.0,36.515625,16,64
conditioned,40,channel,message,fill_ratio,0.8835937500000001,0.85,0.912890625,16,64
conditioned,80,utility,now,em,0.78125,0.6875,0.859375,16,64
conditioned,80,utility,now,f1,0.8223958333333333,0.7447916666666666,0.8932421874999997,16,64
conditioned,80,utility,now,judge_correct,1.0,1.0,1.0,16,64
conditioned,80,utility,future,em,0.15625,0.134375,0.1875,16,64
