policy,budget_words,endpoint,metric,mean,lo,hi,n_contexts,n_excluded_low_ceiling,min_ceiling_for_ratio
conditioned,40,now,em,0.8802083333333333,0.7708333333333333,0.9947916666666666,16,0,0.25
conditioned,40,now,f1,0.9241071428571429,0.8519345238095238,0.9907087053571427,16,0,0.25
conditioned,40,now,judge_correct,0.984375,0.953125,1.0,16,0,0.25
conditioned,40,future,em,0.11381499782137283,0.09724135492941352,0.13020605217704873,16,0,0.25
conditioned,40,future,f1,0.14709064248049,0.13336395887151697,0.16124579964862037,16,0,0.25
conditioned,40,future,judge_correct,0.13504464285714288,0.12083333333333335,0.15066964285714285,16,0,0.25
conditioned,80,now,em,0.9895833333333333,0.9166666666666666,1.0729166666666665,16,0,0.25
conditioned,80,now,f1,0.9722222222222222,0.9236111111111112,1.0,16,0,0.25
conditioned,80,now,judge_correct,1.0,1.0,1.0,16,0,0.25
conditioned,80,future,em,0.18311813598201737,0.15794000230334287,0.21784479661307263,16,0,0.25
conditioned,80,future,f1,0.2095909583892015,0.1863772792630573,0.24038994430586552,16,0,0.25
conditioned,80,future,judge_correct,0.1922619047619048,0.16785714285714287,0.221875,16,0,0.25
generic,40,now,em,0.36979166666666663,0.24999999999999997,0.5052083333333333,16,0,0.25
generic,40,now,f1,0.5440293441938178,0.43130612990810363,0.6495695619256474,16,0,0.25
generic,40,now,judge_correct,0.546875,0.421875,0.65625,16,0,0.25
generic,40,future,em,0.3005940799823354,0.22009689894660278,0.38227485454951776,16,0,0.25
generic,40,future,f1,0.39460735385201495,0.3184016053442803,0.46780507392209625,16,0,0.25
generic,40,future,judge_correct,0.40766369047619044,0.3274460565476191,0.48303571428571423,16,0,0.25
generic,80,now,em,0.6666666666666666,0.49479166666666663,0.8489583333333333,16,0,0.25
generic,80,now,f1,0.7493225250626567,0.6383815006265665,0.8603422619047619,16,0,0.25
generic,80,now,judge_correct,0.734375,0.625,0.84375,16,0,0.25
generic,80,future,em,0.5447388376103885,0.4639572775398004,0.6336346553380219,16,0,0.25
generic,80,future,f1,0.6142990908122853,0.5523843215075702,0.6783824886524362,16,0,0.25
generic,80,future,judge_correct,0.6168154761904762,0.5511904761904762,0.678422619047619,16,0,0.25
oracle,40,now,em,0.625,0.46354166666666663,0.78125,16,0,0.25
oracle,40,now,f1,0.7570436507936509,0.5874913194444444,0.909304935515873,16,0,0.25
oracle,40,now,judge_correct,0.78125,0.625,0.921875,16,0,0.25
oracle,40,future,em,0.6223573698570152,0.4729284693703794,0.7643197200828935,16,0,0.25
oracle,40,future,f1,0.7001771251956957,0.5664947600863898,0.8233433696380688,16,0,0.25
oracle,40,future,judge_correct,0.7323660714285715,0.5968563988095239,0.8489583333333333,16,0,0.25
oracle,80,now,em,0.8697916666666666,0.7552083333333333,0.9584635416666647,16,0,0.25
oracle,80,now,f1,0.9461022347535506,0.8825605680868839,1.0020833333333332,16,0,0.25
oracle,80,now,judge_correct,0.9375,0.875,0.984375,16,0,0.25
oracle,80,future,em,0.8697442633382129,0.7980803735442691,0.9328370955817779,16,0,0.25
oracle,80,future,f1,0.9181410063331819,0.8590358509244761,0.9707471587788502,16,0,0.25
oracle,80,future,judge_correct,0.9280505952380953,0.8686011904761904,0.9760416666666667,16,0,0.25
reusable,40,now,em,0.9947916666666666,0.921875,1.078125,16,0,0.25
reusable,40,now,f1,0.9861372180451128,0.9508928571428572,1.0208333333333335,16,0,0.25
reusable,40,now,judge_correct,0.984375,0.953125,1.0,16,0,0.25
reusable,40,future,em,0.18076756681079992,0.15817948484106806,0.2012758972341005,16,0,0.25
reusable,40,future,f1,0.2205702266333403,0.19689908111582693,0.24246180711496154,16,0,0.25
reusable,40,future,judge_correct,0.20915178571428572,0.1851934523809524,0.234375,16,0,0.25
reusable,80,now,em,0.90625,0.8229166666666666,0.9791666666666666,16,0,0.25
reusable,80,now,f1,0.9245248538011697,0.845577485380117,0.9930555555555556,16,0,0.25
reusable,80,now,judge_correct,1.0,1.0,1.0,16,0,0.25
reusable,80,future,em,0.3883645760744906,0.33952993498431566,0.4414148455781079,16,0,0.25
reusable,80,future,f1,0.40415357024068416,0.3619724339283129,0.44964936734331157,16,0,0.25
reusable,80,future,judge_correct,0.39866071428571426,0.3541666666666667,0.4447953869047619,16,0,0.25
