policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,40,utility,now,em,0.734375,0.6246093750000017,0.84375,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,now,f1,0.8208333333333333,0.7458333333333333,0.8953125,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,now,judge_correct,1.0,1.0,1.0,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,future,em,0.08125,0.06979166666666667,0.09166666666666667,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,future,f1,0.12496031746031745,0.10976122271825398,0.14075731646825396,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,future,judge_correct,0.11875000000000001,0.103125,0.13437500000000002,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,gap,em,0.6531250000000001,0.5437500000000001,0.7521093749999997,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,gap,f1,0.6958730158730159,0.6294857390873015,0.7610889136904762,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,utility,gap,judge_correct,0.8812500000000001,0.865625,0.8968750000000001,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,regret,now,em,0.0625,0.015625,0.125,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,regret,now,f1,0.022395833333333334,0.0,0.04895833333333333,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,regret,now,judge_correct,0.0,0.0,0.0,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,regret,future,em,0.7739583333333334,0.7322916666666667,0.8104166666666668,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,regret,future,f1,0.768546626984127,0.7425246775793651,0.7924609995039682,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,regret,future,judge_correct,0.8770833333333334,0.8604166666666667,0.89375,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,retained,now,em,0.9010416666666666,0.8072916666666666,0.984375,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,retained,now,f1,0.9397569444444445,0.8765538194444445,0.9864843749999997,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,retained,now,judge_correct,1.0,1.0,1.0,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,retained,future,em,0.09319803460428461,0.08028494942557443,0.10448728354978357,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,retained,future,f1,0.13598347832722835,0.1202746823489011,0.15110753395909643,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,retained,future,judge_correct,0.11919642857142859,0.10312500000000001,0.13526785714285716,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,channel,message,delivered_words,34.3125,32.983984375,35.625,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,40,channel,message,fill_ratio,0.8578125,0.8245996093749999,0.890625,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,now,em,0.71875,0.609375,0.828125,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,now,f1,0.7973958333333333,0.7067578125,0.8823046874999998,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,now,judge_correct,1.0,1.0,1.0,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,future,em,0.16041666666666668,0.14687499999999998,0.175,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,future,f1,0.2021577380952381,0.1869229290674603,0.2166421337632275,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,future,judge_correct,0.20625000000000002,0.190625,0.22187500000000002,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,gap,em,0.5583333333333333,0.446875,0.6635416666666667,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,gap,f1,0.5952380952380951,0.5123228546626984,0.6733533606150793,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,utility,gap,judge_correct,0.7937500000000001,0.778125,0.8093750000000001,16,64,mistral_stack,split,l0,0.0,False,0.0
