policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,40,utility,now,em,1.0,1.0,1.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,now,f1,1.0,1.0,1.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,now,judge_correct,1.0,1.0,1.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,future,em,0.1,0.1,0.1,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,future,f1,0.12476190476190477,0.12476190476190477,0.12476190476190477,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,future,judge_correct,0.1,0.1,0.1,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,gap,em,0.9,0.9,0.9,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,gap,f1,0.8752380952380953,0.8752380952380953,0.8752380952380953,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,utility,gap,judge_correct,0.9,0.9,0.9,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,regret,now,em,0.0,0.0,0.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,regret,now,f1,0.0,0.0,0.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,regret,now,judge_correct,0.0,0.0,0.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,regret,future,em,0.8333333333333333,0.8333333333333333,0.8333333333333333,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,regret,future,f1,0.861904761904762,0.861904761904762,0.861904761904762,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,regret,future,judge_correct,0.9,0.9,0.9,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,retained,now,em,1.0,1.0,1.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,retained,now,f1,1.0,1.0,1.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,retained,now,judge_correct,1.0,1.0,1.0,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,retained,future,em,0.10714285714285714,0.10714285714285714,0.10714285714285714,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,retained,future,f1,0.12476190476190477,0.12476190476190477,0.12476190476190477,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,retained,future,judge_correct,0.1,0.1,0.1,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,channel,message,delivered_words,34.75,34.75,34.75,1,4,primary,split,l0,0.0,False,0.0
split__l0,40,channel,message,fill_ratio,0.8687499999999999,0.8687499999999999,0.8687499999999999,1,4,primary,split,l0,0.0,False,0.0
split__l1,40,utility,now,em,1.0,1.0,1.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,now,f1,1.0,1.0,1.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,now,judge_correct,1.0,1.0,1.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,future,em,0.13333333333333336,0.13333333333333336,0.13333333333333336,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,future,f1,0.1761111111111111,0.1761111111111111,0.1761111111111111,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,future,judge_correct,0.16666666666666669,0.16666666666666669,0.16666666666666669,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,gap,em,0.8666666666666667,0.8666666666666667,0.8666666666666667,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,gap,f1,0.8238888888888889,0.8238888888888889,0.8238888888888889,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,utility,gap,judge_correct,0.8333333333333333,0.8333333333333333,0.8333333333333333,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,regret,now,em,0.0,0.0,0.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,regret,now,f1,0.0,0.0,0.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,regret,now,judge_correct,0.0,0.0,0.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,regret,future,em,0.8,0.8,0.8,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,regret,future,f1,0.8105555555555556,0.8105555555555556,0.8105555555555556,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,regret,future,judge_correct,0.8333333333333333,0.8333333333333333,0.8333333333333333,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,retained,now,em,1.0,1.0,1.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,retained,now,f1,1.0,1.0,1.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,retained,now,judge_correct,1.0,1.0,1.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,retained,future,em,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,retained,future,f1,0.1761111111111111,0.1761111111111111,0.1761111111111111,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,retained,future,judge_correct,0.16666666666666669,0.16666666666666669,0.16666666666666669,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,channel,message,delivered_words,35.0,35.0,35.0,1,4,primary,split,l1,1.0,False,0.5
split__l1,40,channel,message,fill_ratio,0.875,0.875,0.875,1,4,primary,split,l1,1.0,False,0.5
split__linf,40,utility,now,em,0.25,0.25,0.25,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,now,f1,0.25,0.25,0.25,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,now,judge_correct,0.25,0.25,0.25,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,future,em,0.15,0.15,0.15,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,future,f1,0.19666666666666666,0.19666666666666666,0.19666666666666666,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,future,judge_correct,0.2,0.2,0.2,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,gap,em,0.10000000000000003,0.10000000000000003,0.10000000000000003,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,gap,f1,0.05333333333333334,0.05333333333333334,0.05333333333333334,1,4,primary,split,linf,,True,1.0
split__linf,40,utility,gap,judge_correct,0.05000000000000002,0.05000000000000002,0.05000000000000002,1,4,primary,split,linf,,True,1.0
split__linf,40,regret,now,em,0.75,0.75,0.75,1,4,primary,split,linf,,True,1.0
split__linf,40,regret,now,f1,0.75,0.75,0.75,1,4,primary,split,linf,,True,1.0
split__linf,40,regret,now,judge_correct,0.75,0.75,0.75,1,4,primary,split,linf,,True,1.0
split__linf,40,regret,future,em,0.7833333333333334,0.7833333333333334,0.7833333333333334,1,4,primary,split,linf,,True,1.0
split__linf,40,regret,future,f1,0.79,0.79,0.79,1,4,primary,split,linf,,True,1.0
split__linf,40,regret,future,judge_correct,0.8,0.8,0.8,1,4,primary,split,linf,,True,1.0
split__linf,40,retained,now,em,0.25,0.25,0.25,1,4,primary,split,linf,,True,1.0
split__linf,40,retained,now,f1,0.25,0.25,0.25,1,4,primary,split,linf,,True,1.0
split__linf,40,retained,now,judge_correct,0.25,0.25,0.25,1,4,primary,split,linf,,True,1.0
split__linf,40,retained,future,em,0.1607142857142857,0.1607142857142857,0.1607142857142857,1,4,primary,split,linf,,True,1.0
split__linf,40,retained,future,f1,0.19666666666666666,0.19666666666666666,0.19666666666666666,1,4,primary,split,linf,,True,1.0
split__linf,40,retained,future,judge_correct,0.2,0.2,0.2,1,4,primary,split,linf,,True,1.0
split__linf,40,channel,message,delivered_words,37.0,37.0,37.0,1,4,primary,split,linf,,True,1.0
split__linf,40,channel,message,fill_ratio,0.925,0.925,0.925,1,4,primary,split,linf,,True,1.0
