policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,40,34,64,35.734375,2.444574085667575,28.0,40.0,0.893359375,0.140625,0.015625,0.015625,0.875,0.140625,1.703125,0.0,54,128,111.1875,64.359375,False,primary,split,l0,0.0,False,0.0
split__l0,80,68,64,73.5625,2.9860788111948193,69.0,80.0,0.91953125,0.0,0.0,0.0,0.859375,0.03125,1.265625,0.002182984375,108,227,185.609375,128.0625,False,primary,split,l0,0.0,False,0.0
split__l0,160,136,64,142.609375,4.10039559647835,137.0,156.0,0.89130859375,0.0,0.0,0.0,0.90625,0.0,1.46875,0.0022026875,216,464,399.546875,246.625,False,primary,split,l0,0.0,False,0.0
split__l0p333,40,34,64,36.96875,1.622938252500252,35.0,40.0,0.9242187500000001,0.0,0.0,0.0,1.0,0.390625,0.9375,0.0061374062500000005,54,256,84.5625,67.296875,False,primary,split,l0p333,0.3333333333333333,False,0.25
split__l0p333,80,68,64,71.5625,2.6299556396765835,61.0,77.0,0.89453125,0.03125,0.0,0.0,1.0,0.1875,1.34375,0.011590390624999999,108,297,165.515625,125.3125,False,primary,split,l0p333,0.3333333333333333,False,0.25
split__l0p333,160,136,64,143.34375,3.9207172570237465,137.0,153.0,0.8958984374999999,0.0,0.0,0.0,1.0,0.109375,1.296875,0.017998203125,216,476,327.078125,248.71875,False,primary,split,l0p333,0.3333333333333333,False,0.25
split__l1,40,34,64,36.3125,1.6220210790715333,34.0,39.0,0.9078124999999999,0.0,0.0,0.0,1.0,0.25,0.75,0.013880578125000001,54,256,71.65625,66.375,False,primary,split,l1,1.0,False,0.5
split__l1,80,68,64,71.96875,2.8000496027352404,66.0,79.0,0.8996093749999999,0.046875,0.0,0.0,1.0,0.140625,1.78125,0.017726968750000002,108,256,174.390625,127.96875,False,primary,split,l1,1.0,False,0.5
split__l1,160,136,64,145.765625,5.091986195258036,136.0,157.0,0.9110351562500001,0.0,0.0,0.0,1.0,0.171875,1.65625,0.021325046874999996,216,462,332.921875,253.109375,False,primary,split,l1,1.0,False,0.5
split__l3,40,34,64,37.515625,1.2597831446040908,35.0,40.0,0.9378906250000001,0.0,0.0,0.0,1.0,0.5,0.40625,0.00227153125,54,256,76.421875,67.8125,False,primary,split,l3,3.0,False,0.75
split__l3,80,68,64,72.6875,2.6299556396765835,68.0,78.0,0.9085937500000001,0.0,0.0,0.0,1.0,0.234375,0.75,0.008846921875,108,297,132.984375,128.96875,False,primary,split,l3,3.0,False,0.75
split__l3,160,136,64,145.921875,4.284726241926545,136.0,159.0,0.9120117187500001,0.0,0.0,0.0,1.0,0.09375,1.703125,0.00901778125,216,476,280.328125,253.765625,False,primary,split,l3,3.0,False,0.75
split__linf,40,34,64,37.203125,1.7744186394243349,35.0,40.0,0.9300781250000001,0.0,0.0,0.0,0.421875,0.15625,0.328125,0.0,54,128,74.40625,67.609375,False,primary,split,linf,,True,1.0
split__linf,80,68,64,75.203125,3.0611735870673407,69.0,80.0,0.9400390624999999,0.0,0.0,0.0,0.25,0.25,0.046875,0.00020559375,108,227,133.125,133.453125,False,primary,split,linf,,True,1.0
split__linf,160,136,64,144.96875,4.6358463551514975,137.0,155.0,0.9060546875,0.0,0.0,0.0,0.28125,0.046875,0.234375,0.0,216,464,244.125,250.8125,False,primary,split,linf,,True,1.0
