policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,40,34,96,36.708333333333336,2.8094452221284456,16.0,40.0,0.9177083333333332,0.0625,0.020833333333333332,0.020833333333333332,0.7916666666666666,0.17708333333333334,1.2395833333333333,0.0005543958333333334,54,128,96.83333333333333,67.54166666666667,False,primary,split,l0,0.0,False,0.0
split__l0,80,68,96,72.4375,6.307576897334624,47.0,80.0,0.9054687499999998,0.09375,0.03125,0.03125,0.8541666666666666,0.21875,1.4479166666666667,0.002955072916666667,108,227,202.85416666666666,130.03125,False,primary,split,l0,0.0,False,0.0
split__l0p333,40,34,96,37.197916666666664,1.4039027681631446,35.0,40.0,0.9299479166666668,0.0,0.03125,0.03125,1.0,0.5104166666666666,0.75,0.021176166666666666,54,256,79.79166666666667,69.72916666666667,False,primary,split,l0p333,0.3333333333333333,False,0.25
split__l0p333,80,68,96,73.65625,2.9265684054159657,67.0,80.0,0.9207031250000002,0.010416666666666666,0.010416666666666666,0.010416666666666666,1.0,0.4375,1.2291666666666667,0.02558832291666667,108,297,171.58333333333334,134.15625,False,primary,split,l0p333,0.3333333333333333,False,0.25
split__l1,40,34,96,37.041666666666664,1.5002923691675751,34.0,40.0,0.9260416666666668,0.0,0.0,0.0,1.0,0.4166666666666667,0.5520833333333334,0.0409045625,54,256,71.01041666666667,70.21875,False,primary,split,l1,1.0,False,0.5
split__l1,80,68,96,74.39583333333333,2.6851606505567305,67.0,80.0,0.9299479166666665,0.010416666666666666,0.010416666666666666,0.010416666666666666,1.0,0.7395833333333334,1.1666666666666667,0.037615239583333335,108,256,182.79166666666666,137.83333333333334,False,primary,split,l1,1.0,False,0.5
split__l3,40,34,96,37.666666666666664,1.5055453054181622,35.0,40.0,0.9416666666666668,0.0,0.03125,0.03125,1.0,0.8541666666666666,0.4583333333333333,0.011388895833333334,54,256,85.66666666666667,72.46875,False,primary,split,l3,3.0,False,0.75
split__l3,80,68,96,74.9375,2.908472197961636,68.0,80.0,0.9367187500000002,0.0,0.0,0.0,1.0,0.6041666666666666,0.6770833333333334,0.023625822916666667,108,297,164.57291666666666,139.67708333333334,False,primary,split,l3,3.0,False,0.75
split__linf,40,34,96,37.65625,1.6785214358256841,35.0,40.0,0.94140625,0.0,0.0,0.0,0.46875,0.5,0.22916666666666666,0.0,54,128,85.51041666666667,72.40625,False,primary,split,linf,,True,1.0
split__linf,80,68,96,75.77083333333333,4.315160951237823,47.0,80.0,0.9471354166666667,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.3541666666666667,0.3229166666666667,0.11458333333333333,0.00068634375,108,227,145.125,140.67708333333334,False,primary,split,linf,,True,1.0
