policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,40,utility,now,em,0.5625,0.46875,0.65625,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,now,f1,0.6870655964405964,0.6175351731601731,0.7559008612914863,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,now,judge_correct,0.7708333333333334,0.7083333333333334,0.8333333333333334,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,future,em,0.09722222222222221,0.0625,0.13194444444444445,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,future,f1,0.17469361271444606,0.13457386989939074,0.21477656963985087,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,future,judge_correct,0.2569444444444444,0.20486111111111108,0.30902777777777773,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,gap,em,0.46527777777777785,0.3645833333333333,0.5590277777777778,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,gap,f1,0.5123719837261503,0.4339792424492946,0.5883357790454143,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,utility,gap,judge_correct,0.513888888888889,0.4375,0.5902777777777778,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,regret,now,em,0.07291666666666667,0.010416666666666666,0.13541666666666666,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,regret,now,f1,0.09775583895082533,0.035626836555971084,0.1590297289437347,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,regret,now,judge_correct,0.10416666666666667,0.041666666666666664,0.16666666666666666,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,regret,future,em,0.5381944444444444,0.44097222222222215,0.6284722222222222,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,regret,future,f1,0.6101278226769757,0.5314004546141546,0.6872913777092378,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,regret,future,judge_correct,0.6180555555555556,0.5173611111111112,0.7083333333333334,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,retained,now,em,0.7743055555555555,0.6666666666666666,0.8715277777777777,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,retained,now,f1,0.7660558962642297,0.6953239738656405,0.8340721701138368,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,retained,now,judge_correct,0.8645833333333334,0.798611111111111,0.9270833333333334,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,retained,future,em,0.08506944444444443,0.04687499999999999,0.12673611111111108,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,retained,future,f1,0.17149608686067022,0.1279292475223465,0.2137693355304032,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,retained,future,judge_correct,0.2604166666666667,0.2065972222222222,0.3194444444444444,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,channel,message,delivered_words,36.708333333333336,35.95807291666667,37.302083333333336,24,96,primary,split,l0,0.0,False,0.0
split__l0,40,channel,message,fill_ratio,0.9177083333333332,0.8989518229166665,0.9325520833333334,24,96,primary,split,l0,0.0,False,0.0
