policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations,replication,family,preference_id,lambda,lambda_infinite,future_share
scalar__l0,80,utility,now,em,0.78125,0.6875,0.859375,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,now,f1,0.8901041666666667,0.840625,0.9348958333333333,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,now,judge_correct,1.0,1.0,1.0,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,future,em,0.16666666666666666,0.14583333333333334,0.1875,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,future,f1,0.20395922738753622,0.18259729002444997,0.2243441808480871,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,future,judge_correct,0.21250000000000002,0.190625,0.234375,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,gap,em,0.6145833333333334,0.5395833333333333,0.6885416666666667,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,gap,f1,0.6861449392791303,0.6384625272518196,0.7302738905124015,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,utility,gap,judge_correct,0.7875000000000001,0.7656250000000001,0.8093750000000002,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,regret,now,em,0.015625,0.0,0.046875,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,regret,now,f1,0.008333333333333333,-0.009375000000000001,0.029166666666666667,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,regret,now,judge_correct,-0.015625,-0.046875,0.0,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,regret,future,em,0.6802083333333334,0.6427083333333334,0.7135416666666667,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,regret,future,f1,0.7233671615013526,0.7027543142791305,0.7455126726572039,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,regret,future,judge_correct,0.7802083333333334,0.7562239583333334,0.8052083333333334,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,retained,now,em,0.9791666666666666,0.9375,1.0,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,retained,now,f1,0.9039930555555555,0.8628472222222222,0.9418446180555555,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,retained,now,judge_correct,1.0,1.0,1.0,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,retained,future,em,0.19495816683316683,0.1753321873439061,0.21487522893772892,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,retained,future,f1,0.20599132227677397,0.18416155587502095,0.2259624169646491,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,retained,future,judge_correct,0.21280334249084248,0.190625,0.23437500000000003,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,channel,message,delivered_words,72.578125,71.796875,73.390625,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0,80,channel,message,fill_ratio,0.9072265625,0.8974609375,0.9173828125,16,64,scalar_probe,scalar,l0,0.0,False,0.0
scalar__l0p333,80,utility,now,em,0.765625,0.6875,0.84375,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,now,f1,0.8697916666666666,0.8151041666666666,0.9192708333333333,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,now,judge_correct,0.984375,0.953125,1.0,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,future,em,0.19583333333333333,0.16666666666666669,0.22395833333333334,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,future,f1,0.23747316341066338,0.20778210215710216,0.26744912971866097,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,future,judge_correct,0.25,0.21979166666666666,0.2791666666666667,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,gap,em,0.5697916666666667,0.496875,0.6375000000000001,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,gap,f1,0.6323185032560033,0.578770087695869,0.6818129467465405,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,utility,gap,judge_correct,0.7343750000000001,0.6781250000000001,0.7781250000000001,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,regret,now,em,0.03125,0.0,0.078125,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,regret,now,f1,0.028645833333333336,0.005208333333333334,0.05729166666666666,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,regret,now,judge_correct,0.0,0.0,0.0,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,regret,future,em,0.6510416666666667,0.6072916666666668,0.6947916666666667,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,regret,future,f1,0.6898532254782255,0.6554293631715506,0.7256393499440373,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,regret,future,judge_correct,0.7427083333333334,0.7020833333333334,0.7791666666666667,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,retained,now,em,0.9635416666666666,0.90625,1.0,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,retained,now,f1,0.8836805555555555,0.8359375,0.9279513888888888,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,retained,now,judge_correct,1.0,1.0,1.0,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,retained,future,em,0.22954346001221002,0.19834530270077147,0.25929319378538124,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,retained,future,f1,0.2395323628917379,0.209565999249593,0.26941937417328043,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,retained,future,judge_correct,0.24966231684981685,0.21979166666666666,0.2781536172161172,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,channel,message,delivered_words,72.171875,71.265625,73.203125,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l0p333,80,channel,message,fill_ratio,0.9021484375000001,0.8908203125,0.9150390625,16,64,scalar_probe,scalar,l0p333,0.3333333333333333,False,0.25
scalar__l1,80,utility,now,em,0.765625,0.6875,0.84375,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,now,f1,0.8802083333333333,0.8333333333333333,0.9244791666666666,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,now,judge_correct,0.984375,0.953125,1.0,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,future,em,0.17291666666666666,0.146875,0.20104166666666667,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,future,f1,0.21350681725681725,0.18590736607142858,0.24267013570919818,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,future,judge_correct,0.22812500000000002,0.20104166666666667,0.25625,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,gap,em,0.5927083333333334,0.5197916666666667,0.6656510416666664,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,gap,f1,0.6667015160765162,0.6164790045024421,0.7165865607193732,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,utility,gap,judge_correct,0.7562500000000001,0.703125,0.7979166666666667,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,regret,now,em,0.03125,0.0,0.078125,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,regret,now,f1,0.018229166666666668,0.0,0.0390625,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,regret,now,judge_correct,0.0,0.0,0.0,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,regret,future,em,0.6739583333333333,0.6333333333333333,0.715625,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,regret,future,f1,0.7138195716320717,0.6805143086080586,0.7490855273199023,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,regret,future,judge_correct,0.7645833333333334,0.7260416666666667,0.7979166666666668,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,retained,now,em,0.9635416666666666,0.90625,1.0,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,retained,now,f1,0.8940972222222222,0.8559027777777777,0.9305555555555556,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,retained,now,judge_correct,1.0,1.0,1.0,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,retained,future,em,0.20423690892440893,0.17705994526307028,0.23226395349442225,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,retained,future,f1,0.21510461182336182,0.18733086112382988,0.24373843069546194,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,retained,future,judge_correct,0.22730654761904762,0.20022321428571432,0.2546130952380953,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,channel,message,delivered_words,71.90625,71.265625,72.5625,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l1,80,channel,message,fill_ratio,0.8988281249999999,0.8908203125,0.9070312500000001,16,64,scalar_probe,scalar,l1,1.0,False,0.5
scalar__l3,80,utility,now,em,0.765625,0.6875,0.84375,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,now,f1,0.8802083333333333,0.8333333333333333,0.9244791666666666,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,now,judge_correct,0.984375,0.953125,1.0,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,future,em,0.18125000000000002,0.15520833333333334,0.20833333333333334,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,future,f1,0.21892450516531398,0.19343438764394646,0.2447545056216931,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,future,judge_correct,0.23333333333333334,0.20833333333333331,0.2583333333333333,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,gap,em,0.584375,0.5177083333333334,0.6458333333333334,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,gap,f1,0.6612838281680193,0.6194723377198101,0.7010874214803442,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,utility,gap,judge_correct,0.7510416666666667,0.7114583333333333,0.7854166666666667,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,regret,now,em,0.03125,0.0,0.078125,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,regret,now,f1,0.018229166666666668,0.0,0.0390625,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,regret,now,judge_correct,0.0,0.0,0.0,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,regret,future,em,0.665625,0.6260416666666666,0.7062760416666665,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,regret,future,f1,0.7084018837235748,0.6821027024191086,0.7372671021533614,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,regret,future,judge_correct,0.759375,0.73125,0.7875000000000001,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,retained,now,em,0.9635416666666666,0.90625,1.0,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,retained,now,f1,0.8940972222222222,0.8559027777777777,0.9305555555555556,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,retained,now,judge_correct,1.0,1.0,1.0,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,retained,future,em,0.21135218947718948,0.18456216309731935,0.23760864786255412,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,retained,future,f1,0.22024833758289641,0.1950778935372226,0.2460900095615169,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,retained,future,judge_correct,0.23275526556776557,0.20775526556776558,0.25775526556776557,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,channel,message,delivered_words,72.03125,71.46875,72.59375,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__l3,80,channel,message,fill_ratio,0.900390625,0.8933593750000001,0.907421875,16,64,scalar_probe,scalar,l3,3.0,False,0.75
scalar__linf,80,utility,now,em,0.75,0.65625,0.84375,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,now,f1,0.8692708333333333,0.8098958333333333,0.9213541666666667,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,now,judge_correct,0.984375,0.953125,1.0,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,future,em,0.18229166666666669,0.15416666666666667,0.21145833333333336,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,future,f1,0.22199694776900658,0.19477536879650847,0.2496773616327844,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,future,judge_correct,0.23750000000000002,0.21250000000000002,0.2635416666666667,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,gap,em,0.5677083333333333,0.49059895833333345,0.646875,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,gap,f1,0.6472738855643267,0.5955516069748606,0.6977763047138047,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,utility,gap,judge_correct,0.746875,0.7104166666666667,0.7802083333333333,16,64,scalar_probe,scalar,linf,,True,1.0
scalar__linf,80,regret,now,em,0.046875,0.0,0.09375,16,64,scalar_probe,scalar,linf,,True,1.0
