policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,80,utility,now,em,0.5625,0.4583333333333333,0.6666666666666666,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,now,f1,0.7275015084781918,0.6612862305259026,0.7955154219906663,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,now,judge_correct,0.8541666666666666,0.8020833333333334,0.9166666666666666,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,future,em,0.2222222222222222,0.16666666666666666,0.2743055555555555,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,future,f1,0.34228621915642377,0.2898461030339427,0.3955733212744814,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,future,judge_correct,0.4340277777777777,0.3680555555555555,0.5034722222222222,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,gap,em,0.34027777777777785,0.23958333333333334,0.4444444444444445,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,gap,f1,0.38521528932176824,0.30153473593664787,0.47223658883735653,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,utility,gap,judge_correct,0.4201388888888889,0.3298611111111111,0.5173611111111112,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,regret,now,em,0.07291666666666667,0.0,0.14583333333333334,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,regret,now,f1,0.05731992691322987,-0.0019400397327749245,0.11694954539618231,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,regret,now,judge_correct,0.020833333333333332,-0.0625,0.09375,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,regret,future,em,0.4131944444444445,0.31250000000000006,0.5069444444444445,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,regret,future,f1,0.442535216234998,0.3580598573450489,0.5244477095153186,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,regret,future,judge_correct,0.44097222222222227,0.34375,0.5381944444444445,24,96,seed29,split,l0,0.0,False,0.0
split__l0,80,retained,now,em,0.8229166666666666,0.7291666666666666,0.9097222222222222,24,96,seed29,split,l0,0.0,False,0.0
