dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
hotpotqa,full,1,em,0.05,0.0,0.13333333333333333,0.2509,30
hotpotqa,full,1,f1,0.09395502645502646,0.01571428571428572,0.19772652116402115,0.047,30
hotpotqa,full,1,judge_correct,0.03333333333333333,0.0,0.1,0.6302,30
hotpotqa,full,2,em,-0.05,-0.13333333333333333,0.0,0.2495,30
hotpotqa,full,2,f1,0.012116402116402115,-0.04777777777777779,0.07619973544973531,0.6884,30
hotpotqa,full,2,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,full,3,em,0.0,-0.1,0.1,1.0,30
hotpotqa,full,3,f1,0.04366522366522366,-0.03873412698412695,0.14255411255411257,0.3452,30
hotpotqa,full,3,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,full,4,em,-0.016666666666666666,-0.13333333333333333,0.08374999999999393,0.8763,30
hotpotqa,full,4,f1,0.01556998556998557,-0.0741125541125541,0.12082251082251082,0.7708,30
hotpotqa,full,4,judge_correct,-0.016666666666666666,-0.05,0.0,0.6174,30
hotpotqa,full,5,em,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,0.6129,30
hotpotqa,full,5,f1,0.013913308913308916,-0.07698412698412699,0.11790598290598289,0.7722,30
hotpotqa,full,5,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,full,6,em,-0.016666666666666666,-0.1,0.06666666666666667,0.8433,30
hotpotqa,full,6,f1,0.02454822954822955,-0.060000000000000005,0.12494566544566546,0.6103,30
hotpotqa,full,6,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,full,7,em,0.0,-0.08333333333333333,0.1,1.0,30
hotpotqa,full,7,f1,0.0301037851037851,-0.05611111111111112,0.13095299145299144,0.5333,30
hotpotqa,full,7,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,full,8,em,-0.03333333333333333,-0.11666666666666667,0.06666666666666667,0.5689,30
hotpotqa,full,8,f1,0.018095238095238098,-0.06841865079365074,0.12032142857142852,0.7124,30
hotpotqa,full,8,judge_correct,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,0.7628,30
hotpotqa,full,9,em,0.0,-0.08333333333333333,0.1,1.0,30
hotpotqa,full,9,f1,0.019682539682539683,-0.06509325396825386,0.11913492063492051,0.6766,30
hotpotqa,full,9,judge_correct,-0.03333333333333333,-0.08333333333333333,0.0,0.2595,30
hotpotqa,full,10,em,-0.016666666666666666,-0.1,0.06666666666666667,0.8433,30
hotpotqa,full,10,f1,0.013913308913308916,-0.07021428571428573,0.1139133089133089,0.7603,30
hotpotqa,full,10,judge_correct,-0.03333333333333333,-0.08333333333333333,0.0,0.2595,30
hotpotqa,medium,1,em,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.0516,30
hotpotqa,medium,1,f1,-0.014126984126984128,-0.07246031746031747,0.054761904761904755,0.6555,30
hotpotqa,medium,1,judge_correct,-0.016666666666666666,-0.05,0.0,0.629,30
hotpotqa,medium,2,em,-0.1,-0.2,-0.016666666666666666,0.0309,30
hotpotqa,medium,2,f1,-0.027777777777777783,-0.08611111111111112,0.03111111111111111,0.3358,30
hotpotqa,medium,2,judge_correct,-0.016666666666666666,-0.08333333333333333,0.03333333333333333,0.756,30
hotpotqa,medium,3,em,-0.06666666666666667,-0.15,0.00041666666666060335,0.1378,30
hotpotqa,medium,3,f1,-0.042777777777777776,-0.10777777777777778,0.021666666666666664,0.1853,30
hotpotqa,medium,3,judge_correct,-0.05,-0.11666666666666667,0.0,0.1199,30
hotpotqa,medium,4,em,-0.03333333333333333,-0.11666666666666667,0.06666666666666667,0.579,30
hotpotqa,medium,4,f1,-0.011031746031746024,-0.07278968253968245,0.05238095238095239,0.7251,30
hotpotqa,medium,4,judge_correct,-0.016666666666666666,-0.08333333333333333,0.03333333333333333,0.7659,30
hotpotqa,medium,5,em,-0.06666666666666667,-0.18333333333333332,0.05,0.2891,30
hotpotqa,medium,5,f1,-0.031031746031746018,-0.10222222222222221,0.0407142857142857,0.3892,30
hotpotqa,medium,5,judge_correct,-0.03333333333333333,-0.1,0.03333333333333333,0.4456,30
hotpotqa,medium,6,em,-0.06666666666666667,-0.18333333333333332,0.05,0.2891,30
hotpotqa,medium,6,f1,-0.041666666666666664,-0.11000000000000001,0.027777777777777776,0.2335,30
hotpotqa,medium,6,judge_correct,-0.05,-0.11666666666666667,0.0,0.1199,30
hotpotqa,medium,7,em,-0.06666666666666667,-0.18333333333333332,0.05,0.2891,30
hotpotqa,medium,7,f1,-0.040370370370370376,-0.11259259259259259,0.031851851851851846,0.2697,30
hotpotqa,medium,7,judge_correct,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.0531,30
hotpotqa,medium,8,em,-0.06666666666666667,-0.18333333333333332,0.05,0.2891,30
hotpotqa,medium,8,f1,-0.05592592592592592,-0.12814814814814815,0.017226851851851792,0.1267,30
hotpotqa,medium,8,judge_correct,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.0531,30
hotpotqa,medium,9,em,-0.1,-0.21666666666666667,0.0,0.0949,30
hotpotqa,medium,9,f1,-0.0587037037037037,-0.1285370370370369,0.010930555555555483,0.1022,30
hotpotqa,medium,9,judge_correct,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.0531,30
hotpotqa,medium,10,em,-0.06666666666666667,-0.18333333333333332,0.05,0.3307,30
hotpotqa,medium,10,f1,-0.035370370370370365,-0.10167129629629626,0.030740740740740746,0.291,30
hotpotqa,medium,10,judge_correct,-0.05,-0.1,0.0,0.1179,30
hotpotqa,short,1,em,-0.03333333333333333,-0.1,0.0,0.612,30
hotpotqa,short,1,f1,-0.03404761904761904,-0.11095238095238094,0.01904761904761905,0.3346,30
hotpotqa,short,1,judge_correct,0.016666666666666666,0.0,0.05,0.6302,30
hotpotqa,short,2,em,-0.08333333333333333,-0.2,0.016666666666666666,0.1526,30
hotpotqa,short,2,f1,-0.07793650793650793,-0.1826190476190476,0.0029384920634920315,0.0952,30
hotpotqa,short,2,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,3,em,-0.05,-0.13333333333333333,0.016666666666666666,0.3185,30
hotpotqa,short,3,f1,-0.035952380952380944,-0.11928571428571427,0.03405357142857136,0.3518,30
hotpotqa,short,3,judge_correct,0.016666666666666666,-0.05,0.1,0.8553,30
hotpotqa,short,4,em,-0.03333333333333333,-0.11666666666666667,0.03333333333333333,0.5277,30
hotpotqa,short,4,f1,-0.03238095238095237,-0.11714285714285715,0.03904761904761906,0.4177,30
hotpotqa,short,4,judge_correct,0.016666666666666666,-0.05,0.1,0.8553,30
hotpotqa,short,5,em,-0.03333333333333333,-0.13333333333333333,0.05,0.5792,30
hotpotqa,short,5,f1,-0.04849206349206348,-0.13857142857142854,0.026190476190476195,0.2426,30
hotpotqa,short,5,judge_correct,0.016666666666666666,-0.05,0.1,0.8553,30
hotpotqa,short,6,em,-0.06666666666666667,-0.16666666666666666,0.016666666666666666,0.1896,30
hotpotqa,short,6,f1,-0.06238095238095238,-0.15095238095238095,0.011428571428571436,0.1341,30
hotpotqa,short,6,judge_correct,0.016666666666666666,-0.05,0.1,0.8553,30
hotpotqa,short,7,em,-0.08333333333333333,-0.16666666666666666,-0.016666666666666666,0.0618,30
