dataset,context_variant,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,em_f1_disagree,documents_mean,context_characters_mean,handoff_characters_mean,chain_tokens_mean,answer_tokens_mean,judge_correct,judge_correct_lo,judge_correct_hi,f1_delta_from_depth0,em_delta_from_depth0,judge_correct_delta_from_depth0
hotpotqa,full,0,30,0.4333,0.2667,0.6,0.6397,0.5008,0.7722,0.3,10.0,5529.7,5529.7,0.0,1456.6,0.9333,0.8333,1.0,0.0,0.0,0.0
hotpotqa,full,1,30,0.4833,0.3,0.6667,0.7336,0.6207,0.8379,0.3333,10.0,5529.7,720.1,1639.5,264.5,0.9667,0.9,1.0,0.094,0.05,0.0333
hotpotqa,full,2,30,0.3833,0.2167,0.55,0.6518,0.5329,0.767,0.3667,10.0,5529.7,583.8,2082.9,239.0,0.9333,0.85,1.0,0.0121,-0.05,0.0
hotpotqa,full,3,30,0.4333,0.2667,0.6,0.6833,0.5626,0.796,0.3,10.0,5529.7,536.6,2489.6,230.2,0.9333,0.85,1.0,0.0437,0.0,0.0
hotpotqa,full,4,30,0.4167,0.25,0.5833,0.6553,0.5309,0.773,0.3,10.0,5529.7,501.2,2880.7,221.8,0.9167,0.8167,1.0,0.0156,-0.0167,-0.0167
hotpotqa,full,5,30,0.4,0.2333,0.5667,0.6536,0.5361,0.7667,0.3333,10.0,5529.7,465.6,3255.7,214.3,0.9333,0.85,1.0,0.0139,-0.0333,0.0
hotpotqa,full,6,30,0.4167,0.25,0.5833,0.6642,0.5487,0.7754,0.3,10.0,5529.7,444.7,3617.3,208.6,0.9333,0.85,1.0,0.0245,-0.0167,0.0
hotpotqa,full,7,30,0.4333,0.2667,0.6,0.6698,0.5535,0.781,0.2667,10.0,5529.7,441.4,3973.3,207.8,0.9333,0.85,1.0,0.0301,0.0,0.0
hotpotqa,full,8,30,0.4,0.2333,0.5667,0.6578,0.5429,0.7682,0.3,10.0,5529.7,427.2,4324.8,204.0,0.9167,0.8333,0.9833,0.0181,-0.0333,-0.0167
hotpotqa,full,9,30,0.4333,0.2667,0.6,0.6594,0.5371,0.7772,0.2667,10.0,5529.7,427.2,4673.0,203.3,0.9,0.8,0.9833,0.0197,0.0,-0.0333
hotpotqa,full,10,30,0.4167,0.25,0.5833,0.6536,0.5318,0.7715,0.3,10.0,5529.7,413.3,5019.9,203.2,0.9,0.8,0.9833,0.0139,-0.0167,-0.0333
hotpotqa,medium,0,30,0.5,0.3333,0.6667,0.7063,0.573,0.8286,0.3,5.0,2652.2,2652.2,0.0,762.3,0.9333,0.8333,1.0,0.0,0.0,0.0
hotpotqa,medium,1,30,0.4333,0.2667,0.6,0.6922,0.5722,0.8028,0.2667,5.0,2652.2,690.2,917.3,253.6,0.9167,0.8167,1.0,-0.0141,-0.0667,-0.0167
hotpotqa,medium,2,30,0.4,0.25,0.5667,0.6786,0.563,0.7864,0.3333,5.0,2652.2,534.6,1326.5,227.7,0.9167,0.8333,0.9833,-0.0278,-0.1,-0.0167
hotpotqa,medium,3,30,0.4333,0.2833,0.6,0.6636,0.5433,0.7761,0.2333,5.0,2652.2,491.7,1707.4,216.1,0.8833,0.7667,0.9667,-0.0428,-0.0667,-0.05
hotpotqa,medium,4,30,0.4667,0.3,0.6333,0.6953,0.5773,0.8052,0.2333,5.0,2652.2,459.0,2074.2,210.8,0.9167,0.8333,0.9833,-0.011,-0.0333,-0.0167
hotpotqa,medium,5,30,0.4333,0.2667,0.6,0.6753,0.5596,0.7833,0.2667,5.0,2652.2,445.1,2431.3,204.3,0.9,0.8,0.9667,-0.031,-0.0667,-0.0333
hotpotqa,medium,6,30,0.4333,0.2667,0.6,0.6647,0.5425,0.779,0.2667,5.0,2652.2,431.8,2782.3,202.9,0.8833,0.7667,0.9667,-0.0417,-0.0667,-0.05
hotpotqa,medium,7,30,0.4333,0.2667,0.6,0.666,0.5473,0.7778,0.3,5.0,2652.2,420.3,3127.3,201.6,0.8667,0.75,0.9667,-0.0404,-0.0667,-0.0667
hotpotqa,medium,8,30,0.4333,0.2667,0.6,0.6504,0.5261,0.7663,0.2333,5.0,2652.2,420.6,3470.9,203.0,0.8667,0.75,0.9667,-0.0559,-0.0667,-0.0667
hotpotqa,medium,9,30,0.4,0.2333,0.5667,0.6476,0.5286,0.7594,0.3,5.0,2652.2,405.6,3809.9,197.6,0.8667,0.75,0.9667,-0.0587,-0.1,-0.0667
hotpotqa,medium,10,30,0.4333,0.2667,0.6,0.671,0.5493,0.7852,0.3,5.0,2652.2,403.2,4143.0,196.2,0.8833,0.7667,0.9667,-0.0354,-0.0667,-0.05
hotpotqa,short,0,30,0.4667,0.3,0.6333,0.7213,0.5975,0.8313,0.3333,2.0,832.5,832.5,0.0,319.0,0.9,0.7667,1.0,0.0,0.0,0.0
hotpotqa,short,1,30,0.4333,0.2667,0.6,0.6873,0.5627,0.8033,0.3333,2.0,832.5,373.3,429.0,186.4,0.9167,0.8167,1.0,-0.034,-0.0333,0.0167
hotpotqa,short,2,30,0.3833,0.2333,0.55,0.6434,0.5162,0.7645,0.3,2.0,832.5,341.7,738.6,179.5,0.9,0.8,0.9833,-0.0779,-0.0833,0.0
hotpotqa,short,3,30,0.4167,0.25,0.5833,0.6854,0.5667,0.7947,0.3333,2.0,832.5,324.5,1040.0,178.2,0.9167,0.8167,1.0,-0.036,-0.05,0.0167
hotpotqa,short,4,30,0.4333,0.2667,0.6,0.689,0.569,0.7994,0.3333,2.0,832.5,323.0,1338.6,177.6,0.9167,0.8167,1.0,-0.0324,-0.0333,0.0167
hotpotqa,short,5,30,0.4333,0.2667,0.6,0.6729,0.5554,0.784,0.3,2.0,832.5,313.4,1634.0,175.5,0.9167,0.8167,1.0,-0.0485,-0.0333,0.0167
hotpotqa,short,6,30,0.4,0.25,0.5667,0.659,0.5441,0.7675,0.3333,2.0,832.5,312.1,1922.6,175.8,0.9167,0.8167,1.0,-0.0624,-0.0667,0.0167
hotpotqa,short,7,30,0.3833,0.2167,0.55,0.6548,0.5409,0.7633,0.3667,2.0,832.5,304.8,2211.1,171.6,0.9167,0.8167,1.0,-0.0665,-0.0833,0.0167
hotpotqa,short,8,30,0.3833,0.2167,0.55,0.6399,0.5145,0.7603,0.3,2.0,832.5,296.4,2491.5,172.6,0.9167,0.8167,1.0,-0.0814,-0.0833,0.0167
hotpotqa,short,9,30,0.3833,0.2333,0.5333,0.6348,0.5238,0.7419,0.3333,2.0,832.5,295.8,2774.5,169.4,0.9,0.8,0.9833,-0.0866,-0.0833,0.0
hotpotqa,short,10,30,0.3667,0.2167,0.5333,0.6148,0.5032,0.725,0.3333,2.0,832.5,296.3,3054.8,171.6,0.9,0.8,0.9833,-0.1066,-0.1,0.0
musique,full,0,30,0.3667,0.2,0.5333,0.4714,0.3103,0.6306,0.1333,19.97,9785.7,9785.7,0.0,2446.9,0.7,0.5333,0.8667,0.0,0.0,0.0
musique,full,1,30,0.4167,0.25,0.5833,0.5563,0.4123,0.6942,0.0667,19.97,9785.7,1038.8,2695.9,327.3,0.75,0.6,0.8833,0.085,0.05,0.05
musique,full,2,30,0.4,0.2333,0.5667,0.5491,0.407,0.6865,0.0667,19.97,9785.7,777.7,3238.6,278.7,0.7333,0.5833,0.8667,0.0778,0.0333,0.0333
musique,full,3,30,0.4,0.2333,0.5667,0.5518,0.4084,0.6885,0.0667,19.97,9785.7,705.3,3719.5,263.4,0.7333,0.5833,0.8667,0.0804,0.0333,0.0333
musique,full,4,30,0.4,0.2333,0.5667,0.5357,0.3932,0.6735,0.0667,19.97,9785.7,650.3,4163.8,249.6,0.7167,0.5833,0.85,0.0644,0.0333,0.0167
musique,full,5,30,0.4167,0.25,0.5833,0.5507,0.4074,0.6889,0.0667,19.97,9785.7,603.4,4593.1,238.3,0.7167,0.5667,0.85,0.0793,0.05,0.0167
musique,full,6,30,0.4,0.2333,0.5667,0.5326,0.3849,0.6745,0.0667,19.97,9785.7,577.1,5004.7,236.2,0.7,0.55,0.8333,0.0613,0.0333,0.0
musique,full,7,30,0.3833,0.2167,0.55,0.5139,0.365,0.659,0.1,19.97,9785.7,564.0,5411.0,233.4,0.6667,0.5167,0.8,0.0426,0.0167,-0.0333
musique,full,8,30,0.4,0.2333,0.5667,0.5532,0.4122,0.687,0.1,19.97,9785.7,563.2,5815.3,234.5,0.7167,0.5667,0.85,0.0818,0.0333,0.0167
musique,full,9,30,0.4,0.2333,0.5667,0.5328,0.3863,0.6748,0.1,19.97,9785.7,556.8,6218.9,231.1,0.7167,0.5667,0.85,0.0614,0.0333,0.0167
musique,full,10,30,0.4333,0.2667,0.6,0.5509,0.4036,0.6896,0.0667,19.97,9785.7,556.6,6619.7,231.0,0.6833,0.5333,0.8167,0.0795,0.0667,-0.0167
musique,medium,0,30,0.4333,0.2667,0.6,0.5388,0.375,0.6941,0.1333,5.0,2411.7,2411.7,0.0,681.5,0.7333,0.5667,0.8667,0.0,0.0,0.0
musique,medium,1,30,0.4833,0.3,0.6667,0.6028,0.4559,0.7441,0.0667,5.0,2411.7,859.1,875.8,286.2,0.7833,0.6333,0.9167,0.064,0.05,0.05
musique,medium,2,30,0.45,0.2833,0.6167,0.5803,0.4378,0.7223,0.1,5.0,2411.7,713.7,1358.7,258.1,0.75,0.6,0.8833,0.0416,0.0167,0.0167
musique,medium,3,30,0.4,0.2333,0.5667,0.5394,0.4029,0.6769,0.1,5.0,2411.7,637.9,1798.9,238.9,0.7333,0.5833,0.8667,0.0006,-0.0333,0.0
