dataset,context_variant,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,em_f1_disagree,documents_mean,context_characters_mean,handoff_characters_mean,chain_tokens_mean,answer_tokens_mean,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi,f1_delta_from_depth0,em_delta_from_depth0,bertscore_f1_delta_from_depth0
hotpotqa,full,0,30,0.5,0.3333,0.6667,0.7008,0.5722,0.823,0.3,10.0,5529.7,5529.7,0.0,1455.8,0.7318,0.614,0.8404,0.0,0.0,0.0
hotpotqa,full,1,30,0.35,0.2,0.5,0.5235,0.3898,0.6528,0.2333,10.0,5529.7,2000.4,1892.2,568.0,0.5782,0.4579,0.6921,-0.1772,-0.15,-0.1536
hotpotqa,full,2,30,0.3167,0.1667,0.4833,0.5035,0.3647,0.6401,0.2333,10.0,5529.7,1746.7,2884.9,506.1,0.5644,0.4351,0.6858,-0.1972,-0.1833,-0.1675
hotpotqa,full,3,30,0.3333,0.1833,0.5,0.5063,0.3674,0.6445,0.2,10.0,5529.7,1605.9,3784.9,475.8,0.5673,0.4387,0.6866,-0.1945,-0.1667,-0.1645
hotpotqa,full,4,30,0.2667,0.1329,0.4167,0.4408,0.3113,0.5735,0.2,10.0,5529.7,1516.4,4634.3,452.5,0.5265,0.415,0.6371,-0.26,-0.2333,-0.2053
hotpotqa,full,5,30,0.2667,0.1167,0.4167,0.4279,0.2933,0.5623,0.2,10.0,5529.7,1459.2,5456.0,438.8,0.5139,0.3937,0.6301,-0.2729,-0.2333,-0.218
hotpotqa,full,6,30,0.2667,0.1167,0.4167,0.4298,0.2906,0.5691,0.2,10.0,5529.7,1401.2,6224.6,423.0,0.523,0.3985,0.641,-0.271,-0.2333,-0.2089
hotpotqa,full,7,30,0.25,0.1167,0.4,0.4135,0.2813,0.5464,0.2,10.0,5529.7,1364.8,6986.5,418.7,0.492,0.3631,0.6155,-0.2873,-0.25,-0.2399
hotpotqa,full,8,30,0.25,0.1167,0.4,0.4068,0.2757,0.5396,0.1667,10.0,5529.7,1341.6,7737.1,415.2,0.4995,0.3778,0.6183,-0.294,-0.25,-0.2323
hotpotqa,full,9,30,0.2333,0.1,0.3833,0.3835,0.2581,0.514,0.1667,10.0,5529.7,1323.5,8482.6,409.4,0.4776,0.3589,0.593,-0.3173,-0.2667,-0.2542
hotpotqa,full,10,30,0.2333,0.1,0.3667,0.3748,0.2531,0.5022,0.1667,10.0,5529.7,1294.0,9213.5,403.4,0.4585,0.34,0.5746,-0.326,-0.2667,-0.2733
hotpotqa,medium,0,30,0.4667,0.3,0.6333,0.6997,0.5689,0.8183,0.3333,5.0,2652.2,2652.2,0.0,756.2,0.7487,0.6438,0.8477,0.0,0.0,0.0
hotpotqa,medium,1,30,0.4,0.2333,0.5667,0.6122,0.4836,0.7374,0.3,5.0,2652.2,1290.4,1053.4,398.2,0.656,0.5286,0.7735,-0.0875,-0.0667,-0.0928
hotpotqa,medium,2,30,0.35,0.2,0.5,0.5547,0.4275,0.68,0.2667,5.0,2652.2,1238.0,1755.4,390.0,0.6065,0.4838,0.7241,-0.145,-0.1167,-0.1422
hotpotqa,medium,3,30,0.3667,0.2167,0.5333,0.5713,0.4408,0.6986,0.2667,5.0,2652.2,1191.7,2438.9,375.1,0.6226,0.5019,0.7365,-0.1283,-0.1,-0.1261
hotpotqa,medium,4,30,0.35,0.2,0.5167,0.5296,0.4,0.6592,0.2333,5.0,2652.2,1136.9,3090.4,365.0,0.5963,0.4763,0.7105,-0.1701,-0.1167,-0.1524
hotpotqa,medium,5,30,0.3667,0.2,0.5333,0.5288,0.3893,0.6652,0.2,5.0,2652.2,1134.7,3734.2,362.8,0.592,0.4696,0.7088,-0.1709,-0.1,-0.1567
hotpotqa,medium,6,30,0.3667,0.2167,0.5333,0.5324,0.4013,0.6614,0.2,5.0,2652.2,1104.5,4369.6,353.6,0.5918,0.4717,0.7074,-0.1673,-0.1,-0.1569
hotpotqa,medium,7,30,0.3167,0.1667,0.4833,0.4776,0.3432,0.6122,0.2,5.0,2652.2,1095.2,4987.0,349.9,0.549,0.4197,0.6735,-0.2221,-0.15,-0.1997
hotpotqa,medium,8,30,0.3333,0.1833,0.5,0.4993,0.3617,0.6371,0.2,5.0,2652.2,1088.0,5601.4,347.4,0.5768,0.4559,0.6919,-0.2004,-0.1333,-0.172
hotpotqa,medium,9,30,0.3167,0.1667,0.4833,0.482,0.3412,0.6261,0.2,5.0,2652.2,1081.1,6220.7,349.3,0.5676,0.4481,0.6839,-0.2177,-0.15,-0.1811
hotpotqa,medium,10,30,0.3,0.15,0.45,0.4818,0.3517,0.611,0.2,5.0,2652.2,1064.6,6834.1,344.9,0.5597,0.4377,0.6759,-0.2179,-0.1667,-0.189
hotpotqa,short,0,30,0.5,0.3333,0.6667,0.7547,0.6402,0.8583,0.3333,2.0,832.5,832.5,0.0,314.7,0.7702,0.6572,0.8706,0.0,0.0,0.0
hotpotqa,short,1,30,0.4,0.2333,0.5667,0.6347,0.4994,0.765,0.3,2.0,832.5,564.6,446.4,232.6,0.6789,0.5535,0.7962,-0.12,-0.1,-0.0913
hotpotqa,short,2,30,0.3667,0.2,0.5333,0.5891,0.4467,0.7272,0.3,2.0,832.5,569.5,838.5,231.8,0.6696,0.5462,0.7841,-0.1656,-0.1333,-0.1007
hotpotqa,short,3,30,0.3833,0.2167,0.55,0.5725,0.4278,0.7139,0.2667,2.0,832.5,565.7,1222.8,232.7,0.6499,0.5208,0.7716,-0.1822,-0.1167,-0.1203
hotpotqa,short,4,30,0.3833,0.2167,0.55,0.5669,0.4186,0.7115,0.2667,2.0,832.5,559.3,1605.2,229.7,0.6513,0.5211,0.7741,-0.1878,-0.1167,-0.1189
hotpotqa,short,5,30,0.3167,0.1667,0.4833,0.5002,0.3572,0.6439,0.2667,2.0,832.5,537.0,1974.2,224.8,0.6136,0.4932,0.7295,-0.2544,-0.1833,-0.1566
hotpotqa,short,6,30,0.3167,0.1667,0.4833,0.5002,0.3572,0.6439,0.2667,2.0,832.5,523.1,2343.4,222.2,0.6086,0.4878,0.7256,-0.2544,-0.1833,-0.1616
hotpotqa,short,7,30,0.3167,0.1667,0.4833,0.5002,0.3572,0.6439,0.2667,2.0,832.5,520.7,2703.8,221.6,0.6125,0.4919,0.729,-0.2544,-0.1833,-0.1577
hotpotqa,short,8,30,0.3167,0.1667,0.4833,0.4891,0.3444,0.6341,0.2667,2.0,832.5,520.4,3065.8,220.7,0.6007,0.4765,0.7213,-0.2656,-0.1833,-0.1695
hotpotqa,short,9,30,0.3167,0.1667,0.4833,0.4908,0.3452,0.6357,0.2667,2.0,832.5,512.5,3422.3,221.1,0.6063,0.4904,0.7204,-0.2639,-0.1833,-0.1639
hotpotqa,short,10,30,0.3333,0.1667,0.5,0.5075,0.3586,0.6567,0.2667,2.0,832.5,512.0,3784.7,219.8,0.6242,0.5037,0.7428,-0.2472,-0.1667,-0.146
musique,full,0,30,0.3667,0.2,0.5333,0.4757,0.3157,0.6338,0.1333,19.97,9785.7,9785.7,0.0,2449.7,0.6091,0.4922,0.7259,0.0,0.0,0.0
musique,full,1,30,0.2,0.0833,0.3333,0.2874,0.1583,0.4283,0.0333,19.97,9785.7,2644.3,3019.3,711.7,0.4471,0.3309,0.5625,-0.1883,-0.1667,-0.162
musique,full,2,30,0.1833,0.0833,0.3,0.2863,0.1622,0.4189,0.1,19.97,9785.7,2357.5,4283.4,638.0,0.459,0.3406,0.569,-0.1894,-0.1833,-0.1501
musique,full,3,30,0.2,0.0833,0.3333,0.2916,0.1604,0.4306,0.0333,19.97,9785.7,2243.1,5447.0,611.0,0.4492,0.3284,0.5688,-0.1841,-0.1667,-0.1599
musique,full,4,30,0.1667,0.0667,0.2833,0.2645,0.1401,0.3978,0.0667,19.97,9785.7,2099.8,6541.9,579.8,0.4034,0.2861,0.523,-0.2112,-0.2,-0.2057
musique,full,5,30,0.1833,0.0667,0.3,0.2774,0.1496,0.4125,0.0667,19.97,9785.7,1998.7,7594.6,556.7,0.4186,0.3068,0.5361,-0.1984,-0.1833,-0.1905
musique,full,6,30,0.1833,0.0667,0.3167,0.252,0.127,0.3881,0.0333,19.97,9785.7,1982.4,8622.9,555.0,0.4075,0.2837,0.5337,-0.2237,-0.1833,-0.2016
musique,full,7,30,0.1333,0.0333,0.25,0.1963,0.0879,0.3212,0.0333,19.97,9785.7,1894.3,9621.8,533.5,0.3631,0.2616,0.47,-0.2794,-0.2333,-0.246
musique,full,8,30,0.15,0.05,0.2667,0.2148,0.1,0.3435,0.0667,19.97,9785.7,1888.4,10607.7,533.4,0.3811,0.2657,0.4981,-0.2609,-0.2167,-0.2281
musique,full,9,30,0.1667,0.0667,0.2833,0.2194,0.1028,0.3472,0.0667,19.97,9785.7,1845.1,11574.2,519.4,0.3737,0.2635,0.4853,-0.2563,-0.2,-0.2355
musique,full,10,30,0.15,0.05,0.2667,0.2033,0.0916,0.3278,0.0333,19.97,9785.7,1821.4,12527.1,513.0,0.3758,0.2678,0.4843,-0.2724,-0.2167,-0.2333
musique,medium,0,30,0.4333,0.2667,0.6,0.5388,0.375,0.6941,0.1333,5.0,2411.7,2411.7,0.0,683.7,0.6646,0.5459,0.7772,0.0,0.0,0.0
musique,medium,1,30,0.2833,0.1333,0.45,0.4184,0.2624,0.5792,0.1667,5.0,2411.7,1290.0,968.9,389.7,0.5245,0.3931,0.6554,-0.1204,-0.15,-0.1402
musique,medium,2,30,0.3,0.15,0.4667,0.4105,0.2552,0.5714,0.1333,5.0,2411.7,1275.7,1656.1,387.6,0.5318,0.4075,0.6562,-0.1283,-0.1333,-0.1328
musique,medium,3,30,0.3,0.15,0.4667,0.4163,0.2624,0.5741,0.1333,5.0,2411.7,1251.9,2341.5,379.1,0.5163,0.3925,0.643,-0.1224,-0.1333,-0.1484
musique,medium,4,30,0.2833,0.1333,0.4333,0.3958,0.2488,0.5493,0.1,5.0,2411.7,1201.2,3006.9,368.8,0.5043,0.3897,0.6239,-0.1429,-0.15,-0.1603
musique,medium,5,30,0.3,0.15,0.45,0.4204,0.2739,0.5711,0.1,5.0,2411.7,1177.0,3656.2,366.5,0.533,0.4214,0.6483,-0.1184,-0.1333,-0.1317
musique,medium,6,30,0.2833,0.1333,0.45,0.3928,0.24,0.5514,0.1,5.0,2411.7,1169.1,4301.2,362.4,0.5083,0.3851,0.6349,-0.146,-0.15,-0.1564
musique,medium,7,30,0.2833,0.1333,0.4333,0.4121,0.2623,0.5635,0.1,5.0,2411.7,1157.5,4944.4,359.7,0.5134,0.3948,0.6351,-0.1267,-0.15,-0.1512
musique,medium,8,30,0.2833,0.1333,0.4333,0.4087,0.259,0.5619,0.1,5.0,2411.7,1159.3,5583.2,361.5,0.5182,0.4015,0.638,-0.1301,-0.15,-0.1464
musique,medium,9,30,0.2833,0.1333,0.4333,0.3943,0.2494,0.5466,0.1,5.0,2411.7,1155.2,6229.7,356.9,0.5164,0.3933,0.6391,-0.1444,-0.15,-0.1482
musique,medium,10,30,0.3,0.1667,0.45,0.4121,0.2765,0.5574,0.1,5.0,2411.7,1112.1,6853.5,350.3,0.5168,0.4034,0.6339,-0.1266,-0.1333,-0.1478
musique,short,0,30,0.4333,0.2667,0.6,0.5324,0.3657,0.6937,0.1333,2.7,1316.5,1316.5,0.0,415.8,0.639,0.5107,0.7625,0.0,0.0,0.0
musique,short,1,30,0.3667,0.2,0.5333,0.5182,0.3582,0.6757,0.2,2.7,1316.5,777.8,586.4,273.8,0.591,0.4632,0.7154,-0.0142,-0.0667,-0.048
musique,short,2,30,0.35,0.2,0.5167,0.492,0.3367,0.6484,0.1667,2.7,1316.5,776.2,1054.3,272.9,0.5602,0.4359,0.6837,-0.0403,-0.0833,-0.0788
musique,short,3,30,0.35,0.2,0.5167,0.493,0.3361,0.6488,0.1667,2.7,1316.5,756.0,1519.2,268.0,0.571,0.4426,0.6981,-0.0394,-0.0833,-0.0679
musique,short,4,30,0.3333,0.1667,0.5,0.4757,0.3218,0.6306,0.1667,2.7,1316.5,738.4,1970.5,263.6,0.5647,0.4414,0.6871,-0.0567,-0.1,-0.0743
musique,short,5,30,0.3333,0.1667,0.5,0.4824,0.3284,0.6377,0.1667,2.7,1316.5,732.9,2420.3,262.1,0.5709,0.4477,0.6935,-0.05,-0.1,-0.0681
musique,short,6,30,0.35,0.2,0.5167,0.4923,0.3366,0.6478,0.1667,2.7,1316.5,730.5,2857.5,261.8,0.5679,0.4446,0.6902,-0.0401,-0.0833,-0.0711
musique,short,7,30,0.35,0.2,0.5167,0.4926,0.3383,0.647,0.1667,2.7,1316.5,715.2,3299.0,261.7,0.5723,0.4541,0.6912,-0.0398,-0.0833,-0.0667
musique,short,8,30,0.3333,0.1667,0.5,0.4702,0.3133,0.6274,0.1667,2.7,1316.5,715.1,3741.1,259.0,0.5651,0.4411,0.6891,-0.0621,-0.1,-0.0739
musique,short,9,30,0.3333,0.1667,0.5,0.4735,0.3211,0.6289,0.1333,2.7,1316.5,701.9,4180.1,255.6,0.5772,0.4603,0.6944,-0.0588,-0.1,-0.0617
musique,short,10,30,0.35,0.2,0.5167,0.4976,0.3413,0.6524,0.2,2.7,1316.5,700.2,4614.1,259.2,0.579,0.4536,0.7004,-0.0348,-0.0833,-0.06
