dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
hotpotqa,full,1,em,0.0,-0.3,0.3,1.0,10
hotpotqa,full,1,f1,-0.052380952380952375,-0.2857142857142857,0.10952380952380954,0.6311,10
hotpotqa,full,3,em,-0.1,-0.3,0.0,0.6126,10
hotpotqa,full,3,f1,-0.10793650793650793,-0.3412698412698413,0.06666666666666668,0.3148,10
hotpotqa,full,5,em,-0.1,-0.3,0.0,0.6126,10
hotpotqa,full,5,f1,-0.10793650793650793,-0.3412698412698413,0.06666666666666668,0.3148,10
hotpotqa,medium,1,em,0.0,-0.3,0.3,1.0,10
hotpotqa,medium,1,f1,-0.08571428571428572,-0.3,0.04285714285714287,0.6034,10
hotpotqa,medium,3,em,0.0,-0.3,0.3,1.0,10
hotpotqa,medium,3,f1,-0.08571428571428572,-0.3,0.04285714285714287,0.6034,10
hotpotqa,medium,5,em,0.0,-0.3,0.3,1.0,10
hotpotqa,medium,5,f1,-0.08571428571428572,-0.3,0.04285714285714287,0.6034,10
hotpotqa,short,1,em,0.0,0.0,0.0,1.0,10
hotpotqa,short,1,f1,0.0,0.0,0.0,1.0,10
hotpotqa,short,3,em,-0.1,-0.3,0.0,0.61,10
hotpotqa,short,3,f1,-0.10952380952380951,-0.26190476190476186,0.0,0.1999,10
hotpotqa,short,5,em,-0.1,-0.3,0.0,0.61,10
hotpotqa,short,5,f1,-0.10952380952380951,-0.26190476190476186,0.0,0.1999,10
musique,full,1,em,0.1,-0.2,0.4,0.7618,10
musique,full,1,f1,0.06666666666666667,-0.25,0.36666666666666664,0.697,10
musique,full,3,em,0.2,-0.2,0.6,0.423,10
musique,full,3,f1,0.11666666666666665,-0.23333333333333334,0.4666666666666666,0.5432,10
musique,full,5,em,0.2,-0.2,0.6,0.423,10
musique,full,5,f1,0.11666666666666665,-0.23333333333333334,0.4666666666666666,0.5432,10
musique,medium,1,em,0.3,0.0,0.6,0.0738,10
musique,medium,1,f1,0.21000000000000002,0.0,0.45,0.0684,10
musique,medium,3,em,0.1,-0.2,0.4,0.766,10
musique,medium,3,f1,0.07666666666666666,-0.22333333333333333,0.37666666666666665,0.639,10
musique,medium,5,em,0.1,-0.2,0.4,0.766,10
musique,medium,5,f1,0.07666666666666666,-0.22333333333333333,0.37666666666666665,0.639,10
musique,short,1,em,0.1,-0.3,0.5,0.8172,10
musique,short,1,f1,0.026666666666666682,-0.3733333333333333,0.42000000000000004,0.9046,10
musique,short,3,em,0.2,-0.2,0.6,0.418,10
musique,short,3,f1,0.12666666666666668,-0.20666666666666664,0.4666666666666667,0.4734,10
musique,short,5,em,0.2,-0.2,0.6,0.418,10
musique,short,5,f1,0.12666666666666668,-0.20666666666666664,0.4666666666666667,0.4734,10
