dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
hotpotqa,full,1,em,-0.016666666666666666,-0.16666666666666666,0.13333333333333333,0.9196,30
hotpotqa,full,1,f1,0.05335818429936077,-0.04482157760540111,0.1605560367736838,0.31,30
hotpotqa,full,1,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1125,30
hotpotqa,full,2,em,0.03333333333333333,-0.13333333333333333,0.2,0.7689,30
hotpotqa,full,2,f1,0.06332008586910547,-0.0554720107416186,0.1895063025210084,0.3074,30
hotpotqa,full,2,judge_correct,0.1,0.0,0.23333333333333334,0.1168,30
hotpotqa,full,3,em,0.05,-0.1,0.2,0.5971,30
hotpotqa,full,3,f1,0.08550469138704431,-0.017279505625093807,0.20389871566342155,0.1297,30
hotpotqa,full,3,judge_correct,0.1,0.0,0.23333333333333334,0.1168,30
hotpotqa,full,4,em,0.03333333333333333,-0.1,0.16666666666666666,0.7127,30
hotpotqa,full,4,f1,0.06306879395114687,-0.02408796269090384,0.16112400263135546,0.1814,30
hotpotqa,full,4,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1147,30
hotpotqa,full,5,em,0.016666666666666666,-0.1,0.15,0.8986,30
hotpotqa,full,5,f1,0.051563153997231076,-0.03749054219388904,0.15116751585691748,0.2768,30
hotpotqa,full,5,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1147,30
hotpotqa,full,6,em,0.03333333333333333,-0.1,0.16666666666666666,0.6986,30
hotpotqa,full,6,f1,0.053253609135962075,-0.04277813689578395,0.15744092508798388,0.2907,30
hotpotqa,full,6,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1147,30
hotpotqa,full,7,em,0.05,-0.08333333333333333,0.2,0.5649,30
hotpotqa,full,7,f1,0.07609674639086403,-0.035712535014005585,0.19956487466781578,0.2029,30
hotpotqa,full,7,judge_correct,0.1,0.0,0.23333333333333334,0.1168,30
hotpotqa,full,8,em,0.0,-0.15,0.15,1.0,30
hotpotqa,full,8,f1,0.030555196437549375,-0.07887500897795013,0.14187184873949574,0.5857,30
hotpotqa,full,8,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1147,30
hotpotqa,full,9,em,-0.03333333333333333,-0.18333333333333332,0.11666666666666667,0.7436,30
hotpotqa,full,9,f1,0.0177275707636239,-0.09472274931477967,0.13241182349697528,0.7609,30
hotpotqa,full,9,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1147,30
hotpotqa,full,10,em,0.0,-0.13333333333333333,0.13333333333333333,1.0,30
hotpotqa,full,10,f1,0.033456431005450614,-0.07451499118165784,0.14359129478002022,0.5392,30
hotpotqa,full,10,judge_correct,0.08333333333333333,0.0,0.18333333333333332,0.1147,30
hotpotqa,medium,1,em,0.03333333333333333,-0.13333333333333333,0.2,0.772,30
hotpotqa,medium,1,f1,-0.0016019536019535984,-0.11274435286935285,0.09314603174603177,0.9752,30
hotpotqa,medium,1,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,2,em,0.0,-0.13333333333333333,0.13333333333333333,1.0,30
hotpotqa,medium,2,f1,-0.011302709636042973,-0.11434591951258616,0.07499599166265833,0.8166,30
hotpotqa,medium,2,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,3,em,-0.05,-0.18333333333333332,0.06666666666666667,0.5161,30
hotpotqa,medium,3,f1,-0.02474172232995763,-0.12551382783882784,0.061547008547008515,0.613,30
hotpotqa,medium,3,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,4,em,-0.03333333333333333,-0.16666666666666666,0.08333333333333333,0.7084,30
hotpotqa,medium,4,f1,-0.015630611218846513,-0.11654586834733885,0.06868824965883788,0.7375,30
hotpotqa,medium,4,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,5,em,-0.016666666666666666,-0.16666666666666666,0.11666666666666667,0.9094,30
hotpotqa,medium,5,f1,-0.017773468361703657,-0.11739064856711916,0.06597500538677009,0.6988,30
hotpotqa,medium,5,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,6,em,-0.016666666666666666,-0.16666666666666666,0.11666666666666667,0.9069,30
hotpotqa,medium,6,f1,-0.021358902535373123,-0.12752043381455141,0.06855203619909502,0.6685,30
hotpotqa,medium,6,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,7,em,-0.03333333333333333,-0.18333333333333332,0.1,0.7187,30
hotpotqa,medium,7,f1,-0.02620017237664296,-0.1338436130862601,0.06688034188034188,0.6072,30
hotpotqa,medium,7,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,8,em,-0.05,-0.18333333333333332,0.08333333333333333,0.5461,30
hotpotqa,medium,8,f1,-0.03175572793219851,-0.1379365079365079,0.06025641025641025,0.5273,30
hotpotqa,medium,8,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,9,em,-0.05,-0.18333333333333332,0.08333333333333333,0.5461,30
hotpotqa,medium,9,f1,-0.034660593582162204,-0.14267665214233843,0.05921831382125493,0.5001,30
hotpotqa,medium,9,judge_correct,0.0,-0.1,0.1,1.0,30
hotpotqa,medium,10,em,-0.016666666666666666,-0.15,0.1,0.8972,30
hotpotqa,medium,10,f1,-0.009533505709976294,-0.09513538748832866,0.06976190476190476,0.8219,30
hotpotqa,medium,10,judge_correct,0.016666666666666666,-0.05,0.1,0.8486,30
hotpotqa,short,1,em,-0.08333333333333333,-0.21666666666666667,0.05,0.279,30
hotpotqa,short,1,f1,-0.04052136752136752,-0.11974829059829055,0.030584188034187627,0.2892,30
hotpotqa,short,1,judge_correct,0.016666666666666666,0.0,0.05,0.6286,30
hotpotqa,short,2,em,-0.06666666666666667,-0.21666666666666667,0.08333333333333333,0.441,30
hotpotqa,short,2,f1,-0.023296703296703292,-0.09472924297924293,0.04444444444444443,0.5155,30
hotpotqa,short,2,judge_correct,0.016666666666666666,0.0,0.05,0.6286,30
hotpotqa,short,3,em,-0.03333333333333333,-0.18333333333333332,0.11666666666666667,0.7454,30
hotpotqa,short,3,f1,-0.012456008044243343,-0.10491365007541478,0.08754399195575666,0.7948,30
hotpotqa,short,3,judge_correct,0.03333333333333333,0.0,0.1,0.6286,30
hotpotqa,short,4,em,-0.06666666666666667,-0.21666666666666667,0.08333333333333333,0.441,30
hotpotqa,short,4,f1,-0.03775515334338864,-0.11313939165409752,0.03224484665661136,0.3091,30
hotpotqa,short,4,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,5,em,-0.06666666666666667,-0.21666666666666667,0.08333333333333333,0.441,30
hotpotqa,short,5,f1,-0.0529400991165697,-0.14380083315377426,0.028174603174603175,0.2331,30
hotpotqa,short,5,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,6,em,-0.06666666666666667,-0.2,0.06666666666666667,0.3959,30
hotpotqa,short,6,f1,-0.040313150901386194,-0.11792521367521365,0.03198843640020112,0.2924,30
hotpotqa,short,6,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,7,em,-0.11666666666666667,-0.26666666666666666,0.0,0.1092,30
hotpotqa,short,7,f1,-0.0648210874093227,-0.15030912159735688,0.010544566544566543,0.1142,30
hotpotqa,short,7,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,8,em,-0.13333333333333333,-0.3,0.0,0.1239,30
hotpotqa,short,8,f1,-0.07737937969175293,-0.1653447409025502,-0.0005555555555555536,0.0664,30
hotpotqa,short,8,judge_correct,-0.016666666666666666,-0.05,0.0,0.6244,30
hotpotqa,short,9,em,-0.1,-0.25,0.05,0.2187,30
