dataset,context_variant,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,em_f1_disagree,documents_mean,context_characters_mean,handoff_characters_mean,chain_tokens_mean,answer_tokens_mean,judge_correct,judge_correct_lo,judge_correct_hi,f1_delta_from_depth0,em_delta_from_depth0,judge_correct_delta_from_depth0
hotpotqa,full,0,30,0.5,0.3333,0.6667,0.6697,0.5246,0.8062,0.2333,10.0,5443.7,5443.7,0.0,1521.3,0.8333,0.7,0.9667,0.0,0.0,0.0
hotpotqa,full,1,30,0.4833,0.3,0.6667,0.7231,0.6088,0.8294,0.3667,10.0,5443.7,661.3,1706.0,269.8,0.9167,0.8167,1.0,0.0534,-0.0167,0.0833
hotpotqa,full,2,30,0.5333,0.3667,0.7,0.733,0.6138,0.8448,0.2333,10.0,5443.7,522.1,2146.3,236.2,0.9333,0.8333,1.0,0.0633,0.0333,0.1
hotpotqa,full,3,30,0.55,0.3833,0.7167,0.7552,0.6419,0.8596,0.2667,10.0,5443.7,496.9,2547.8,230.2,0.9333,0.8333,1.0,0.0855,0.05,0.1
hotpotqa,full,4,30,0.5333,0.3667,0.7,0.7328,0.6174,0.8413,0.2333,10.0,5443.7,486.2,2941.2,227.8,0.9167,0.8167,1.0,0.0631,0.0333,0.0833
hotpotqa,full,5,30,0.5167,0.35,0.6833,0.7213,0.6038,0.832,0.2667,10.0,5443.7,480.7,3329.3,225.4,0.9167,0.8167,1.0,0.0516,0.0167,0.0833
hotpotqa,full,6,30,0.5333,0.3667,0.7,0.723,0.6046,0.8349,0.2,10.0,5443.7,477.5,3714.2,223.8,0.9167,0.8167,1.0,0.0533,0.0333,0.0833
hotpotqa,full,7,30,0.55,0.3833,0.7167,0.7458,0.6285,0.8545,0.2333,10.0,5443.7,476.1,4098.1,224.2,0.9333,0.8333,1.0,0.0761,0.05,0.1
hotpotqa,full,8,30,0.5,0.3333,0.6667,0.7003,0.5807,0.8126,0.2,10.0,5443.7,476.4,4481.2,223.7,0.9167,0.8167,1.0,0.0306,0.0,0.0833
hotpotqa,full,9,30,0.4667,0.3,0.6333,0.6874,0.568,0.802,0.2667,10.0,5443.7,476.7,4863.6,223.8,0.9167,0.8167,1.0,0.0177,-0.0333,0.0833
hotpotqa,full,10,30,0.5,0.3333,0.6667,0.7032,0.5833,0.8178,0.2333,10.0,5443.7,473.0,5245.6,223.2,0.9167,0.8167,1.0,0.0335,0.0,0.0833
hotpotqa,medium,0,30,0.5,0.3333,0.6667,0.7087,0.5722,0.8341,0.3,5.0,2625.6,2625.6,0.0,794.7,0.9,0.8,1.0,0.0,0.0,0.0
hotpotqa,medium,1,30,0.5333,0.3667,0.7,0.7071,0.5783,0.827,0.2,5.0,2625.6,566.0,958.3,247.8,0.9,0.8,1.0,-0.0016,0.0333,0.0
hotpotqa,medium,2,30,0.5,0.3333,0.6667,0.6974,0.5697,0.8174,0.2,5.0,2625.6,511.3,1373.3,232.4,0.9,0.8,1.0,-0.0113,0.0,0.0
hotpotqa,medium,3,30,0.45,0.2833,0.6167,0.684,0.5614,0.798,0.2667,5.0,2625.6,501.2,1771.2,230.1,0.9,0.8,1.0,-0.0247,-0.05,0.0
hotpotqa,medium,4,30,0.4667,0.3,0.6333,0.6931,0.5709,0.8053,0.2667,5.0,2625.6,493.4,2164.2,227.4,0.9,0.8,1.0,-0.0156,-0.0333,0.0
hotpotqa,medium,5,30,0.4833,0.3167,0.65,0.691,0.5621,0.81,0.2667,5.0,2625.6,492.6,2554.4,226.7,0.9,0.8,1.0,-0.0178,-0.0167,0.0
hotpotqa,medium,6,30,0.4833,0.3167,0.65,0.6874,0.5548,0.8106,0.2,5.0,2625.6,494.0,2944.0,227.2,0.9,0.8,1.0,-0.0214,-0.0167,0.0
hotpotqa,medium,7,30,0.4667,0.3,0.6333,0.6825,0.5573,0.8001,0.2333,5.0,2625.6,494.9,3334.3,227.4,0.9,0.8,1.0,-0.0262,-0.0333,0.0
