policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered
conditioned,20,17,64,18.28125,1.0152605420550767,17.0,20.0,0.9140625,0.0,0.0,0.0,0.453125,0.25,0.3125,0.0,27,128,41.390625,30.8125,False
conditioned,40,34,64,36.46875,2.007673770375548,34.0,40.0,0.9117187499999999,0.0,0.03125,0.03125,0.671875,0.078125,0.796875,0.0,54,128,85.265625,61.890625,False
conditioned,80,68,64,72.875,3.2684154696947085,68.0,80.0,0.9109375,0.0,0.0,0.0,0.671875,0.03125,0.71875,0.000202921875,108,238,156.140625,123.875,False
conditioned,160,136,64,143.890625,5.645948645808879,136.0,157.0,0.89931640625,0.0,0.0,0.0,0.875,0.0,0.953125,0.00175125,216,475,330.6875,246.140625,False
generic,20,17,16,18.75,1.0,17.0,20.0,0.9375,0.0,0.0,0.0,0.4375,0.4375,0.0,0.0,27,128,46.25,33.3125,False
generic,40,34,16,37.125,1.857417562100671,34.0,40.0,0.9281250000000001,0.0,0.0,0.0,0.75,0.75,0.0625,0.0,54,128,104.8125,61.9375,False
generic,80,68,16,73.25,3.492849839314596,68.0,79.0,0.915625,0.0,0.0,0.0,0.375,0.0,0.375,0.0,108,238,140.4375,126.625,False
generic,160,136,16,143.5625,4.257835913544188,137.0,151.0,0.897265625,0.0,0.0,0.0,0.625,0.0,0.625,0.0,216,475,303.3125,250.0625,False
oracle,20,17,16,18.0625,1.0626225419530053,17.0,20.0,0.903125,0.0,0.0,0.0,0.8125,0.6875,0.1875,0.0,27,128,68.5625,30.125,False
oracle,40,34,16,36.75,1.879716290649558,34.0,40.0,0.9187500000000001,0.0,0.0,0.0,1.0,1.25,0.1875,0.0,54,128,172.5,62.3125,False
oracle,80,68,16,75.625,2.526525941551627,72.0,80.0,0.9453125,0.0,0.0,0.0,0.8125,1.0625,0.0,0.0,108,238,281.1875,128.5,False
oracle,160,136,16,143.6875,6.83831119502469,136.0,157.0,0.898046875,0.0,0.0,0.0,0.375,0.3125,0.0625,0.001293125,216,475,288.4375,246.125,False
reusable,20,17,64,18.34375,1.0113443826498767,17.0,20.0,0.9171875,0.0,0.015625,0.015625,0.515625,0.3125,0.34375,0.0,27,128,44.828125,30.84375,False
reusable,40,34,64,36.796875,1.8531799139993919,34.0,40.0,0.919921875,0.0,0.0,0.0,0.375,0.109375,0.40625,0.0,54,128,74.84375,62.609375,False
reusable,80,68,64,72.9375,2.9378482569650157,68.0,79.0,0.91171875,0.0,0.0,0.0,0.546875,0.046875,0.546875,0.0,108,238,152.265625,125.375,False
reusable,160,136,64,143.28125,4.7824704713697725,136.0,156.0,0.8955078125,0.0,0.0,0.0,0.78125,0.0,0.828125,0.001029359375,216,475,327.6875,245.625,False
