comparison,budget_words,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,20,delivered_words,-0.46875,-1.0,0.078125,0.0907,16,-0.4153016616332707
conditioned_minus_generic,40,delivered_words,-0.65625,-1.46875,0.140625,0.1157,16,-0.391094681559985
conditioned_minus_generic,80,delivered_words,-0.375,-2.15625,1.375,0.6873,16,-0.1002826755620253
conditioned_minus_generic,160,delivered_words,0.328125,-2.34375,3.046875,0.8123,16,0.05748535070603061
conditioned_minus_reusable,20,delivered_words,-0.0625,-0.375,0.234375,0.7273,16,-0.09634406166350774
conditioned_minus_reusable,40,delivered_words,-0.328125,-0.71875,0.03125,0.0935,16,-0.418640232081096
conditioned_minus_reusable,80,delivered_words,-0.0625,-1.125,1.015625,0.9232,16,-0.027419050501301882
conditioned_minus_reusable,160,delivered_words,0.609375,-1.234375,2.28125,0.5087,16,0.16233324315059502
reusable_minus_generic,20,delivered_words,-0.40625,-0.9375,0.140625,0.149,16,-0.35992810674883463
reusable_minus_generic,40,delivered_words,-0.328125,-1.21875,0.546875,0.4893,16,-0.1773608163168356
reusable_minus_generic,80,delivered_words,-0.3125,-1.953125,1.34375,0.7305,16,-0.0889985969185133
reusable_minus_generic,160,delivered_words,-0.28125,-3.0625,2.53125,0.86,16,-0.04700643726629349
oracle_minus_conditioned,20,delivered_words,-0.21875,-0.7660156249999965,0.328125,0.456,16,-0.18776362894083473
oracle_minus_conditioned,40,delivered_words,0.28125,-0.7347656249999965,1.34375,0.6105,16,0.12805329475142832
oracle_minus_conditioned,80,delivered_words,2.75,1.28125,4.296875,0.0008,16,0.8527388003008081
oracle_minus_conditioned,160,delivered_words,-0.203125,-3.8128906249999965,3.6875,0.9191,16,-0.02531456688676228
oracle_minus_generic,20,delivered_words,-0.6875,-1.25,-0.125,0.0226,16,-0.5750839715589571
oracle_minus_generic,40,delivered_words,-0.375,-1.625,0.875,0.593,16,-0.14398249279324982
oracle_minus_generic,80,delivered_words,2.375,0.875,3.75,0.0018,16,0.7725875577509221
oracle_minus_generic,160,delivered_words,0.125,-4.0,4.3125,0.9663,16,0.014203628411034085
