policy,budget_words,endpoint,metric,mean,lo,hi,n_contexts,n_excluded_low_ceiling,min_ceiling_for_ratio
conditioned,20,now,em,0.9322916666666666,0.8541666666666666,1.0,16,0,0.25
conditioned,20,now,f1,0.9862599206349206,0.9618055555555556,1.009126984126984,16,0,0.25
conditioned,20,now,judge_correct,1.0208333333333333,1.0,1.0625,16,0,0.25
conditioned,20,future,em,0.04921136841732848,0.03849419233309014,0.05892649713035915,16,0,0.25
conditioned,20,future,f1,0.0968730381245106,0.0843574393035834,0.11062607148906942,16,0,0.25
conditioned,20,future,judge_correct,0.07763364779874214,0.07083333333333333,0.08547562893081762,16,0,0.25
conditioned,40,now,em,0.9635416666666666,0.9114583333333333,1.0,16,0,0.25
conditioned,40,now,f1,0.9789186507936507,0.9546130952380952,1.0,16,0,0.25
conditioned,40,now,judge_correct,1.0,1.0,1.0,16,0,0.25
conditioned,40,future,em,0.08017460515576384,0.06894072284497789,0.09193116587753682,16,0,0.25
conditioned,40,future,f1,0.1128417271164611,0.09793394845962551,0.1281472739629712,16,0,0.25
conditioned,40,future,judge_correct,0.09679638364779874,0.08541666666666667,0.10921776729559748,16,0,0.25
conditioned,80,now,em,0.9583333333333333,0.8958333333333333,1.0,16,0,0.25
conditioned,80,now,f1,0.9805555555555556,0.9378968253968254,1.0107142857142857,16,0,0.25
conditioned,80,now,judge_correct,1.0052083333333333,0.953125,1.0625,16,0,0.25
conditioned,80,future,em,0.10545487470317233,0.09209022052575327,0.12088932531801201,16,0,0.25
conditioned,80,future,f1,0.12803452441766544,0.11397554204935458,0.14371389311327504,16,0,0.25
conditioned,80,future,judge_correct,0.11776729559748428,0.10416666666666667,0.1324685534591195,16,0,0.25
conditioned,160,now,em,0.9635416666666666,0.90625,1.0,16,0,0.25
conditioned,160,now,f1,0.9629464285714285,0.9107142857142857,1.0053571428571428,16,0,0.25
conditioned,160,now,judge_correct,0.9895833333333333,0.9375,1.046875,16,0,0.25
conditioned,160,future,em,0.16098300065640292,0.14055349699566191,0.18215352984747354,16,0,0.25
conditioned,160,future,f1,0.1752374481977783,0.15769485562849886,0.19269387693762238,16,0,0.25
conditioned,160,future,judge_correct,0.16935927672955975,0.15,0.18915094339622643,16,0,0.25
generic,20,now,em,0.05208333333333333,0.0,0.109375,16,0,0.25
generic,20,now,f1,0.17257566094619664,0.13478960362554113,0.21048661680581324,16,0,0.25
generic,20,now,judge_correct,0.140625,0.078125,0.203125,16,0,0.25
generic,20,future,em,0.06338828558757804,0.0341522536687631,0.09284098942854839,16,0,0.25
generic,20,future,f1,0.13949098543221125,0.10838354579548927,0.16875571916277993,16,0,0.25
generic,20,future,judge_correct,0.10367531446540881,0.07763364779874214,0.1271422955974843,16,0,0.25
generic,40,now,em,0.2864583333333333,0.18229166666666666,0.390625,16,0,0.25
generic,40,now,f1,0.3455965909090909,0.26904761904761904,0.43004633387445884,16,0,0.25
generic,40,now,judge_correct,0.3489583333333333,0.265625,0.4375,16,0,0.25
generic,40,future,em,0.17038159568438688,0.12487171863635392,0.21888562351255972,16,0,0.25
generic,40,future,f1,0.23059503785895333,0.19359082785923465,0.27318726813000827,16,0,0.25
generic,40,future,judge_correct,0.20776336477987423,0.16865172955974844,0.24734669811320753,16,0,0.25
generic,80,now,em,0.2864583333333333,0.14583333333333331,0.43229166666666663,16,0,0.25
generic,80,now,f1,0.422688943001443,0.3143487892316018,0.5361619543650794,16,0,0.25
generic,80,now,judge_correct,0.47916666666666663,0.390625,0.5729166666666666,16,0,0.25
generic,80,future,em,0.19871555968719573,0.131926603679994,0.266725219707469,16,0,0.25
generic,80,future,f1,0.29930695449941447,0.24657758258739937,0.352581978711011,16,0,0.25
generic,80,future,judge_correct,0.3176100628930818,0.2613600628930818,0.37395833333333334,16,0,0.25
generic,160,now,em,0.5104166666666666,0.39583333333333326,0.6302083333333333,16,0,0.25
generic,160,now,f1,0.612303841991342,0.5117042072510822,0.7086617288961038,16,0,0.25
generic,160,now,judge_correct,0.625,0.515625,0.734375,16,0,0.25
generic,160,future,em,0.4556542311594003,0.3792303287067061,0.5384535771660884,16,0,0.25
generic,160,future,f1,0.5208933969348222,0.45953060047121064,0.5887321736326316,16,0,0.25
generic,160,future,judge_correct,0.5150157232704402,0.4552083333333333,0.5827240566037736,16,0,0.25
oracle,20,now,em,0.265625,0.20833333333333331,0.3125,16,0,0.25
oracle,20,now,f1,0.2739714749536178,0.2544625946969697,0.29149323593073595,16,0,0.25
oracle,20,now,judge_correct,0.2552083333333333,0.25,0.265625,16,0,0.25
oracle,20,future,em,0.16647622570404172,0.13234337481770073,0.19778577979934112,16,0,0.25
oracle,20,future,f1,0.21451071059039223,0.18982519561180447,0.23918490692478117,16,0,0.25
oracle,20,future,judge_correct,0.18068003144654088,0.16250000000000003,0.19886006289308178,16,0,0.25
oracle,40,now,em,0.3958333333333333,0.3125,0.47916666666666663,16,0,0.25
oracle,40,now,f1,0.47578324453324455,0.39757643398268394,0.5534936157592408,16,0,0.25
oracle,40,now,judge_correct,0.5260416666666666,0.4427083333333333,0.609375,16,0,0.25
oracle,40,future,em,0.3485371423669409,0.3026423101462945,0.3900265402181675,16,0,0.25
oracle,40,future,f1,0.4019908515564682,0.36714839830038115,0.4358800802227899,16,0,0.25
oracle,40,future,judge_correct,0.40143474842767296,0.3666666666666667,0.4354166666666667,16,0,0.25
oracle,80,now,em,0.6875,0.5833333333333333,0.7916666666666666,16,0,0.25
oracle,80,now,f1,0.7245220057720059,0.6429230925324676,0.8087814529220778,16,0,0.25
oracle,80,now,judge_correct,0.765625,0.6875,0.84375,16,0,0.25
oracle,80,future,em,0.6314277423182497,0.55341576703298,0.7041095192349913,16,0,0.25
oracle,80,future,f1,0.6791136088404945,0.6146622871853958,0.7394217993892744,16,0,0.25
oracle,80,future,judge_correct,0.6984080188679245,0.6280537539308176,0.762441037735849,16,0,0.25
oracle,160,now,em,0.828125,0.71875,0.9270833333333333,16,0,0.25
oracle,160,now,f1,0.8693948412698413,0.7801091269841269,0.9464285714285714,16,0,0.25
oracle,160,now,judge_correct,0.9010416666666666,0.8333333333333333,0.9635416666666666,16,0,0.25
oracle,160,future,em,0.7807648226867708,0.6884735572998646,0.8701608576803362,16,0,0.25
oracle,160,future,f1,0.8205241019355578,0.7467800283394298,0.8937780028276371,16,0,0.25
oracle,160,future,judge_correct,0.8328026729559748,0.7645631878930818,0.9015526729559749,16,0,0.25
reusable,20,now,em,0.9322916666666666,0.8541666666666666,1.0,16,0,0.25
reusable,20,now,f1,0.9862599206349206,0.9618055555555556,1.009126984126984,16,0,0.25
reusable,20,now,judge_correct,1.0208333333333333,1.0,1.0625,16,0,0.25
reusable,20,future,em,0.052799309096744906,0.042697731221097796,0.06150458575495039,16,0,0.25
reusable,20,future,f1,0.1000022585425393,0.08831079979714612,0.1116898497543796,16,0,0.25
reusable,20,future,judge_correct,0.08180031446540881,0.07714229559748428,0.08645833333333333,16,0,0.25
reusable,40,now,em,0.9635416666666666,0.9114583333333333,1.0,16,0,0.25
reusable,40,now,f1,0.993204365079365,0.9722222222222222,1.0108630952380953,16,0,0.25
reusable,40,now,judge_correct,1.0208333333333333,1.0,1.0625,16,0,0.25
reusable,40,future,em,0.08392754864085017,0.07277807455943319,0.09551977735034507,16,0,0.25
reusable,40,future,f1,0.12093659927339817,0.11168192471933201,0.13024824774764715,16,0,0.25
reusable,40,future,judge_correct,0.10408805031446541,0.09375,0.11450471698113207,16,0,0.25
reusable,80,now,em,1.0,1.0,1.0,16,0,0.25
reusable,80,now,f1,0.9949404761904762,0.96875,1.0160714285714285,16,0,0.25
reusable,80,now,judge_correct,1.0208333333333333,1.0,1.0625,16,0,0.25
reusable,80,future,em,0.18574813000086088,0.17129003440545304,0.20047581057104238,16,0,0.25
reusable,80,future,f1,0.20267698586641622,0.18691384729666588,0.21917492174204095,16,0,0.25
reusable,80,future,judge_correct,0.1986635220125786,0.18541666666666667,0.2126572327044025,16,0,0.25
reusable,160,now,em,0.9635416666666666,0.9114583333333333,1.0,16,0,0.25
reusable,160,now,f1,0.9665178571428572,0.9174107142857143,1.0,16,0,0.25
reusable,160,now,judge_correct,0.96875,0.921875,1.0,16,0,0.25
reusable,160,future,em,0.31885073011074927,0.2834789985900848,0.35204753061396615,16,0,0.25
reusable,160,future,f1,0.3395342364762748,0.3050605550774274,0.37146412236551446,16,0,0.25
