policy,budget_words,metric,u_now,u_future,cost_words,dominated,dominated_by,dominated_within_budget
conditioned,20,judge_correct,1.0,0.07708333333333334,18.28125,False,,True
conditioned,40,judge_correct,0.984375,0.09583333333333333,36.46875,False,,True
conditioned,80,judge_correct,0.984375,0.11666666666666667,72.875,False,,True
conditioned,160,judge_correct,0.96875,0.16770833333333335,143.890625,True,reusable@80w,False
generic,20,judge_correct,0.140625,0.10312500000000001,18.75,True,oracle@20w,True
generic,40,judge_correct,0.34375,0.20625000000000002,37.125,True,oracle@40w,True
generic,80,judge_correct,0.46875,0.3145833333333334,73.25,True,oracle@40w,True
generic,160,judge_correct,0.609375,0.5093749999999999,143.5625,True,oracle@80w,True
oracle,20,judge_correct,0.25,0.1791666666666667,18.0625,False,,False
oracle,40,judge_correct,0.515625,0.3989583333333333,36.75,False,,False
oracle,80,judge_correct,0.75,0.6916666666666667,75.625,False,,False
oracle,160,judge_correct,0.890625,0.828125,143.6875,False,,False
reusable,20,judge_correct,1.0,0.08125,18.34375,False,,False
reusable,40,judge_correct,1.0,0.103125,36.796875,False,,False
reusable,80,judge_correct,1.0,0.19687500000000002,72.9375,False,,False
reusable,160,judge_correct,0.953125,0.334375,143.28125,False,,False
