quantity,policy,metric,low_budget_words,high_budget_words,delta,lo,hi,p_value,n,cohens_dz
gap_low_minus_high,conditioned,em,20,160,0.16319444444444445,0.05902777777777779,0.2638888888888889,0.002,24,0.6347018949091023
gap_low_minus_high,conditioned,f1,20,160,0.2570809663701959,0.15505677847133026,0.3556171883423941,0.0,24,1.014726658352869
gap_low_minus_high,conditioned,judge_correct,20,160,0.4131944444444444,0.3229166666666667,0.5034722222222222,0.0,24,1.8403294979911273
gap_low_minus_high,extractive_conditioned,em,20,160,0.3993055555555555,0.29513888888888884,0.4930555555555556,0.0,24,1.5637435562061248
gap_low_minus_high,extractive_conditioned,f1,20,160,0.46977795572351816,0.38097487920594053,0.5564295770061217,0.0,24,2.111344969356709
gap_low_minus_high,extractive_conditioned,judge_correct,20,160,0.4895833333333333,0.3958333333333333,0.5868055555555556,0.0,24,1.9892037261614144
gap_low_minus_high,extractive_generic,em,20,160,-1.734723475976807e-18,-1.0986582014519778e-17,8.0953762212251e-18,0.7739,24,-0.07236569747622419
gap_low_minus_high,extractive_generic,f1,20,160,-2.457524924300477e-18,-1.8214596497756474e-17,1.4166908387143924e-17,0.7804,24,-0.059378792182681876
gap_low_minus_high,extractive_generic,judge_correct,20,160,1.3299546649155522e-17,1.734723475976807e-18,2.42861286636753e-17,0.0266,24,0.4620131387210511
gap_low_minus_high,generic,em,20,160,-1.0408340855860843e-17,-1.9660199394403815e-17,-1.734723475976807e-18,0.033,24,-0.43459016686837976
gap_low_minus_high,generic,f1,20,160,5.782411586589357e-19,-8.962737959213504e-18,1.0842021724855044e-17,0.923,24,0.02261379776074772
gap_low_minus_high,generic,judge_correct,20,160,-4.625929269271485e-18,-1.734723475976807e-17,8.0953762212251e-18,0.5071,24,-0.14279380561489988
gap_low_minus_high,oracle,em,20,160,-1.2721305490496585e-17,-2.544261098099317e-17,5.782411586589357e-19,0.0622,24,-0.38000841134646474
gap_low_minus_high,oracle,f1,20,160,5.240310500346605e-18,-1.152868310076253e-17,2.085372528594826e-17,0.5043,24,0.12637830209660106
gap_low_minus_high,oracle,judge_correct,20,160,2.1394922870380622e-17,1.0408340855860843e-17,3.23815048849004e-17,0.0005,24,0.7547672582501852
gap_low_minus_high,reusable,em,20,160,0.17361111111111108,0.08680555555555554,0.2569444444444444,0.0004,24,0.7952859615557532
gap_low_minus_high,reusable,f1,20,160,0.28075665856641735,0.18537091301714548,0.3737150797742419,0.0,24,1.1788452498780961
gap_low_minus_high,reusable,judge_correct,20,160,0.3125,0.19097222222222224,0.4305555555555556,0.0,24,1.0306270509872137
conditioning_gap_low_minus_high,conditioned_minus_generic,em,20,160,0.16319444444444445,0.0625,0.2638888888888889,0.0021,24,0.6347018949091023
conditioning_gap_low_minus_high,conditioned_minus_generic,f1,20,160,0.2570809663701959,0.15824812874504815,0.35536220803960034,0.0,24,1.014726658352869
conditioning_gap_low_minus_high,conditioned_minus_generic,judge_correct,20,160,0.4131944444444445,0.3263888888888889,0.5034722222222222,0.0,24,1.8403294979911275
