policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered
conditioned,20,17,96,18.46875,1.0357110448484426,17.0,20.0,0.9234375,0.0,0.0,0.0,0.375,0.11458333333333333,0.3020833333333333,0.0,27,128,35.864583333333336,32.333333333333336,False
conditioned,40,34,96,36.65625,2.0043538137081276,33.0,40.0,0.91640625,0.010416666666666666,0.0,0.0,0.65625,0.16666666666666666,0.7916666666666666,0.00048449999999999996,54,128,89.90625,64.39583333333333,False
conditioned,80,68,96,73.23958333333333,4.373953508925949,51.0,80.0,0.9154947916666668,0.010416666666666666,0.0,0.0,0.7083333333333334,0.125,0.8541666666666666,0.0019502395833333333,108,238,167.97916666666666,128.04166666666666,False
conditioned,160,136,96,143.11458333333334,5.482738062926831,136.0,157.0,0.8944661458333334,0.0,0.0,0.0,0.8645833333333334,0.010416666666666666,1.1041666666666667,0.0038850520833333332,216,475,348.78125,248.90625,False
conditioned@trim,40,34,96,30.583333333333332,7.403650119212773,7.0,36.0,0.7645833333333333,0.010416666666666666,0.0,0.84375,0.65625,0.16666666666666666,0.7916666666666666,0.00048449999999999996,54,128,89.90625,64.39583333333333,False
extractive_conditioned,20,17,96,18.59375,1.3264763374007884,12.0,20.0,0.9296875,0.041666666666666664,0.052083333333333336,0.052083333333333336,0.8541666666666666,1.0833333333333333,0.3854166666666667,0.0,27,128,80.32291666666667,31.46875,False
extractive_conditioned,40,34,96,36.822916666666664,3.5659051900690524,10.0,40.0,0.9205729166666666,0.052083333333333336,0.0625,0.0625,0.7916666666666666,0.8333333333333334,0.6458333333333334,0.017212968749999998,54,128,127.10416666666667,61.625,False
extractive_conditioned,80,68,96,70.92708333333333,4.728958473661407,50.0,80.0,0.8865885416666667,0.15625,0.0625,0.0625,0.9166666666666666,0.20833333333333334,1.5729166666666667,0.02696889583333333,108,238,214.79166666666666,119.57291666666667,False
extractive_conditioned,160,136,96,141.42708333333334,8.947501611495765,94.0,159.0,0.8839192708333333,0.13541666666666666,0.0,0.0,0.9270833333333334,0.03125,1.8541666666666667,0.02883646875,216,475,432.0416666666667,238.97916666666666,False
extractive_generic,20,17,24,18.916666666666668,1.0598058340078627,17.0,20.0,0.9458333333333333,0.0,0.125,0.125,1.0,1.7916666666666667,0.125,0.0,27,128,153.70833333333334,33.208333333333336,False
extractive_generic,40,34,24,37.416666666666664,2.282574188835104,32.0,40.0,0.9354166666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.9583333333333334,1.4583333333333333,0.16666666666666666,0.0,54,128,156.66666666666666,63.875,False
