comparison,budget_words,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,20,delivered_words,-0.23958333333333334,-0.7395833333333334,0.2604166666666667,0.353,24,-0.19134110912934849
conditioned_minus_generic,40,delivered_words,-0.46875,-1.2291666666666667,0.3020833333333333,0.245,24,-0.23353368412380415
conditioned_minus_generic,80,delivered_words,1.3229166666666667,-0.875,3.4270833333333335,0.2299,24,0.241366972045241
conditioned_minus_generic,160,delivered_words,1.6979166666666667,-0.5208333333333334,3.84375,0.1315,24,0.3054108517736549
conditioned_minus_reusable,20,delivered_words,-0.09375,-0.3541666666666667,0.16666666666666666,0.4974,24,-0.14324604366119037
conditioned_minus_reusable,40,delivered_words,0.3229166666666667,-0.375,1.1041666666666667,0.4026,24,0.1697978317774999
conditioned_minus_reusable,80,delivered_words,0.010416666666666666,-1.3645833333333333,1.2502604166666629,0.9946,24,0.003041331414168835
conditioned_minus_reusable,160,delivered_words,-0.4479166666666667,-1.5520833333333333,0.6875,0.4401,24,-0.15589429607872268
reusable_minus_generic,20,delivered_words,-0.14583333333333334,-0.59375,0.3125,0.5516,24,-0.1277131170577705
reusable_minus_generic,40,delivered_words,-0.7916666666666666,-1.7398437499999977,0.17708333333333334,0.1089,24,-0.3207842548687874
reusable_minus_generic,80,delivered_words,1.3125,-0.375,3.0416666666666665,0.1362,24,0.3002398614517238
reusable_minus_generic,160,delivered_words,2.1458333333333335,0.0625,4.094010416666663,0.0358,24,0.421630167237926
oracle_minus_conditioned,20,delivered_words,-0.34375,-1.25,0.4583333333333333,0.4492,24,-0.15467298695376172
oracle_minus_conditioned,40,delivered_words,1.2604166666666667,0.5104166666666666,1.9895833333333333,0.0007,24,0.668305654131915
oracle_minus_conditioned,80,delivered_words,0.59375,-0.65625,1.78125,0.3372,24,0.19286909423079754
oracle_minus_conditioned,160,delivered_words,0.2604166666666667,-1.875,2.4479166666666665,0.8174,24,0.047308217896028
oracle_minus_generic,20,delivered_words,-0.5833333333333334,-1.625,0.3333333333333333,0.265,24,-0.23008829571629552
oracle_minus_generic,40,delivered_words,0.7916666666666666,-0.25,1.8333333333333333,0.1543,24,0.2878615491118705
oracle_minus_generic,80,delivered_words,1.9166666666666667,-0.4166666666666667,4.25,0.1056,24,0.32421081820469305
oracle_minus_generic,160,delivered_words,1.9583333333333333,-0.08333333333333333,4.0,0.065,24,0.3709673050613979
extractive_conditioned_minus_extractive_generic,20,delivered_words,-0.3229166666666667,-0.7291666666666666,0.11458333333333333,0.1448,24,-0.29979309304418517
extractive_conditioned_minus_extractive_generic,40,delivered_words,-0.59375,-1.90625,0.6354166666666666,0.3614,24,-0.18059911329293962
extractive_conditioned_minus_extractive_generic,80,delivered_words,-2.40625,-4.479166666666667,-0.6768229166666705,0.0154,24,-0.49297361215236785
extractive_conditioned_minus_extractive_generic,160,delivered_words,-2.3229166666666665,-4.802083333333333,0.09375,0.0627,24,-0.37265361541016107
