comparison,budget_words,endpoint,metric,tolerance_words,n_contexts_matched,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,20,now,em,6,24,0.4166666666666667,0.2916666666666667,0.5520833333333334,0.0,24,1.2744778481051504
conditioned_minus_generic,20,now,f1,6,24,0.5405771047121667,0.4494660846379354,0.6336404359225083,0.0,24,2.3061952428677572
conditioned_minus_generic,20,now,judge_correct,6,24,0.625,0.5520833333333334,0.6979166666666666,0.0,24,3.461093276215865
conditioned_minus_generic,20,future,em,6,24,-0.05555555555555556,-0.12152777777777779,0.013888888888888881,0.1113,24,-0.32079320037201803
conditioned_minus_generic,20,future,f1,6,24,-0.04337203736713541,-0.10150986220456197,0.019629087325165717,0.1637,24,-0.27878606911573944
conditioned_minus_generic,20,future,judge_correct,6,24,-0.06250000000000001,-0.12152777777777779,-1.1550367144212451e-17,0.0415,24,-0.4008918628686367
conditioned_minus_reusable,20,now,em,6,24,0.020833333333333332,-0.0625,0.11458333333333333,0.7428,24,0.08973974196817933
conditioned_minus_reusable,20,now,f1,6,24,0.012728475228475235,-0.05039532227032226,0.08076484713203462,0.7024,24,0.07620287209257745
conditioned_minus_reusable,20,now,judge_correct,6,24,0.07291666666666667,0.020833333333333332,0.125,0.0112,24,0.5302712746797615
conditioned_minus_reusable,20,future,em,6,24,-0.0034722222222222238,-0.03125,0.027777777777777773,0.7894,24,-0.04589364995538172
conditioned_minus_reusable,20,future,f1,6,24,-0.0013859597192930468,-0.030873696134112786,0.02685867903315819,0.9249,24,-0.018738935823528157
conditioned_minus_reusable,20,future,judge_correct,6,24,0.003472222222222225,-0.031249999999999997,0.041666666666666664,0.8033,24,0.03591400925842045
reusable_minus_generic,20,now,em,6,24,0.3958333333333333,0.3020833333333333,0.5,0.0,24,1.4939843531014065
reusable_minus_generic,20,now,f1,6,24,0.5278486294836914,0.4446142448622857,0.6162562707249966,0.0,24,2.399505948096454
reusable_minus_generic,20,now,judge_correct,6,24,0.5520833333333334,0.4684895833333356,0.6458333333333334,0.0,24,2.3706443779857485
reusable_minus_generic,20,future,em,6,24,-0.05208333333333334,-0.11458333333333333,0.02430555555555555,0.1277,24,-0.29445007113402494
reusable_minus_generic,20,future,f1,6,24,-0.04198607764784237,-0.09600081977073398,0.019303383843825,0.1501,24,-0.28546970252665316
reusable_minus_generic,20,future,judge_correct,6,24,-0.06597222222222222,-0.12847222222222224,-0.0034722222222222363,0.0389,24,-0.41938193401141727
conditioned_minus_generic,40,now,em,6,23,0.31521739130434784,0.20652173913043478,0.42391304347826086,0.0,23,1.1964023640654724
conditioned_minus_generic,40,now,f1,6,23,0.40894930249266226,0.3107768288830637,0.5048479047211587,0.0,23,1.6968253860754574
conditioned_minus_generic,40,now,judge_correct,6,23,0.44565217391304346,0.34782608695652173,0.5434782608695652,0.0,23,1.8736934565628682
conditioned_minus_generic,40,future,em,6,23,-0.12681159420289856,-0.2101449275362319,-0.04710144927536233,0.0025,23,-0.6315235800368345
conditioned_minus_generic,40,future,f1,6,23,-0.1179635089310186,-0.19150751002114377,-0.044207006517294645,0.0012,23,-0.6408984380846099
conditioned_minus_generic,40,future,judge_correct,6,23,-0.10507246376811595,-0.19202898550724634,-0.01449275362318842,0.0197,23,-0.4698467597677953
conditioned_minus_reusable,40,now,em,6,23,0.010869565217391304,-0.06521739130434782,0.08695652173913043,0.8867,23,0.056655136516703335
conditioned_minus_reusable,40,now,f1,6,23,0.0036053985424694883,-0.07904887383148251,0.08093626482213438,0.9273,23,0.01811700704997192
conditioned_minus_reusable,40,now,judge_correct,6,23,0.021739130434782608,-0.07608695652173914,0.11956521739130435,0.7507,23,0.08730227468047974
conditioned_minus_reusable,40,future,em,6,23,-0.010869565217391304,-0.03985507246376812,0.018115942028985504,0.4899,23,-0.15011946073911223
conditioned_minus_reusable,40,future,f1,6,23,-0.007795742786151996,-0.03431951521825243,0.017311504328767754,0.5601,23,-0.11904689000371906
conditioned_minus_reusable,40,future,judge_correct,6,23,-0.0072463768115942065,-0.05434782608695651,0.03985507246376811,0.7495,23,-0.061609424498412085
reusable_minus_generic,40,now,em,6,23,0.30434782608695654,0.1956521739130435,0.42391304347826086,0.0,23,1.0440258084820233
reusable_minus_generic,40,now,f1,6,23,0.40534390395019293,0.30444006979424304,0.5127563891805783,0.0,23,1.556072247890199
reusable_minus_generic,40,now,judge_correct,6,23,0.42391304347826086,0.30434782608695654,0.5434782608695652,0.0,23,1.3872384949322687
reusable_minus_generic,40,future,em,6,23,-0.11594202898550726,-0.18115942028985507,-0.05072463768115943,0.0003,23,-0.7229572336014285
reusable_minus_generic,40,future,f1,6,23,-0.11016776614486659,-0.17572974790037987,-0.04388110831400702,0.0008,23,-0.6691590684616805
reusable_minus_generic,40,future,judge_correct,6,23,-0.09782608695652176,-0.17391304347826084,-0.025362318840579715,0.0079,23,-0.5219046951978545
conditioned_minus_generic,80,now,em,6,15,0.15,0.03333333333333333,0.26666666666666666,0.018,15,0.6087595874350707
conditioned_minus_generic,80,now,f1,6,15,0.21951204933059773,0.09864995421245422,0.3392456351891836,0.0,15,0.885537926110158
conditioned_minus_generic,80,now,judge_correct,6,15,0.2,0.06666666666666667,0.3333333333333333,0.0035,15,0.7391491482878366
conditioned_minus_generic,80,future,em,6,15,-0.12777777777777777,-0.19999999999999998,-0.044444444444444446,0.0013,15,-0.7976554992806394
conditioned_minus_generic,80,future,f1,6,15,-0.1334138732545595,-0.21269187119616037,-0.04575155460235114,0.0023,15,-0.7606238992403485
conditioned_minus_generic,80,future,judge_correct,6,15,-0.18333333333333338,-0.28902777777777655,-0.07777777777777778,0.0008,15,-0.8215232184219596
conditioned_minus_reusable,80,now,em,6,15,-0.03333333333333333,-0.1,0.03333333333333333,0.4245,15,-0.25819888974716115
conditioned_minus_reusable,80,now,f1,6,15,-0.026871300440909948,-0.07218012695081877,0.013534193496842059,0.2117,15,-0.30583669500442073
conditioned_minus_reusable,80,now,judge_correct,6,15,-0.06666666666666667,-0.15,0.0,0.1047,15,-0.4492235543710968
