policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
conditioned,20,utility,now,em,0.5416666666666666,0.4375,0.65625,24,96
conditioned,20,utility,now,f1,0.7262190635158902,0.6494729563226807,0.8011208488578846,24,96
conditioned,20,utility,now,judge_correct,0.8645833333333334,0.8020833333333334,0.9166666666666666,24,96
conditioned,20,utility,future,em,0.06944444444444443,0.03472222222222222,0.1111111111111111,24,96
conditioned,20,utility,future,f1,0.14226992143658812,0.0982380225869809,0.19116385206228956,24,96
conditioned,20,utility,future,judge_correct,0.17708333333333334,0.12152777777777775,0.23611111111111108,24,96
conditioned,20,utility,gap,em,0.47222222222222227,0.36111111111111116,0.5868055555555556,24,96
conditioned,20,utility,gap,f1,0.583949142079302,0.49316435096765987,0.6737472968736271,24,96
conditioned,20,utility,gap,judge_correct,0.6875,0.6006944444444445,0.7709201388888878,24,96
conditioned,20,regret,now,em,0.09375,0.010416666666666666,0.17708333333333334,24,96
conditioned,20,regret,now,f1,0.05860237187553164,-0.00717487373737369,0.12381045414084439,24,96
conditioned,20,regret,now,judge_correct,0.010416666666666666,-0.052083333333333336,0.07291666666666667,24,96
conditioned,20,regret,future,em,0.5659722222222222,0.46171875000000073,0.6666666666666666,24,96
conditioned,20,regret,future,f1,0.6425515139548337,0.5528808310009866,0.7296226309298659,24,96
conditioned,20,regret,future,judge_correct,0.6979166666666666,0.59375,0.7951388888888888,24,96
conditioned,20,retained,now,em,0.767361111111111,0.6561631944444452,0.8680555555555555,24,96
conditioned,20,retained,now,f1,0.7847489069834918,0.7114961118352179,0.8565572578463202,24,96
conditioned,20,retained,now,judge_correct,0.9305555555555555,0.8784722222222222,0.9756944444444443,24,96
conditioned,20,retained,future,em,0.078125,0.01909722222222222,0.15625,24,96
conditioned,20,retained,future,f1,0.14315864498156164,0.09567893405784032,0.20014417175224464,24,96
conditioned,20,retained,future,judge_correct,0.17361111111111108,0.11631944444444443,0.23263888888888884,24,96
conditioned,20,channel,message,delivered_words,18.46875,18.21875,18.708333333333332,24,96
conditioned,20,channel,message,fill_ratio,0.9234375,0.9109375000000001,0.9354166666666668,24,96
conditioned,40,utility,now,em,0.5416666666666666,0.4583333333333333,0.6354166666666666,24,96
conditioned,40,utility,now,f1,0.7150366994116993,0.6405567710645836,0.7858792350589225,24,96
conditioned,40,utility,now,judge_correct,0.8229166666666666,0.75,0.8958333333333334,24,96
conditioned,40,utility,future,em,0.08680555555555554,0.052083333333333336,0.125,24,96
conditioned,40,utility,future,f1,0.1839873186227353,0.1359579487834696,0.23226844649370684,24,96
conditioned,40,utility,future,judge_correct,0.2604166666666667,0.1875,0.3368055555555555,24,96
conditioned,40,utility,gap,em,0.45486111111111116,0.3645833333333333,0.5520833333333334,24,96
conditioned,40,utility,gap,f1,0.5310493807889641,0.4403569523165878,0.6220992977894019,24,96
conditioned,40,utility,gap,judge_correct,0.5625,0.4513888888888889,0.670138888888889,24,96
conditioned,40,regret,now,em,0.09375,0.010416666666666666,0.17708333333333334,24,96
conditioned,40,regret,now,f1,0.06978473597972236,-0.0055658047147951846,0.1494501370586755,24,96
conditioned,40,regret,now,judge_correct,0.052083333333333336,-0.03125,0.13541666666666666,24,96
conditioned,40,regret,future,em,0.5486111111111112,0.44097222222222215,0.6527777777777778,24,96
conditioned,40,regret,future,f1,0.6008341167686865,0.5118819224124563,0.690452259620155,24,96
conditioned,40,regret,future,judge_correct,0.6145833333333334,0.5069444444444445,0.71875,24,96
conditioned,40,retained,now,em,0.7881944444444443,0.6944444444444445,0.875,24,96
conditioned,40,retained,now,f1,0.7746587710129376,0.7020107135341512,0.843260212010212,24,96
conditioned,40,retained,now,judge_correct,0.8854166666666666,0.8194444444444443,0.9444444444444443,24,96
conditioned,40,retained,future,em,0.08506944444444443,0.03993055555555555,0.14062499999999997,24,96
conditioned,40,retained,future,f1,0.19995152417027415,0.14624488623837584,0.25553814434022765,24,96
conditioned,40,retained,future,judge_correct,0.2760416666666667,0.19270833333333334,0.3680555555555555,24,96
conditioned,40,channel,message,delivered_words,36.65625,36.322916666666664,36.989583333333336,24,96
conditioned,40,channel,message,fill_ratio,0.91640625,0.9080729166666668,0.9247395833333333,24,96
conditioned,80,utility,now,em,0.5416666666666666,0.4583333333333333,0.6354166666666666,24,96
conditioned,80,utility,now,f1,0.7015789541999219,0.6285663159365277,0.777152681827581,24,96
conditioned,80,utility,now,judge_correct,0.8125,0.75,0.875,24,96
conditioned,80,utility,future,em,0.15277777777777776,0.10069444444444443,0.21180555555555558,24,96
conditioned,80,utility,future,f1,0.2514908538039666,0.20044505215078132,0.304824005070252,24,96
conditioned,80,utility,future,judge_correct,0.3368055555555555,0.2604166666666667,0.4131944444444444,24,96
conditioned,80,utility,gap,em,0.388888888888889,0.28472222222222227,0.4930555555555556,24,96
conditioned,80,utility,gap,f1,0.45008810039595537,0.35948035809307116,0.5430992573291133,24,96
conditioned,80,utility,gap,judge_correct,0.4756944444444445,0.37152777777777785,0.5798611111111112,24,96
conditioned,80,regret,now,em,0.09375,0.020833333333333332,0.16666666666666666,24,96
conditioned,80,regret,now,f1,0.08324248119149984,0.0351950612181964,0.1309047993879184,24,96
conditioned,80,regret,now,judge_correct,0.0625,0.010416666666666666,0.11458333333333333,24,96
conditioned,80,regret,future,em,0.48263888888888884,0.3680555555555555,0.5902777777777778,24,96
conditioned,80,regret,future,f1,0.5333305815874553,0.4367079720716687,0.6275173831015259,24,96
conditioned,80,regret,future,judge_correct,0.5381944444444445,0.4305555555555556,0.6423611111111112,24,96
conditioned,80,retained,now,em,0.7569444444444443,0.6527777777777778,0.8541666666666666,24,96
conditioned,80,retained,now,f1,0.7615980364468267,0.6880240061238044,0.834164320362657,24,96
conditioned,80,retained,now,judge_correct,0.9097222222222222,0.8576388888888888,0.9583333333333334,24,96
conditioned,80,retained,future,em,0.18923611111111113,0.11805555555555554,0.2725694444444444,24,96
conditioned,80,retained,future,f1,0.2612165943737635,0.20295117980013813,0.3294415281409766,24,96
conditioned,80,retained,future,judge_correct,0.34027777777777773,0.2586805555555555,0.4288194444444444,24,96
conditioned,80,channel,message,delivered_words,73.23958333333333,72.14583333333333,74.25,24,96
conditioned,80,channel,message,fill_ratio,0.9154947916666667,0.9018229166666666,0.928125,24,96
conditioned,160,utility,now,em,0.5833333333333334,0.4895833333333333,0.6875,24,96
conditioned,160,utility,now,f1,0.7387877165158342,0.6615659297729878,0.8152027818626253,24,96
conditioned,160,utility,now,judge_correct,0.8020833333333334,0.7083333333333334,0.8854166666666666,24,96
conditioned,160,utility,future,em,0.2743055555555555,0.20486111111111108,0.3541666666666667,24,96
conditioned,160,utility,future,f1,0.4119195408067282,0.33521809336120284,0.4917354243491616,24,96
conditioned,160,utility,future,judge_correct,0.5277777777777778,0.4375,0.6180555555555555,24,96
