policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered
conditioned,20,17,64,18.28125,1.0152605420550767,17.0,20.0,0.9140625,0.0,0.0,0.0,0.453125,0.25,0.3125,0.0,27,128,41.390625,30.8125,False
conditioned,40,34,64,36.46875,2.007673770375548,34.0,40.0,0.9117187499999999,0.0,0.03125,0.03125,0.671875,0.078125,0.796875,0.0,54,128,85.265625,61.890625,False
conditioned,80,68,64,72.875,3.2684154696947085,68.0,80.0,0.9109375,0.0,0.0,0.0,0.671875,0.03125,0.71875,0.000202921875,108,238,156.140625,123.875,False
conditioned,160,136,64,143.890625,5.645948645808879,136.0,157.0,0.89931640625,0.0,0.0,0.0,0.875,0.0,0.953125,0.0017512500000000002,216,475,330.6875,246.140625,False
generic,20,17,16,18.75,1.0,17.0,20.0,0.9375,0.0,0.0,0.0,0.4375,0.4375,0.0,0.0,27,128,46.25,33.3125,False
generic,40,34,16,37.125,1.857417562100671,34.0,40.0,0.9281250000000001,0.0,0.0,0.0,0.75,0.75,0.0625,0.0,54,128,104.8125,61.9375,False
generic,80,68,16,73.25,3.492849839314596,68.0,79.0,0.915625,0.0,0.0,0.0,0.375,0.0,0.375,0.0,108,238,140.4375,126.625,False
generic,160,136,16,143.5625,4.257835913544188,137.0,151.0,0.897265625,0.0,0.0,0.0,0.625,0.0,0.625,0.0,216,475,303.3125,250.0625,False
lm_conditioned,20,17,64,12.578125,8.715621238410293,0.0,20.0,0.62890625,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,21.21875,False
lm_conditioned,40,34,64,31.140625,5.65928703653603,20.0,40.0,0.778515625,0.640625,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0.0,52.078125,False
lm_conditioned,80,68,64,72.65625,6.6933246774749575,59.0,80.0,0.908203125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0.0,121.90625,False
lm_conditioned,160,136,64,152.234375,6.311345761203415,137.0,160.0,0.95146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0,0.0,255.953125,False
lm_generic,20,17,16,11.6875,8.490926529733567,0.0,20.0,0.584375,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,19.6875,False
lm_generic,40,34,16,31.0625,5.234102915814068,24.0,40.0,0.7765625,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0.0,53.5,False
lm_generic,80,68,16,74.8125,4.735944115661276,65.0,80.0,0.93515625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0.0,129.9375,False
lm_generic,160,136,16,152.0625,6.546945852838558,140.0,160.0,0.950390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0,0.0,259.5625,False
nonllm_conditioned,20,17,64,12.5,8.68678982480395,0.0,20.0,0.625,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,21.625,False
nonllm_conditioned,40,34,64,31.296875,5.397470564260956,22.0,40.0,0.782421875,0.640625,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0.0,52.09375,False
nonllm_conditioned,80,68,64,72.703125,6.0255532249467905,61.0,80.0,0.9087890625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0.0,120.96875,False
nonllm_conditioned,160,136,64,152.671875,5.611933677724159,140.0,160.0,0.9541992187499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0,0.0,253.796875,False
nonllm_generic,20,17,16,12.875,9.047098982546835,0.0,20.0,0.64375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,22.125,False
nonllm_generic,40,34,16,33.3125,5.237286192931093,25.0,40.0,0.8328125,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0.0,53.0,False
nonllm_generic,80,68,16,74.0625,5.847720353550889,62.0,80.0,0.92578125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0.0,118.5,False
nonllm_generic,160,136,16,153.625,5.976342248120222,143.0,160.0,0.96015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0,0.0,246.6875,False
oracle,20,17,16,18.0625,1.0626225419530053,17.0,20.0,0.903125,0.0,0.0,0.0,0.8125,0.6875,0.1875,0.0,27,128,68.5625,30.125,False
oracle,40,34,16,36.75,1.879716290649558,34.0,40.0,0.91875,0.0,0.0,0.0,1.0,1.25,0.1875,0.0,54,128,172.5,62.3125,False
