comparison,budget_words,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,20,delivered_words,-0.46875,-1.0,0.078125,0.0907,16,-0.4153016616332707
conditioned_minus_generic,40,delivered_words,-0.65625,-1.46875,0.140625,0.1157,16,-0.391094681559985
conditioned_minus_generic,80,delivered_words,-0.375,-2.15625,1.375,0.6873,16,-0.1002826755620253
conditioned_minus_generic,160,delivered_words,0.328125,-2.34375,3.046875,0.8123,16,0.05748535070603061
lm_conditioned_minus_lm_generic,20,delivered_words,0.890625,0.109375,1.859375,0.0472,16,0.4716061670290653
lm_conditioned_minus_lm_generic,40,delivered_words,0.078125,-2.828125,2.890625,0.961,16,0.01286583027810671
lm_conditioned_minus_lm_generic,80,delivered_words,-2.15625,-5.469140624999996,1.296875,0.2213,16,-0.2979486439957719
lm_conditioned_minus_lm_generic,160,delivered_words,0.171875,-2.234375,2.9375,0.9062,16,0.030941614541379454
nonllm_conditioned_minus_nonllm_generic,20,delivered_words,-0.375,-0.9375,0.0625,0.1658,16,-0.34968930309011764
nonllm_conditioned_minus_nonllm_generic,40,delivered_words,-2.015625,-4.71875,0.5,0.1321,16,-0.3644017394002886
nonllm_conditioned_minus_nonllm_generic,80,delivered_words,-1.359375,-4.78125,2.046875,0.4419,16,-0.18507365517623814
nonllm_conditioned_minus_nonllm_generic,160,delivered_words,-0.953125,-3.609375,1.703125,0.4881,16,-0.1709287546547749
conditioned_minus_lm_conditioned,20,delivered_words,5.703125,1.75,10.15625,0.0059,16,0.649853394457263
conditioned_minus_lm_conditioned,40,delivered_words,5.328125,3.625,6.891015624999994,0.0,16,1.5313492743174808
conditioned_minus_lm_conditioned,80,delivered_words,0.21875,-1.890625,2.46875,0.8488,16,0.04760428991106741
conditioned_minus_lm_conditioned,160,delivered_words,-8.34375,-10.46875,-5.890625,0.0,16,-1.7163599184048683
conditioned_minus_nonllm_conditioned,20,delivered_words,5.78125,1.8125,10.234375,0.0048,16,0.6595174725479521
conditioned_minus_nonllm_conditioned,40,delivered_words,5.171875,3.4214843750000035,6.765625,0.0,16,1.457628439388726
conditioned_minus_nonllm_conditioned,80,delivered_words,0.171875,-1.875,2.296875,0.88,16,0.038669033459122315
conditioned_minus_nonllm_conditioned,160,delivered_words,-8.78125,-10.4375,-7.140625,0.0,16,-2.5193402216038008
generic_minus_lm_generic,20,delivered_words,7.0625,3.125,11.375,0.0003,16,0.8199147557278756
generic_minus_lm_generic,40,delivered_words,6.0625,3.5625,8.3125,0.0,16,1.1967467876886724
generic_minus_lm_generic,80,delivered_words,-1.5625,-4.5625,1.625,0.3411,16,-0.23773826975062803
generic_minus_lm_generic,160,delivered_words,-8.5,-12.9375,-3.625,0.0007,16,-0.8522757738185861
generic_minus_nonllm_generic,20,delivered_words,5.875,1.8125,10.5625,0.0067,16,0.6457083702228746
generic_minus_nonllm_generic,40,delivered_words,3.8125,1.25,6.5,0.0048,16,0.6836892517059913
generic_minus_nonllm_generic,80,delivered_words,-0.8125,-4.125,2.625,0.6591,16,-0.11192709478639869
generic_minus_nonllm_generic,160,delivered_words,-10.0625,-13.0,-7.0,0.0,16,-1.6169136120500396
lm_conditioned_minus_nonllm_conditioned,20,delivered_words,0.078125,-0.265625,0.515625,0.7263,16,0.09525624101233594
lm_conditioned_minus_nonllm_conditioned,40,delivered_words,-0.15625,-0.890625,0.609375,0.6913,16,-0.09950765999646517
lm_conditioned_minus_nonllm_conditioned,80,delivered_words,-0.046875,-2.25,2.0,0.9717,16,-0.010392703932906913
lm_conditioned_minus_nonllm_conditioned,160,delivered_words,-0.4375,-2.328125,1.28125,0.6419,16,-0.11341976761236214
lm_generic_minus_nonllm_generic,20,delivered_words,-1.1875,-2.4375,-0.1875,0.0409,16,-0.4890587339263884
lm_generic_minus_nonllm_generic,40,delivered_words,-2.25,-5.625,1.5,0.2223,16,-0.29942388601829995
lm_generic_minus_nonllm_generic,80,delivered_words,0.75,-3.5625,4.9375,0.7453,16,0.08278999692340112
lm_generic_minus_nonllm_generic,160,delivered_words,-1.5625,-6.314062499999986,2.8125,0.5158,16,-0.16093501659068615
paraphrase_minus_generic,20,delivered_words,-0.1875,-0.75,0.5,0.6296,16,-0.141233170716508
paraphrase_minus_generic,40,delivered_words,0.5625,-0.6875,1.6875,0.3845,16,0.22477533693848262
paraphrase_minus_generic,80,delivered_words,1.4375,-0.5,3.3125,0.1508,16,0.3594218027611544
paraphrase_minus_generic,160,delivered_words,1.75,-1.9375,5.375,0.3568,16,0.22604964656934726
conditioned_minus_paraphrase,20,delivered_words,-0.28125,-0.734375,0.171875,0.2406,16,-0.29801978033963483
conditioned_minus_paraphrase,40,delivered_words,-1.21875,-1.953125,-0.46875,0.002,16,-0.772254516915155
conditioned_minus_paraphrase,80,delivered_words,-1.8125,-3.6410156249999965,0.125,0.0623,16,-0.45556357178656337
conditioned_minus_paraphrase,160,delivered_words,-1.421875,-4.21875,1.390625,0.3298,16,-0.2410096463220737
nonllm_generic_minus_random_selection,20,delivered_words,0.5,-0.125,1.375,0.2429,16,0.3141404312187716
nonllm_generic_minus_random_selection,40,delivered_words,2.5625,-1.0625,6.125,0.1678,16,0.33804274192259093
nonllm_generic_minus_random_selection,80,delivered_words,1.125,-2.75,5.1875,0.5822,16,0.13486520216308956
nonllm_generic_minus_random_selection,160,delivered_words,1.25,-1.6875,4.125,0.4135,16,0.2043968563024152
lm_generic_minus_random_selection,20,delivered_words,-0.6875,-1.75,0.0,0.1287,16,-0.339704706906162
lm_generic_minus_random_selection,40,delivered_words,0.3125,-2.125,2.9375,0.8236,16,0.05867833297468093
lm_generic_minus_random_selection,80,delivered_words,1.875,-1.0,4.6875,0.2004,16,0.31142054945152486
lm_generic_minus_random_selection,160,delivered_words,-0.3125,-4.875,3.8125,0.8958,16,-0.034158445844506335
nonllm_conditioned_minus_passthrough,20,delivered_words,-0.0625,-0.9375,0.96875,0.9148,16,-0.03139752245645802
nonllm_conditioned_minus_passthrough,40,delivered_words,-2.140625,-4.890625,0.796875,0.145,16,-0.3523545696581303
nonllm_conditioned_minus_passthrough,80,delivered_words,-0.046875,-2.5,2.6097656249999943,0.9765,16,-0.00868674071753609
nonllm_conditioned_minus_passthrough,160,delivered_words,0.796875,-2.2660156249999965,3.96875,0.6202,16,0.12154327862646182
lm_conditioned_minus_passthrough,20,delivered_words,0.015625,-0.640625,0.9375,0.982,16,0.009052980985616703
lm_conditioned_minus_passthrough,40,delivered_words,-2.296875,-4.875,0.390625,0.0871,16,-0.412629729801353
lm_conditioned_minus_passthrough,80,delivered_words,-0.09375,-3.953125,3.921875,0.9658,16,-0.011289668201761405
lm_conditioned_minus_passthrough,160,delivered_words,0.359375,-2.96875,3.59375,0.8335,16,0.05122629105466482
nonllm_generic_minus_passthrough,20,delivered_words,0.3125,-0.4375,1.4375,0.621,16,0.14738216103102875
nonllm_generic_minus_passthrough,40,delivered_words,-0.125,-3.9375,3.6875,0.9625,16,-0.015466712274058516
nonllm_generic_minus_passthrough,80,delivered_words,1.3125,-2.75,5.8125,0.5689,16,0.1426721742951424
nonllm_generic_minus_passthrough,160,delivered_words,1.75,-2.0,5.626562499999977,0.3797,16,0.21465257320038034
generic_minus_passthrough,20,delivered_words,6.1875,2.0,10.8125,0.0035,16,0.6739259162373437
generic_minus_passthrough,40,delivered_words,3.6875,0.8125,6.625,0.012,16,0.5943265973690699
generic_minus_passthrough,80,delivered_words,0.5,-3.0,4.0,0.7993,16,0.06721660724223312
generic_minus_passthrough,160,delivered_words,-8.3125,-11.875,-4.5,0.0,16,-1.0492561927652198
paraphrase_minus_passthrough,20,delivered_words,6.0,1.6875,10.689062499999977,0.0067,16,0.6381534447172756
paraphrase_minus_passthrough,40,delivered_words,4.25,1.375,7.3125,0.0051,16,0.667000121860241
paraphrase_minus_passthrough,80,delivered_words,1.9375,-1.9375,6.0,0.3525,16,0.2303787622145946
paraphrase_minus_passthrough,160,delivered_words,-6.5625,-10.375,-2.875,0.0006,16,-0.8229150123029894
