comparison,budget_words,endpoint,metric,tolerance_words,n_contexts_matched,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,20,now,em,6,16,0.703125,0.609375,0.78125,0.0,16,3.75
conditioned_minus_generic,20,now,f1,6,16,0.7322544642857143,0.6783472842261904,0.7817345610119049,0.0,16,6.645977312052123
conditioned_minus_generic,20,now,judge_correct,6,16,0.859375,0.796875,0.921875,0.0,16,6.709313001521165
conditioned_minus_generic,20,future,em,6,16,-0.012499999999999999,-0.03958333333333333,0.013541666666666669,0.369,16,-0.22344134689658174
conditioned_minus_generic,20,future,f1,6,16,-0.03950008903133903,-0.07339999713827837,-0.006841958244301999,0.0201,16,-0.5623286876653397
conditioned_minus_generic,20,future,judge_correct,6,16,-0.026041666666666668,-0.05104166666666667,0.002083333333333333,0.0591,16,-0.46977876750176806
reusable_minus_generic,20,now,em,6,16,0.703125,0.609375,0.78125,0.0,16,3.75
reusable_minus_generic,20,now,f1,6,16,0.7322544642857143,0.6783472842261904,0.7817345610119049,0.0,16,6.645977312052123
reusable_minus_generic,20,now,judge_correct,6,16,0.859375,0.796875,0.921875,0.0,16,6.709313001521165
reusable_minus_generic,20,future,em,6,16,-0.009374999999999998,-0.03333333333333333,0.014583333333333335,0.4723,16,-0.18549276760241812
reusable_minus_generic,20,future,f1,6,16,-0.03644604259832589,-0.06753966583892329,-0.007579574862657072,0.0173,16,-0.5766996878322024
reusable_minus_generic,20,future,judge_correct,6,16,-0.021875,-0.04479166666666667,0.0031249999999999976,0.0758,16,-0.44338939005410744
conditioned_minus_generic,40,now,em,6,16,0.53125,0.4375,0.609375,0.0,16,2.9563354604710725
conditioned_minus_generic,40,now,f1,6,16,0.5674107142857143,0.49314918154761905,0.6369977678571426,0.0,16,3.736167400006087
conditioned_minus_generic,40,now,judge_correct,6,16,0.640625,0.546875,0.71875,0.0,16,3.5226349076952874
conditioned_minus_generic,40,future,em,6,16,-0.07395833333333333,-0.11145833333333334,-0.04166666666666667,0.0003,16,-1.0058635096912762
conditioned_minus_generic,40,future,f1,6,16,-0.10874097460954078,-0.14916090029761903,-0.0736829565790963,0.0,16,-1.370050766638931
conditioned_minus_generic,40,future,judge_correct,6,16,-0.11041666666666666,-0.153125,-0.071875,0.0,16,-1.2963641414497542
reusable_minus_generic,40,now,em,6,16,0.53125,0.4375,0.609375,0.0,16,2.9563354604710725
reusable_minus_generic,40,now,f1,6,16,0.5799107142857143,0.5014880952380952,0.6520833333333333,0.0,16,3.678720746929479
reusable_minus_generic,40,now,judge_correct,6,16,0.65625,0.5625,0.734375,0.0,16,3.651943804111325
reusable_minus_generic,40,future,em,6,16,-0.07083333333333333,-0.10833333333333334,-0.03854166666666667,0.0003,16,-0.9583486857036068
reusable_minus_generic,40,future,f1,6,16,-0.10121726942039441,-0.13960289746422558,-0.06796833476130351,0.0,16,-1.3454254627252134
reusable_minus_generic,40,future,judge_correct,6,16,-0.103125,-0.14270833333333333,-0.06562500000000002,0.0,16,-1.2875034264285
conditioned_minus_generic,80,now,em,6,15,0.5,0.38333333333333336,0.6,0.0,15,2.160246899469287
conditioned_minus_generic,80,now,f1,6,15,0.49,0.3716666666666667,0.5966666666666668,0.0,15,2.1016857010048264
conditioned_minus_generic,80,now,judge_correct,6,15,0.5,0.38333333333333336,0.6,0.0,15,2.3664319132398464
conditioned_minus_generic,80,future,em,6,15,-0.08666666666666667,-0.15111111111111108,-0.025555555555555554,0.0054,15,-0.6801184417578745
conditioned_minus_generic,80,future,f1,6,15,-0.16377275810609143,-0.21752983821733823,-0.11002588522588523,0.0,15,-1.4955727178859801
conditioned_minus_generic,80,future,judge_correct,6,15,-0.20999999999999996,-0.26777777777777784,-0.1477777777777778,0.0,15,-1.7196544078962857
reusable_minus_generic,80,now,em,6,15,0.5333333333333333,0.43333333333333335,0.6333333333333333,0.0,15,2.5585383955417176
reusable_minus_generic,80,now,f1,6,15,0.5038888888888889,0.4016527777777779,0.6022222222222222,0.0,15,2.4394226870944444
reusable_minus_generic,80,now,judge_correct,6,15,0.5166666666666667,0.43333333333333335,0.6,0.0,15,2.9367258936371603
reusable_minus_generic,80,future,em,6,15,-0.02111111111111109,-0.08333333333333331,0.0377777777777778,0.5076,15,-0.16959747394933675
reusable_minus_generic,80,future,f1,6,15,-0.09509537376204043,-0.14532480497897163,-0.04663094051010719,0.0,15,-0.9410588279429941
reusable_minus_generic,80,future,judge_correct,6,15,-0.12777777777777774,-0.17777777777777778,-0.07555555555555556,0.0,15,-1.2151029911521316
conditioned_minus_generic,160,now,em,6,8,0.34375,0.28125,0.4375,0.0,8,2.656752403468064
conditioned_minus_generic,160,now,f1,6,8,0.328125,0.265625,0.40625,0.0,8,2.8653283202765305
conditioned_minus_generic,160,now,judge_correct,6,8,0.34375,0.28125,0.4375,0.0,8,2.656752403468064
conditioned_minus_generic,160,future,em,6,8,-0.21041666666666667,-0.28125,-0.14166666666666666,0.0,8,-1.9618916824574077
conditioned_minus_generic,160,future,f1,6,8,-0.28427464896214893,-0.33710317460317457,-0.22935606494200256,0.0,8,-3.422794661011898
conditioned_minus_generic,160,future,judge_correct,6,8,-0.33541666666666664,-0.3895833333333333,-0.2875,0.0,8,-4.1979825509472395
reusable_minus_generic,160,now,em,6,8,0.3125,0.1875,0.4375,0.0,8,1.7677669529663687
reusable_minus_generic,160,now,f1,6,8,0.3125,0.1875,0.4375,0.0,8,1.7677669529663687
reusable_minus_generic,160,now,judge_correct,6,8,0.3125,0.1875,0.4375,0.0,8,1.7677669529663687
reusable_minus_generic,160,future,em,6,8,-0.08125,-0.15833333333333333,-0.004166666666666662,0.0386,8,-0.6789616453302653
reusable_minus_generic,160,future,f1,6,8,-0.13478490259740256,-0.20362599206349205,-0.06968225784632036,0.0,8,-1.2727315904102614
reusable_minus_generic,160,future,judge_correct,6,8,-0.16874999999999998,-0.24791666666666662,-0.09791666666666665,0.0,8,-1.4383267305392693
