policy,display,budget_words,n_contexts,conditioning_aspect_retention,other_aspect_retention,delta,lo,hi,p_value,n
lm_conditioned,lm_elimination_conditioned,20,16,0.020833333333333332,0.010416666666666668,0.010416666666666666,-0.010416666666666666,0.03645833333333333,0.4215,16
lm_conditioned,lm_elimination_conditioned,40,16,0.23177083333333331,0.015625,0.21614583333333334,0.1701388888888889,0.26041666666666663,0.0,16
lm_conditioned,lm_elimination_conditioned,80,16,0.31510416666666663,0.10503472222222222,0.21006944444444442,0.1579861111111111,0.265625,0.0,16
lm_conditioned,lm_elimination_conditioned,160,16,0.48697916666666663,0.2751736111111111,0.21180555555555552,0.15277777777777773,0.27604166666666663,0.0,16
lm_generic,lm_elimination_generic,20,16,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,1.0,16
lm_generic,lm_elimination_generic,40,16,0.07291666666666666,0.07291666666666666,0.0,0.0,0.0,1.0,16
lm_generic,lm_elimination_generic,80,16,0.17708333333333331,0.17708333333333334,-1.734723475976807e-18,-5.204170427930421e-18,0.0,0.6236,16
lm_generic,lm_elimination_generic,160,16,0.34635416666666663,0.34635416666666663,3.469446951953614e-18,0.0,1.0408340855860843e-17,0.6235,16
nonllm_conditioned,nonllm_elimination_conditioned,20,16,0.015625,0.012152777777777776,0.003472222222222222,-0.006944444444444444,0.02083333333333333,0.6999,16
nonllm_conditioned,nonllm_elimination_conditioned,40,16,0.26822916666666663,0.010416666666666666,0.2578125,0.22395833333333331,0.2907986111111111,0.0,16
nonllm_conditioned,nonllm_elimination_conditioned,80,16,0.3515625,0.08680555555555555,0.2647569444444444,0.2222222222222222,0.303841145833333,0.0,16
nonllm_conditioned,nonllm_elimination_conditioned,160,16,0.5130208333333333,0.265625,0.24739583333333331,0.18229166666666663,0.30555555555555547,0.0,16
nonllm_generic,nonllm_elimination_generic,20,16,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,1.0,16
nonllm_generic,nonllm_elimination_generic,40,16,0.05208333333333333,0.05208333333333333,0.0,0.0,0.0,1.0,16
nonllm_generic,nonllm_elimination_generic,80,16,0.13020833333333331,0.13020833333333334,-1.214306433183765e-17,-1.9081958235744878e-17,-5.204170427930421e-18,0.0006,16
nonllm_generic,nonllm_elimination_generic,160,16,0.3020833333333333,0.3020833333333333,1.0408340855860843e-17,-3.469446951953614e-18,2.42861286636753e-17,0.2271,16
passthrough,passthrough (prefix),20,16,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,1.0,16
passthrough,passthrough (prefix),40,16,0.049479166666666664,0.049479166666666664,0.0,0.0,0.0,1.0,16
passthrough,passthrough (prefix),80,16,0.1484375,0.1484375,0.0,0.0,0.0,1.0,16
passthrough,passthrough (prefix),160,16,0.34375,0.34375,0.0,0.0,0.0,1.0,16
random_selection,random_selection,20,16,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,1.0,16
random_selection,random_selection,40,16,0.057291666666666664,0.057291666666666664,0.0,0.0,0.0,1.0,16
random_selection,random_selection,80,16,0.13541666666666666,0.13541666666666669,-1.734723475976807e-18,-6.938893903907228e-18,3.469446951953614e-18,0.7556,16
random_selection,random_selection,160,16,0.359375,0.359375,1.734723475976807e-18,-5.204170427930421e-18,1.0408340855860843e-17,0.8469,16
