policy,display,context_id,rotation_id,target_words,delivered_words,fill_ratio,source_words,retention_fraction,selected_unit_count,declared_selected_unit_count,units_skipped_for_fit,empty_message,over_budget
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,160,144,0.9,480,0.3,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,160,147,0.91875,480,0.30625,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,160,146,0.9125,480,0.30416666666666664,1,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,160,146,0.9125,480,0.30416666666666664,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,20,17,0.85,480,0.035416666666666666,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,20,17,0.85,480,0.035416666666666666,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,20,19,0.95,480,0.03958333333333333,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,20,18,0.9,480,0.0375,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,40,39,0.975,480,0.08125,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,40,34,0.85,480,0.07083333333333333,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,40,37,0.925,480,0.07708333333333334,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,40,34,0.85,480,0.07083333333333333,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,80,72,0.9,480,0.15,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,80,79,0.9875,480,0.16458333333333333,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,80,80,1.0,480,0.16666666666666666,0,,,False,False
conditioned,summary_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,80,74,0.925,480,0.15416666666666667,2,,,False,False
generic,summary_generic,rel:11,-,160,140,0.875,480,0.2916666666666667,0,,,False,False
generic,summary_generic,rel:11,-,20,18,0.9,480,0.0375,0,,,False,False
generic,summary_generic,rel:11,-,40,40,1.0,480,0.08333333333333333,0,,,False,False
generic,summary_generic,rel:11,-,80,74,0.925,480,0.15416666666666667,0,,,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,160,157,0.98125,480,0.32708333333333334,5,5,12,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,160,153,0.95625,480,0.31875,6,6,11,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,160,153,0.95625,480,0.31875,6,6,11,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,160,147,0.91875,480,0.30625,5,5,12,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,40,34,0.85,480,0.07083333333333333,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,40,29,0.725,480,0.06041666666666667,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,40,27,0.675,480,0.05625,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,40,27,0.675,480,0.05625,1,1,16,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,80,75,0.9375,480,0.15625,2,2,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,80,79,0.9875,480,0.16458333333333333,3,3,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,80,66,0.825,480,0.1375,3,3,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,80,68,0.85,480,0.14166666666666666,2,2,15,False,False
lm_generic,lm_elimination_generic,rel:11,-,160,160,1.0,480,0.3333333333333333,6,6,11,False,False
lm_generic,lm_elimination_generic,rel:11,-,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
lm_generic,lm_elimination_generic,rel:11,-,40,38,0.95,480,0.07916666666666666,2,2,15,False,False
lm_generic,lm_elimination_generic,rel:11,-,80,77,0.9625,480,0.16041666666666668,3,3,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,160,155,0.96875,480,0.3229166666666667,5,5,12,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,160,156,0.975,480,0.325,6,6,11,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,160,141,0.88125,480,0.29375,5,5,12,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,160,151,0.94375,480,0.3145833333333333,5,5,12,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,40,27,0.675,480,0.05625,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,40,29,0.725,480,0.06041666666666667,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,40,27,0.675,480,0.05625,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,40,27,0.675,480,0.05625,1,1,16,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:custom:anchor,80,68,0.85,480,0.14166666666666666,2,2,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:facilities:anchor,80,80,1.0,480,0.16666666666666666,3,3,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:finance:anchor,80,74,0.925,480,0.15416666666666667,3,3,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:11,rel:11|cond=rel:11:founding:anchor,80,76,0.95,480,0.15833333333333333,3,3,14,False,False
nonllm_generic,nonllm_elimination_generic,rel:11,-,160,152,0.95,480,0.31666666666666665,5,5,12,False,False
nonllm_generic,nonllm_elimination_generic,rel:11,-,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
nonllm_generic,nonllm_elimination_generic,rel:11,-,40,27,0.675,480,0.05625,1,1,16,False,False
nonllm_generic,nonllm_elimination_generic,rel:11,-,80,68,0.85,480,0.14166666666666666,2,2,15,False,False
oracle,summary_oracle,rel:11,-,160,136,0.85,480,0.2833333333333333,0,,,False,False
oracle,summary_oracle,rel:11,-,20,18,0.9,480,0.0375,0,,,False,False
oracle,summary_oracle,rel:11,-,40,40,1.0,480,0.08333333333333333,0,,,False,False
oracle,summary_oracle,rel:11,-,80,76,0.95,480,0.15833333333333333,0,,,False,False
paraphrase,paraphrase,rel:11,-,160,145,0.90625,480,0.3020833333333333,0,,,False,False
paraphrase,paraphrase,rel:11,-,20,17,0.85,480,0.035416666666666666,0,,,False,False
paraphrase,paraphrase,rel:11,-,40,34,0.85,480,0.07083333333333333,0,,,False,False
paraphrase,paraphrase,rel:11,-,80,71,0.8875,480,0.14791666666666667,0,,,False,False
passthrough,passthrough (prefix),rel:11,-,160,154,0.9625,480,0.32083333333333336,6,6,11,False,False
passthrough,passthrough (prefix),rel:11,-,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
passthrough,passthrough (prefix),rel:11,-,40,27,0.675,480,0.05625,1,1,16,False,False
passthrough,passthrough (prefix),rel:11,-,80,76,0.95,480,0.15833333333333333,3,3,14,False,False
random_selection,random_selection,rel:11,-,160,152,0.95,480,0.31666666666666665,6,6,11,False,False
random_selection,random_selection,rel:11,-,20,16,0.8,480,0.03333333333333333,1,1,16,False,False
random_selection,random_selection,rel:11,-,40,39,0.975,480,0.08125,2,2,15,False,False
random_selection,random_selection,rel:11,-,80,76,0.95,480,0.15833333333333333,3,3,14,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:custom:anchor,160,139,0.86875,480,0.28958333333333336,0,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:facilities:anchor,160,149,0.93125,480,0.3104166666666667,0,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:finance:anchor,160,142,0.8875,480,0.29583333333333334,1,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:founding:anchor,160,148,0.925,480,0.30833333333333335,0,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:custom:anchor,20,18,0.9,480,0.0375,0,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:facilities:anchor,20,17,0.85,480,0.035416666666666666,0,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:finance:anchor,20,20,1.0,480,0.041666666666666664,0,,,False,False
reusable,summary_reusable,rel:11,rel:11|cond=rel:11:founding:anchor,20,18,0.9,480,0.0375,0,,,False,False
