policy,display,budget_words,slice,n_cells,n_contexts,span_survival,span_survival_lo,span_survival_hi,accuracy,accuracy_lo,accuracy_hi,accuracy_given_survival,n_contexts_with_survival,survival_shortfall
generic,summary_generic,20,q_now,64,16,0.109375,0.046875,0.171875,0.140625,0.078125,0.203125,1.0,7,-0.03125
generic,summary_generic,20,any_future,960,16,0.084375,0.056249999999999994,0.11041666666666668,0.103125,0.07708333333333334,0.12708333333333333,1.0,12,-0.01874999999999999
generic,summary_generic,20,paraphrase,64,16,0.109375,0.046875,0.171875,0.140625,0.078125,0.203125,1.0,7,-0.03125
generic,summary_generic,20,same_entity,64,16,0.09375,0.03125,0.171875,0.109375,0.046875,0.1875,1.0,5,-0.015625
generic,summary_generic,20,same_topic,64,16,0.03125,0.0,0.078125,0.03125,0.0,0.078125,1.0,2,0.0
generic,summary_generic,20,orthogonal,768,16,0.0859375,0.05859375,0.11328125,0.10546875,0.078125,0.12890625,1.0,12,-0.01953125
generic,summary_generic,40,q_now,64,16,0.3125,0.234375,0.40625,0.34375,0.265625,0.4375,1.0,15,-0.03125
generic,summary_generic,40,any_future,960,16,0.19166666666666665,0.15416666666666667,0.23124999999999998,0.20625,0.16666666666666666,0.24687499999999996,1.0,16,-0.014583333333333337
generic,summary_generic,40,paraphrase,64,16,0.3125,0.234375,0.40625,0.328125,0.25,0.40625,1.0,15,-0.015625
generic,summary_generic,40,same_entity,64,16,0.125,0.046875,0.21875,0.125,0.046875,0.21875,1.0,6,0.0
generic,summary_generic,40,same_topic,64,16,0.046875,0.0,0.09375,0.0625,0.015625,0.125,1.0,3,-0.015625
generic,summary_generic,40,orthogonal,768,16,0.19921875,0.16015625,0.2421875,0.21484375,0.171875,0.2578125,1.0,16,-0.015625
generic,summary_generic,80,q_now,64,16,0.46875,0.390625,0.546875,0.46875,0.390625,0.546875,1.0,16,0.0
generic,summary_generic,80,any_future,960,16,0.3145833333333333,0.26249999999999996,0.36354166666666665,0.3145833333333333,0.2583333333333333,0.3677083333333333,0.9833333333333334,16,0.0
