policy,budget_words,endpoint,metric,mean,lo,hi,n_contexts,n_excluded_low_ceiling,min_ceiling_for_ratio
conditioned,20,now,em,0.9322916666666666,0.8541666666666666,1.0,16,0,0.25
conditioned,20,now,f1,0.9862599206349206,0.9618055555555556,1.009126984126984,16,0,0.25
conditioned,20,now,judge_correct,1.0208333333333333,1.0,1.0625,16,0,0.25
conditioned,20,future,em,0.04921136841732848,0.03849419233309014,0.05892649713035915,16,0,0.25
conditioned,20,future,f1,0.0968730381245106,0.0843574393035834,0.11062607148906942,16,0,0.25
conditioned,20,future,judge_correct,0.07763364779874214,0.07083333333333333,0.08547562893081762,16,0,0.25
conditioned,40,now,em,0.9635416666666666,0.9114583333333333,1.0,16,0,0.25
conditioned,40,now,f1,0.9789186507936507,0.9546130952380952,1.0,16,0,0.25
conditioned,40,now,judge_correct,1.0,1.0,1.0,16,0,0.25
conditioned,40,future,em,0.08017460515576384,0.06894072284497789,0.09193116587753682,16,0,0.25
conditioned,40,future,f1,0.1128417271164611,0.09793394845962551,0.1281472739629712,16,0,0.25
conditioned,40,future,judge_correct,0.09679638364779874,0.08541666666666667,0.10921776729559748,16,0,0.25
conditioned,80,now,em,0.9583333333333333,0.8958333333333333,1.0,16,0,0.25
conditioned,80,now,f1,0.9805555555555556,0.9378968253968254,1.0107142857142857,16,0,0.25
conditioned,80,now,judge_correct,1.0052083333333333,0.953125,1.0625,16,0,0.25
conditioned,80,future,em,0.10545487470317233,0.09209022052575327,0.12088932531801201,16,0,0.25
conditioned,80,future,f1,0.12803452441766544,0.11397554204935458,0.14371389311327504,16,0,0.25
conditioned,80,future,judge_correct,0.11776729559748428,0.10416666666666667,0.1324685534591195,16,0,0.25
conditioned,160,now,em,0.9635416666666666,0.90625,1.0,16,0,0.25
conditioned,160,now,f1,0.9629464285714285,0.9107142857142857,1.0053571428571428,16,0,0.25
conditioned,160,now,judge_correct,0.9895833333333333,0.9375,1.046875,16,0,0.25
conditioned,160,future,em,0.16098300065640292,0.14055349699566191,0.18215352984747354,16,0,0.25
conditioned,160,future,f1,0.1752374481977783,0.15769485562849886,0.19269387693762238,16,0,0.25
conditioned,160,future,judge_correct,0.16935927672955975,0.15,0.18915094339622643,16,0,0.25
generic,20,now,em,0.05208333333333333,0.0,0.109375,16,0,0.25
generic,20,now,f1,0.17257566094619664,0.13478960362554113,0.21048661680581324,16,0,0.25
generic,20,now,judge_correct,0.140625,0.078125,0.203125,16,0,0.25
generic,20,future,em,0.06338828558757804,0.0341522536687631,0.09284098942854839,16,0,0.25
generic,20,future,f1,0.13949098543221125,0.10838354579548927,0.16875571916277993,16,0,0.25
generic,20,future,judge_correct,0.10367531446540881,0.07763364779874214,0.1271422955974843,16,0,0.25
generic,40,now,em,0.2864583333333333,0.18229166666666666,0.390625,16,0,0.25
generic,40,now,f1,0.3455965909090909,0.26904761904761904,0.43004633387445884,16,0,0.25
generic,40,now,judge_correct,0.3489583333333333,0.265625,0.4375,16,0,0.25
generic,40,future,em,0.17038159568438688,0.12487171863635392,0.21888562351255972,16,0,0.25
generic,40,future,f1,0.23059503785895333,0.19359082785923465,0.27318726813000827,16,0,0.25
generic,40,future,judge_correct,0.20776336477987423,0.16865172955974844,0.24734669811320753,16,0,0.25
generic,80,now,em,0.2864583333333333,0.14583333333333331,0.43229166666666663,16,0,0.25
generic,80,now,f1,0.422688943001443,0.3143487892316018,0.5361619543650794,16,0,0.25
generic,80,now,judge_correct,0.47916666666666663,0.390625,0.5729166666666666,16,0,0.25
generic,80,future,em,0.19871555968719573,0.131926603679994,0.266725219707469,16,0,0.25
generic,80,future,f1,0.29930695449941447,0.24657758258739937,0.352581978711011,16,0,0.25
generic,80,future,judge_correct,0.3176100628930818,0.2613600628930818,0.37395833333333334,16,0,0.25
generic,160,now,em,0.5104166666666666,0.39583333333333326,0.6302083333333333,16,0,0.25
generic,160,now,f1,0.612303841991342,0.5117042072510822,0.7086617288961038,16,0,0.25
generic,160,now,judge_correct,0.625,0.515625,0.734375,16,0,0.25
generic,160,future,em,0.4556542311594003,0.3792303287067061,0.5384535771660884,16,0,0.25
generic,160,future,f1,0.5208933969348222,0.45953060047121064,0.5887321736326316,16,0,0.25
generic,160,future,judge_correct,0.5150157232704402,0.4552083333333333,0.5827240566037736,16,0,0.25
lm_conditioned,20,now,em,0.05208333333333333,0.0,0.13541666666666666,16,0,0.25
lm_conditioned,20,now,f1,0.05625,0.0,0.13035714285714287,16,0,0.25
lm_conditioned,20,now,judge_correct,0.0625,0.0,0.140625,16,0,0.25
lm_conditioned,20,future,em,0.011539757412398922,0.002232142857142857,0.022152964959568734,16,0,0.25
lm_conditioned,20,future,f1,0.028051300563018036,0.012957907012447978,0.045366813886046936,16,0,0.25
lm_conditioned,20,future,judge_correct,0.023329402515723272,0.008333333333333333,0.04103773584905661,16,0,0.25
lm_conditioned,40,now,em,0.5520833333333333,0.44791666666666663,0.6666666666666666,16,0,0.25
lm_conditioned,40,now,f1,0.6090390512265512,0.5026895630411256,0.7180062342171717,16,0,0.25
lm_conditioned,40,now,judge_correct,0.6145833333333333,0.5052083333333333,0.7239583333333333,16,0,0.25
lm_conditioned,40,future,em,0.05902635469816985,0.048271680202378486,0.0716580761429543,16,0,0.25
lm_conditioned,40,future,f1,0.08224052700094203,0.07261897915019606,0.09143274076823261,16,0,0.25
lm_conditioned,40,future,judge_correct,0.06499606918238994,0.05957154088050315,0.07061713836477987,16,0,0.25
lm_conditioned,80,now,em,0.6822916666666666,0.578125,0.7864583333333333,16,0,0.25
lm_conditioned,80,now,f1,0.697885101010101,0.6003152056277056,0.7948662968975467,16,0,0.25
lm_conditioned,80,now,judge_correct,0.7135416666666666,0.609375,0.8125,16,0,0.25
lm_conditioned,80,future,em,0.1497549637168289,0.12105062342091755,0.17768124183420791,16,0,0.25
lm_conditioned,80,future,f1,0.17303988926794045,0.14796668570736993,0.19838106784340304,16,0,0.25
lm_conditioned,80,future,judge_correct,0.1651926100628931,0.14375,0.18577044025157233,16,0,0.25
lm_conditioned,160,now,em,0.8958333333333333,0.8125,0.96875,16,0,0.25
lm_conditioned,160,now,f1,0.9017857142857143,0.8214285714285714,0.96875,16,0,0.25
lm_conditioned,160,now,judge_correct,0.90625,0.828125,0.96875,16,0,0.25
lm_conditioned,160,future,em,0.3278274924603304,0.2906406876190212,0.36603022462486123,16,0,0.25
lm_conditioned,160,future,f1,0.3426039962145293,0.3104344908389767,0.37668949018372416,16,0,0.25
lm_conditioned,160,future,judge_correct,0.334001572327044,0.3047489190251573,0.36354166666666665,16,0,0.25
lm_generic,20,now,em,0.015625,0.0,0.046875,16,0,0.25
lm_generic,20,now,f1,0.015625,0.0,0.046875,16,0,0.25
lm_generic,20,now,judge_correct,0.03125,0.0,0.078125,16,0,0.25
lm_generic,20,future,em,0.012276785714285714,0.0,0.03125,16,0,0.25
lm_generic,20,future,f1,0.024238708246758,0.009225185395177912,0.04275447178304918,16,0,0.25
lm_generic,20,future,judge_correct,0.02291666666666667,0.004166666666666667,0.044791666666666674,16,0,0.25
lm_generic,40,now,em,0.078125,0.020833333333333332,0.14583333333333334,16,0,0.25
lm_generic,40,now,f1,0.08705357142857142,0.033482142857142856,0.14955357142857142,16,0,0.25
lm_generic,40,now,judge_correct,0.078125,0.03125,0.140625,16,0,0.25
lm_generic,40,future,em,0.06546774266641446,0.03803076505138634,0.09241271294391638,16,0,0.25
lm_generic,40,future,f1,0.08729737280947454,0.0647867552123513,0.11076078512690943,16,0,0.25
lm_generic,40,future,judge_correct,0.06979166666666667,0.05,0.08854166666666667,16,0,0.25
lm_generic,80,now,em,0.19270833333333331,0.09374999999999999,0.3020833333333333,16,0,0.25
lm_generic,80,now,f1,0.20082521645021645,0.10707521645021645,0.30573593073593075,16,0,0.25
lm_generic,80,now,judge_correct,0.1875,0.09375,0.296875,16,0,0.25
lm_generic,80,future,em,0.17761013396586706,0.13941321604775642,0.21373342948566382,16,0,0.25
lm_generic,80,future,f1,0.18979276636064268,0.15422344329954327,0.22536179816864102,16,0,0.25
lm_generic,80,future,judge_correct,0.1755503144654088,0.13909198113207547,0.21305031446540879,16,0,0.25
lm_generic,160,now,em,0.390625,0.2864583333333333,0.4895833333333333,16,0,0.25
lm_generic,160,now,f1,0.39138257575757573,0.29407467532467535,0.48960024350649345,16,0,0.25
