policy,budget_words,relation,kind,metric,mean,lo,hi,n_contexts,n_cells
conditioned,20,paraphrase,utility,em,0.625,0.484375,0.75,16,64
conditioned,20,paraphrase,regret,em,0.15625,0.078125,0.25,16,64
conditioned,20,paraphrase,utility,f1,0.8083333333333333,0.7182291666666667,0.8843749999999999,16,64
conditioned,20,paraphrase,regret,f1,0.06666666666666667,0.00625,0.1359375,16,64
conditioned,20,paraphrase,utility,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,20,paraphrase,regret,judge_correct,0.0,-0.046875,0.046875,16,64
conditioned,20,same_entity,utility,em,0.015625,0.0,0.046875,16,64
conditioned,20,same_entity,regret,em,0.828125,0.75,0.90625,16,64
conditioned,20,same_entity,utility,f1,0.07760416666666667,0.03229166666666666,0.1296875,16,64
conditioned,20,same_entity,regret,f1,0.8666666666666667,0.8088541666666667,0.9197916666666667,16,64
conditioned,20,same_entity,utility,judge_correct,0.046875,0.0,0.09375,16,64
conditioned,20,same_entity,regret,judge_correct,0.953125,0.90625,1.0,16,64
conditioned,20,same_topic,utility,em,0.0,0.0,0.0,16,64
conditioned,20,same_topic,regret,em,0.953125,0.875,1.0,16,64
conditioned,20,same_topic,utility,f1,0.05247825091575092,0.013020833333333332,0.1082315991300366,16,64
conditioned,20,same_topic,regret,f1,0.9318967490842491,0.8719246508699634,0.9774999999999998,16,64
conditioned,20,same_topic,utility,judge_correct,0.015625,0.0,0.046875,16,64
conditioned,20,same_topic,regret,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,20,orthogonal,utility,em,0.0,0.0,0.0,16,768
conditioned,20,orthogonal,regret,em,0.84375,0.796875,0.88671875,16,768
conditioned,20,orthogonal,utility,f1,0.03406482117419618,0.023950015461245932,0.04505322007275132,16,768
conditioned,20,orthogonal,regret,f1,0.8914560121591371,0.8646657469411375,0.9173729087571861,16,768
conditioned,20,orthogonal,utility,judge_correct,0.009114583333333332,0.0026041666666666665,0.016927083333333332,16,768
conditioned,20,orthogonal,regret,judge_correct,0.9830729166666666,0.9661458333333333,0.99609375,16,768
conditioned,40,paraphrase,utility,em,0.71875,0.609375,0.828125,16,64
conditioned,40,paraphrase,regret,em,0.0625,0.0,0.125,16,64
conditioned,40,paraphrase,utility,f1,0.86875,0.8166666666666667,0.91875,16,64
conditioned,40,paraphrase,regret,f1,0.00625,-0.03854166666666667,0.043229166666666666,16,64
conditioned,40,paraphrase,utility,judge_correct,1.0,1.0,1.0,16,64
conditioned,40,paraphrase,regret,judge_correct,-0.015625,-0.046875,0.0,16,64
conditioned,40,same_entity,utility,em,0.09375,0.046875,0.15625,16,64
conditioned,40,same_entity,regret,em,0.75,0.6875,0.8125,16,64
conditioned,40,same_entity,utility,f1,0.12686011904761904,0.0703125,0.18452380952380953,16,64
conditioned,40,same_entity,regret,f1,0.8174107142857143,0.7653125000000001,0.8736607142857142,16,64
conditioned,40,same_entity,utility,judge_correct,0.125,0.0625,0.1875,16,64
conditioned,40,same_entity,regret,judge_correct,0.875,0.8125,0.9375,16,64
