scope,population,comparison,treatment,control,measure,delta,lo,hi,p_value,n_dossiers,n_paired_observations,equivalence_margin,equivalent_within_margin,family
itt,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,f1,0.02375,-0.05375,0.105,0.574943,20,80,0.05,0,llama
itt,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,judge_correct,0.0375,-0.0375,0.125,0.555944,20,80,0.05,0,llama
itt,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,b_present_stage2,0.0375,-0.0375,0.125,0.567243,20,80,0.05,0,llama
compliant,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,f1,0.02375,-0.05,0.10375,0.581942,20,80,0.05,0,llama
compliant,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,judge_correct,0.0375,-0.0375,0.1125,0.560844,20,80,0.05,0,llama
compliant,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,b_present_stage2,0.0375,-0.0375,0.125,0.557744,20,80,0.05,0,llama
qa_eligible,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,f1,0.02375,-0.05125,0.1075,0.577442,20,80,0.05,0,llama
qa_eligible,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,judge_correct,0.0375,-0.0375,0.125,0.557644,20,80,0.05,0,llama
qa_eligible,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,b_present_stage2,0.0375,-0.0375,0.125,0.565143,20,80,0.05,0,llama
itt,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,f1,0.045179,0.00625,0.0875,0.084792,20,80,0.05,0,llama
itt,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,judge_correct,0.05,0.0125,0.1,0.120388,20,80,0.05,0,llama
itt,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,b_present_stage2,0.05,0.0125,0.1,0.125687,20,80,0.05,0,llama
compliant,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,f1,0.045179,0.00625,0.087679,0.078792,20,80,0.05,0,llama
compliant,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,judge_correct,0.05,0.0125,0.1,0.124588,20,80,0.05,0,llama
compliant,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,b_present_stage2,0.05,0.0125,0.1,0.131687,20,80,0.05,0,llama
qa_eligible,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,f1,0.045179,0.00625,0.0875,0.080992,20,80,0.05,0,llama
qa_eligible,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,judge_correct,0.05,0.0125,0.1,0.120688,20,80,0.05,0,llama
qa_eligible,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,b_present_stage2,0.05,0.0125,0.1,0.124288,20,80,0.05,0,llama
itt,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,f1,-0.005476,-0.05,0.040714,0.936706,20,51,0.05,0,llama
itt,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,judge_correct,0.0,0.0,0.0,1.0,20,51,0.05,1,llama
itt,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,b_present_stage2,0.0,0.0,0.0,1.0,20,51,0.05,1,llama
compliant,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,f1,-0.005476,-0.050119,0.040357,0.936806,20,51,0.05,0,llama
compliant,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,judge_correct,0.0,0.0,0.0,1.0,20,51,0.05,1,llama
compliant,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,b_present_stage2,0.0,0.0,0.0,1.0,20,51,0.05,1,llama
qa_eligible,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,f1,-0.005476,-0.050595,0.041676,0.932707,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,judge_correct,0.0,0.0,0.0,1.0,20,51,0.05,1,llama
qa_eligible,eligible_omissions,llama:larger_relay_on_clean_omissions,llama_sl,llama_ss,b_present_stage2,0.0,0.0,0.0,1.0,20,51,0.05,1,llama
itt,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,f1,-0.051429,-0.1175,-0.001786,0.121888,20,80,0.05,0,llama
itt,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,judge_correct,-0.05,-0.1125,0.0,0.258474,20,80,0.05,0,llama
itt,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,b_present_stage2,-0.05,-0.1125,0.0,0.248675,20,80,0.05,0,llama
