mode,slots,endpoint,metric,n_dossiers,n_rotations,mean,lo,hi
generic,4,immediate,em,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
conditioned,4,immediate,em,1,6,1.0,1.0,1.0
generic,4,immediate,f1,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
conditioned,4,immediate,f1,1,6,1.0,1.0,1.0
generic,4,reusable,em,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
conditioned,4,reusable,em,1,6,0.6,0.6,0.6
generic,4,reusable,f1,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
conditioned,4,reusable,f1,1,6,0.6166666666666666,0.6166666666666666,0.6166666666666666
generic,4,support,announced_card_selected,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
conditioned,4,support,announced_card_selected,1,6,1.0,1.0,1.0
generic,4,support,hidden_card_selection_rate,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
conditioned,4,support,hidden_card_selection_rate,1,6,0.6,0.6,0.6
generic,4,channel,selection_valid,1,6,1.0,1.0,1.0
conditioned,4,channel,selection_valid,1,6,1.0,1.0,1.0
generic,4,channel,handoff_characters,1,6,412.0,412.0,412.0
conditioned,4,channel,handoff_characters,1,6,414.6666666666667,414.6666666666667,414.6666666666667
generic,4,channel,handoff_words,1,6,76.0,76.0,76.0
conditioned,4,channel,handoff_words,1,6,76.0,76.0,76.0
generic,4,channel,handoff_estimated_tokens,1,6,111.0,111.0,111.0
conditioned,4,channel,handoff_estimated_tokens,1,6,111.66666666666667,111.66666666666667,111.66666666666667
