comparison,slots,endpoint,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,2,immediate,em,0.5333333333333334,0.4666666666666666,0.5999999999999999,0.0,20
conditioned_minus_generic,2,immediate,f1,0.5522222222222222,0.49833333333333335,0.599722222222222,0.0,20
conditioned_minus_generic,2,immediate,judge_correct,0.6083333333333333,0.5666666666666667,0.6499999999999999,0.0,20
conditioned_minus_generic,2,reusable,em,-0.11666666666666667,-0.165,-0.06666666666666668,0.0,20
conditioned_minus_generic,2,reusable,f1,-0.12428306878306879,-0.15744563492063493,-0.09294867724867727,0.0,20
conditioned_minus_generic,2,reusable,judge_correct,-0.14666666666666667,-0.16333333333333336,-0.1333333333333333,0.0,20
conditioned_minus_generic,2,support,announced_card_selected,0.6499999999999999,0.6249999999999999,0.6666666666666666,0.0,20
conditioned_minus_generic,2,support,hidden_card_selection_rate,-0.13,-0.13333333333333336,-0.125,0.0,20
conditioned_minus_generic,2,channel,selection_valid,0.0,0.0,0.0,1.0,20
conditioned_minus_generic,2,channel,handoff_characters,14.991666666666669,-11.733749999999999,43.517708333333324,0.2964,20
conditioned_minus_generic,2,channel,handoff_words,2.0666666666666678,-2.0333333333333323,6.200208333333332,0.3315,20
conditioned_minus_generic,2,channel,handoff_estimated_tokens,4.025000000000001,-3.1752083333333307,11.67520833333333,0.2958,20
specialization_interaction,2,immediate_minus_reusable,em,0.6500000000000001,0.6016666666666667,0.6983333333333335,0.0,20
specialization_interaction,2,immediate_minus_reusable,f1,0.676505291005291,0.6403888888888889,0.7112334656084656,0.0,20
specialization_interaction,2,immediate_minus_reusable,judge_correct,0.755,0.7216666666666667,0.7833333333333335,0.0,20
conditioned_minus_generic,4,immediate,em,0.3,0.25833333333333336,0.3416666666666667,0.0,20
conditioned_minus_generic,4,immediate,f1,0.29138888888888886,0.25833333333333336,0.32333333333333325,0.0,20
conditioned_minus_generic,4,immediate,judge_correct,0.3166666666666667,0.29166666666666663,0.3333333333333333,0.0,20
conditioned_minus_generic,4,reusable,em,-0.024999999999999988,-0.05833333333333331,0.008333333333333349,0.1539,20
conditioned_minus_generic,4,reusable,f1,-0.04751058201058199,-0.07149206349206347,-0.025147751322751266,0.0,20
conditioned_minus_generic,4,reusable,judge_correct,-0.06166666666666666,-0.07666666666666666,-0.04833333333333332,0.0,20
conditioned_minus_generic,4,support,announced_card_selected,0.325,0.3083333333333333,0.3333333333333333,0.0,20
conditioned_minus_generic,4,support,hidden_card_selection_rate,-0.06499999999999999,-0.06666666666666665,-0.06166666666666665,0.0,20
conditioned_minus_generic,4,channel,selection_valid,0.0,0.0,0.0,1.0,20
conditioned_minus_generic,4,channel,handoff_characters,19.4,0.5579166666666603,40.74166666666666,0.0589,20
conditioned_minus_generic,4,channel,handoff_words,2.9333333333333336,-0.033541666666665006,6.291666666666666,0.0686,20
conditioned_minus_generic,4,channel,handoff_estimated_tokens,5.291666666666668,0.18333333333333496,11.033541666666666,0.0566,20
specialization_interaction,4,immediate_minus_reusable,em,0.32500000000000007,0.28500000000000003,0.36333333333333334,0.0,20
specialization_interaction,4,immediate_minus_reusable,f1,0.33889947089947087,0.3089907407407407,0.36669596560846557,0.0,20
specialization_interaction,4,immediate_minus_reusable,judge_correct,0.37833333333333335,0.35500000000000004,0.39500000000000013,0.0,20
conditioned_minus_generic,6,immediate,em,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,immediate,f1,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,immediate,judge_correct,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,reusable,em,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,reusable,f1,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,reusable,judge_correct,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,support,announced_card_selected,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,support,hidden_card_selection_rate,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,channel,selection_valid,-0.016666666666666663,-0.04166666666666666,0.0,0.2554,20
conditioned_minus_generic,6,channel,handoff_characters,-10.441666666666668,-25.680624999999807,0.0,0.2264,20
conditioned_minus_generic,6,channel,handoff_words,-1.875,-4.612291666666632,0.0,0.2264,20
conditioned_minus_generic,6,channel,handoff_estimated_tokens,-2.8083333333333327,-6.906041666666612,0.0,0.2264,20
specialization_interaction,6,immediate_minus_reusable,em,0.0,0.0,0.0,1.0,20
specialization_interaction,6,immediate_minus_reusable,f1,0.0,0.0,0.0,1.0,20
specialization_interaction,6,immediate_minus_reusable,judge_correct,0.0,0.0,0.0,1.0,20
