scope,comparison,slots,endpoint,metric,n_dossiers,n_paired_rotations,delta,lo,hi,p_value,n
paired_compliant,conditioned_minus_generic,2,immediate,em,20,120,0.5333333333333333,0.45833333333333337,0.5999999999999999,0.0,20
paired_compliant,conditioned_minus_generic,2,immediate,f1,20,120,0.5522222222222222,0.49833333333333335,0.6013888888888889,0.0,20
paired_compliant,conditioned_minus_generic,2,immediate,judge_correct,20,120,0.6083333333333333,0.5666666666666665,0.6499999999999998,0.0,20
paired_compliant,conditioned_minus_generic,2,reusable,em,20,120,-0.11666666666666665,-0.16499999999999998,-0.06499999999999999,0.0,20
paired_compliant,conditioned_minus_generic,2,reusable,f1,20,120,-0.12428306878306879,-0.15759834656084656,-0.09165251322751324,0.0,20
paired_compliant,conditioned_minus_generic,2,reusable,judge_correct,20,120,-0.14666666666666667,-0.16333333333333333,-0.13166666666666665,0.0,20
paired_compliant,conditioned_minus_generic,2,support,announced_card_selected,20,120,0.6499999999999998,0.6249999999999999,0.6666666666666665,0.0,20
paired_compliant,conditioned_minus_generic,2,support,hidden_card_selection_rate,20,120,-0.12999999999999998,-0.13333333333333333,-0.125,0.0,20
paired_compliant,conditioned_minus_generic,2,channel,handoff_characters,20,120,14.991666666666665,-11.71749999999999,43.48354166666667,0.2864,20
paired_compliant,conditioned_minus_generic,2,channel,handoff_words,20,120,2.066666666666667,-2.0333333333333328,6.208541666666664,0.327,20
paired_compliant,conditioned_minus_generic,2,channel,handoff_estimated_tokens,20,120,4.025,-3.125208333333332,11.7,0.2876,20
paired_compliant,conditioned_minus_generic,4,immediate,em,20,120,0.29999999999999993,0.2583333333333333,0.3416666666666667,0.0,20
paired_compliant,conditioned_minus_generic,4,immediate,f1,20,120,0.29138888888888886,0.25749999999999995,0.32333333333333336,0.0,20
paired_compliant,conditioned_minus_generic,4,immediate,judge_correct,20,120,0.3166666666666666,0.29166666666666663,0.33333333333333326,0.0,20
paired_compliant,conditioned_minus_generic,4,reusable,em,20,120,-0.025000000000000012,-0.05666666666666668,0.006666666666666664,0.1209,20
paired_compliant,conditioned_minus_generic,4,reusable,f1,20,120,-0.04751058201058201,-0.07133617724867725,-0.024806878306878315,0.0001,20
paired_compliant,conditioned_minus_generic,4,reusable,judge_correct,20,120,-0.06166666666666669,-0.07666666666666669,-0.048333333333333346,0.0,20
paired_compliant,conditioned_minus_generic,4,support,announced_card_selected,20,120,0.3249999999999999,0.30833333333333324,0.33333333333333326,0.0,20
paired_compliant,conditioned_minus_generic,4,support,hidden_card_selection_rate,20,120,-0.06500000000000002,-0.06666666666666668,-0.06166666666666668,0.0,20
paired_compliant,conditioned_minus_generic,4,channel,handoff_characters,20,120,19.400000000000006,0.340833333333341,40.40041666666666,0.0567,20
paired_compliant,conditioned_minus_generic,4,channel,handoff_words,20,120,2.9333333333333327,-0.06666666666666653,6.225,0.0688,20
paired_compliant,conditioned_minus_generic,4,channel,handoff_estimated_tokens,20,120,5.291666666666667,0.15000000000000036,10.966874999999998,0.0545,20
paired_compliant,conditioned_minus_generic,6,immediate,em,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,immediate,f1,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,immediate,judge_correct,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,reusable,em,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,reusable,f1,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,reusable,judge_correct,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,support,announced_card_selected,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,support,hidden_card_selection_rate,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,channel,handoff_characters,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,channel,handoff_words,20,118,0.0,0.0,0.0,1.0,20
paired_compliant,conditioned_minus_generic,6,channel,handoff_estimated_tokens,20,118,0.0,0.0,0.0,1.0,20
