comparison,condition,relay_depth,depth,metric,delta,lo,hi,p_value,n
relay_depth_minus_r0,question_conditioned,1,1,em,0.03333333333333333,-0.06666666666666667,0.15,0.6572,30
relay_depth_minus_r0,question_conditioned,1,1,f1,0.028789543789543792,-0.06287712287712287,0.12981718281718257,0.5589,30
relay_depth_minus_r0,question_conditioned,1,1,judge_correct,0.03333333333333333,-0.05,0.11666666666666667,0.522,30
relay_depth_minus_r0,question_conditioned,3,3,em,0.03333333333333333,-0.06666666666666667,0.15,0.6502,30
relay_depth_minus_r0,question_conditioned,3,3,f1,0.03394586894586895,-0.0643319088319088,0.13629772079772076,0.5032,30
relay_depth_minus_r0,question_conditioned,3,3,judge_correct,0.05,-0.05,0.15,0.3905,30
relay_depth_minus_r0,question_conditioned,5,5,em,0.1,0.016666666666666666,0.2,0.0598,30
relay_depth_minus_r0,question_conditioned,5,5,f1,0.050208495208495206,-0.049698750323750304,0.15187516187516187,0.3263,30
relay_depth_minus_r0,question_conditioned,5,5,judge_correct,0.016666666666666666,-0.1,0.11666666666666667,0.8711,30
relay_depth_minus_r0,question_omitted,1,1,em,0.016666666666666666,-0.08333333333333333,0.13333333333333333,0.8793,30
relay_depth_minus_r0,question_omitted,1,1,f1,0.03137566137566138,-0.05843915343915342,0.12219576719576719,0.491,30
relay_depth_minus_r0,question_omitted,1,1,judge_correct,0.03333333333333333,-0.05,0.11666666666666667,0.539,30
relay_depth_minus_r0,question_omitted,3,3,em,0.03333333333333333,-0.08333333333333333,0.15,0.6681,30
relay_depth_minus_r0,question_omitted,3,3,f1,0.031005291005291015,-0.06907407407407407,0.1261904761904762,0.53,30
relay_depth_minus_r0,question_omitted,3,3,judge_correct,0.016666666666666666,-0.06666666666666667,0.1,0.8551,30
relay_depth_minus_r0,question_omitted,5,5,em,-0.03333333333333333,-0.18333333333333332,0.1,0.7261,30
relay_depth_minus_r0,question_omitted,5,5,f1,-0.04621693121693122,-0.173994708994709,0.06746097883597882,0.458,30
relay_depth_minus_r0,question_omitted,5,5,judge_correct,-0.06666666666666667,-0.2,0.05,0.337,30
