condition,relay_depth,depth,handoff_age,n,answer_string_survival,answer_string_survival_lo,answer_string_survival_hi,source_topic_survival,source_topic_survival_lo,source_topic_survival_hi
question_conditioned,0,0,0,30,0.9778,0.95,1.0,0.9139,0.8625,0.9597
question_conditioned,0,0,1,30,0.9556,0.9,1.0,0.9028,0.8333,0.9611
question_conditioned,0,0,2,14,0.9643,0.8929,1.0,0.8571,0.6429,1.0
question_conditioned,0,0,3,6,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,1,1,0,30,0.9917,0.975,1.0,0.9153,0.8625,0.9625
question_conditioned,1,1,1,30,0.9806,0.95,1.0,0.8722,0.7778,0.95
question_conditioned,1,1,2,30,0.9889,0.9667,1.0,0.875,0.7833,0.95
question_conditioned,1,1,3,14,0.9643,0.8929,1.0,0.7857,0.5714,1.0
question_conditioned,1,1,4,14,0.9643,0.8929,1.0,0.8571,0.6429,1.0
question_conditioned,1,1,5,6,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,1,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,3,3,0,30,0.9833,0.9583,1.0,0.9208,0.8736,0.9639
question_conditioned,3,3,1,30,0.9722,0.9389,1.0,0.8833,0.7833,0.9639
question_conditioned,3,3,2,30,0.9472,0.9,0.9833,0.8472,0.7472,0.9333
question_conditioned,3,3,3,30,0.9417,0.8917,0.9833,0.8417,0.7444,0.9278
question_conditioned,3,3,4,30,0.9778,0.9389,1.0,0.8667,0.7722,0.9444
question_conditioned,3,3,5,14,0.9464,0.8571,1.0,0.8214,0.6071,1.0
question_conditioned,3,3,6,14,0.9286,0.8214,1.0,0.8214,0.6071,1.0
question_conditioned,3,3,7,14,0.9286,0.8214,1.0,0.8036,0.6071,0.9643
question_conditioned,3,3,8,14,0.9643,0.8929,1.0,0.8036,0.6071,0.9643
question_conditioned,3,3,9,6,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,3,3,10,6,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,3,3,11,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,3,3,12,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,5,5,0,30,0.9861,0.9639,1.0,0.9042,0.8417,0.9583
question_conditioned,5,5,1,30,0.9806,0.95,1.0,0.8861,0.7861,0.9667
question_conditioned,5,5,2,30,0.9556,0.9083,0.9917,0.8444,0.7333,0.9389
question_conditioned,5,5,3,30,0.9556,0.9083,0.9917,0.8444,0.7333,0.9389
question_conditioned,5,5,4,30,0.9472,0.8944,0.9917,0.8444,0.7333,0.9389
question_conditioned,5,5,5,30,0.9472,0.8944,0.9917,0.8306,0.7139,0.9278
question_conditioned,5,5,6,30,0.9611,0.9111,1.0,0.85,0.7417,0.9361
question_conditioned,5,5,7,14,0.9643,0.8929,1.0,0.8393,0.6429,1.0
question_conditioned,5,5,8,14,0.9464,0.8571,1.0,0.8393,0.6429,1.0
question_conditioned,5,5,9,14,0.9464,0.8571,1.0,0.8393,0.6429,1.0
question_conditioned,5,5,10,14,0.9464,0.8571,1.0,0.8393,0.6429,1.0
question_conditioned,5,5,11,14,0.9107,0.8036,1.0,0.8393,0.6429,1.0
question_conditioned,5,5,12,14,0.9107,0.8036,1.0,0.8393,0.6429,1.0
question_conditioned,5,5,13,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,5,5,14,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,5,5,15,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,5,5,16,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,5,5,17,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_conditioned,5,5,18,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_omitted,0,0,0,30,0.9625,0.9194,0.9958,0.9458,0.9042,0.9806
question_omitted,0,0,1,30,0.9861,0.9639,1.0,0.95,0.9056,0.9861
question_omitted,0,0,2,14,0.9643,0.8929,1.0,0.8929,0.7857,0.9821
question_omitted,0,0,3,6,0.9167,0.75,1.0,1.0,1.0,1.0
question_omitted,1,1,0,30,0.975,0.9444,1.0,0.9514,0.9167,0.9819
question_omitted,1,1,1,30,0.9778,0.95,1.0,0.9167,0.8333,0.975
question_omitted,1,1,2,30,0.9861,0.9639,1.0,0.9167,0.8333,0.975
question_omitted,1,1,3,14,0.9643,0.8929,1.0,0.8571,0.6964,0.9821
question_omitted,1,1,4,14,0.9643,0.8929,1.0,0.8571,0.6964,0.9821
question_omitted,1,1,5,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,1,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,3,3,0,30,0.9667,0.9306,0.9944,0.9347,0.8875,0.975
question_omitted,3,3,1,30,0.9639,0.9278,0.9917,0.9167,0.8361,0.9778
question_omitted,3,3,2,30,0.9639,0.9278,0.9917,0.9,0.8139,0.9694
question_omitted,3,3,3,30,0.9639,0.9278,0.9917,0.9,0.8139,0.9694
question_omitted,3,3,4,30,0.9778,0.95,1.0,0.9167,0.8361,0.9778
question_omitted,3,3,5,14,0.9464,0.8571,1.0,0.9286,0.8214,1.0
question_omitted,3,3,6,14,0.9464,0.8571,1.0,0.9286,0.8214,1.0
question_omitted,3,3,7,14,0.9464,0.8571,1.0,0.9286,0.8214,1.0
question_omitted,3,3,8,14,0.9286,0.8393,1.0,0.9286,0.8214,1.0
question_omitted,3,3,9,6,1.0,1.0,1.0,0.9167,0.75,1.0
question_omitted,3,3,10,6,1.0,1.0,1.0,0.9167,0.75,1.0
question_omitted,3,3,11,6,1.0,1.0,1.0,0.9167,0.75,1.0
question_omitted,3,3,12,6,1.0,1.0,1.0,0.9167,0.75,1.0
question_omitted,5,5,0,30,0.9653,0.9264,0.9944,0.9333,0.8833,0.975
question_omitted,5,5,1,30,0.9722,0.9389,1.0,0.9167,0.8361,0.9778
question_omitted,5,5,2,30,0.9778,0.95,1.0,0.9,0.8139,0.9694
question_omitted,5,5,3,30,0.9778,0.95,1.0,0.9,0.8139,0.9694
question_omitted,5,5,4,30,0.9778,0.95,1.0,0.8944,0.8083,0.9611
question_omitted,5,5,5,30,0.9778,0.95,1.0,0.8944,0.8083,0.9611
question_omitted,5,5,6,30,0.9694,0.9278,1.0,0.9111,0.8278,0.9722
question_omitted,5,5,7,14,0.9464,0.8571,1.0,0.9107,0.8036,1.0
question_omitted,5,5,8,14,0.9464,0.8571,1.0,0.9107,0.8036,1.0
question_omitted,5,5,9,14,0.9464,0.8571,1.0,0.9107,0.8036,1.0
question_omitted,5,5,10,14,0.9464,0.8571,1.0,0.9107,0.8036,1.0
question_omitted,5,5,11,14,0.9464,0.8571,1.0,0.9107,0.8036,1.0
question_omitted,5,5,12,14,0.9464,0.8571,1.0,0.9107,0.8036,1.0
question_omitted,5,5,13,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,5,5,14,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,5,5,15,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,5,5,16,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,5,5,17,6,1.0,1.0,1.0,1.0,1.0,1.0
question_omitted,5,5,18,6,1.0,1.0,1.0,1.0,1.0,1.0
