comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,2,em,0.0,-0.2,0.2,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,3,em,-0.05,-0.2,0.1,0.77,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,4,em,0.0,-0.25,0.25,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,5,em,-0.1,-0.25,0.0,0.2561,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,6,em,-0.15,-0.35,0.05,0.2328,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,2,f1,-0.0026984126984126943,-0.1376984126984127,0.11607142857142856,0.9639,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,3,f1,-0.005555555555555552,-0.13555555555555557,0.09444444444444446,0.9312,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,4,f1,-0.010833333333333323,-0.155,0.11416666666666667,0.8691,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,5,f1,-0.023333333333333327,-0.15,0.07333333333333333,0.7096,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,6,f1,-0.07666666666666666,-0.24333333333333332,0.06999999999999999,0.3482,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,2,judge_correct,-0.05,-0.2,0.1,0.761,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,3,judge_correct,-0.05,-0.2,0.1,0.7657,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,4,judge_correct,0.0,-0.15,0.15,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,5,judge_correct,-0.05,-0.15,0.0,0.629,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,primary,6,judge_correct,-0.1,-0.3,0.1,0.4337,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,2,em,-0.05,-0.25,0.15,0.8216,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,3,em,-0.1,-0.3,0.1,0.4333,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,4,em,0.0,-0.25,0.25,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,5,em,-0.1,-0.3,0.1,0.4265,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,6,em,-0.2,-0.45,0.0,0.1192,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,2,f1,-0.025555555555555547,-0.16055555555555556,0.08944444444444445,0.6955,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,3,f1,-0.04222222222222223,-0.16666666666666669,0.05333333333333332,0.4716,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,4,f1,0.02666666666666666,-0.1075,0.16,0.6887,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,target,secondary,5,f1,-0.02916666666666668,-0.16333333333333336,0.0875,0.6604,20
