query_type,depth,n_family_transitions,n_rows,n_arms,arms,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
target,1,0,340,17,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_alt_xfam,size_down_samefam,size_down_xfam,size_up_samefam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.782,0.6889,0.8683,0.8882,0.8206,0.9471
target,2,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.7338,0.6397,0.8195,0.8864,0.8273,0.9409
target,2,1,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.7371,0.6128,0.8542,0.8667,0.75,0.9583
target,3,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.7058,0.6011,0.8029,0.8818,0.8136,0.9364
target,3,2,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.7026,0.5726,0.8261,0.8583,0.7333,0.9667
target,4,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.6989,0.5941,0.7941,0.8727,0.8045,0.9273
target,4,3,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.7264,0.6132,0.8319,0.8583,0.7583,0.9417
target,5,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.705,0.5927,0.8064,0.8682,0.7955,0.9273
target,5,4,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.7182,0.5925,0.8346,0.8583,0.7417,0.95
target,6,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.7062,0.5983,0.8012,0.8682,0.8091,0.9182
target,6,5,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.6864,0.5592,0.8058,0.8583,0.75,0.95
heldout,1,0,340,17,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_alt_xfam,size_down_samefam,size_down_xfam,size_up_samefam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.2949,0.1822,0.4273,0.3588,0.2382,0.4971
heldout,2,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.3562,0.2405,0.4844,0.4045,0.2864,0.5364
heldout,2,1,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.2543,0.1224,0.4021,0.3167,0.1667,0.4833
heldout,3,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.3,0.1985,0.4158,0.3773,0.2545,0.5136
heldout,3,2,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.2706,0.129,0.4293,0.2917,0.1417,0.4583
heldout,4,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.3493,0.2321,0.4759,0.4091,0.2773,0.55
heldout,4,3,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.2581,0.1243,0.4112,0.2917,0.1417,0.4583
heldout,5,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.3175,0.1994,0.45,0.3636,0.2318,0.5047
heldout,5,4,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.2481,0.1259,0.3884,0.2833,0.1417,0.4417
heldout,6,0,220,11,"homog_large_gemma,homog_large_llama,homog_large_mistral,homog_large_qwen,homog_small_gemma,homog_small_llama,homog_small_mistral,homog_small_qwen,size_alt_samefam,size_down_samefam,size_up_samefam",0.3014,0.1964,0.4235,0.3636,0.2455,0.5
heldout,6,5,120,6,"size_alt_xfam,size_down_xfam,size_up_xfam,xfam_large_fwd,xfam_small_fwd,xfam_small_rev",0.3016,0.1675,0.4477,0.3333,0.1917,0.4917
