chain_id,arm,block,derived,pair_id,stage,depth,model_id,model_key,family,tier,parameters_b,from_model_key,from_parameters_b,transition_type,family_changed,size_direction,size_ratio,log_size_change,handoff_prompt_tokens,handoff_completion_tokens,handoff_cost_usd,handoff_provider,handoff_finish_reason,previous_characters,handoff_characters,handoff_tokens,length_ratio,lexical_similarity,novel_token_rate,ngram_copy_rate,semantic_preserved,semantic_verdict,fact_A_survived,fact_B_survived,transition_label_target,transition_label_heldout,answerer_role,answerer_model_id,target_pred,target_em,target_f1,target_judge_correct,heldout_pred,heldout_f1,heldout_judge_correct,answer_prompt_tokens,answer_completion_tokens
homog_small_llama::56e1c720e3433e140042316a__56e1c720e3433e140042316b,homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,1,1,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,,,source_to_first_agent,,none,,,1829,48,3.898e-05,Novita,stop,8197,228,30,0.0278,0.0405,0.1667,0.0,0.5,MINOR_LOSS,0,0,semantic_drift,information_loss,primary,meta-llama/llama-3.1-8b-instruct,DTIME(n^2),0.0,0.0,1,DTIME(n),0.0,0,,
homog_small_llama::56e1c720e3433e140042316a__56e1c720e3433e140042316b,homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,2,2,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,185,46,6e-06,Novita,stop,228,219,28,0.9605,0.931,0.0357,0.7917,1.0,EQUIVALENT,0,0,critical_detail_loss,critical_detail_loss,primary,meta-llama/llama-3.1-8b-instruct,DTIME(n^2),0.0,0.0,1,DTIME(n^k),0.0,0,,
homog_small_llama::56e1c720e3433e140042316a__56e1c720e3433e140042316b,homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,3,3,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,183,82,7.76e-06,Novita,stop,219,357,51,1.6301,0.557,0.5686,0.0,1.0,EQUIVALENT,0,0,critical_detail_loss,critical_detail_loss,primary,meta-llama/llama-3.1-8b-instruct,DTIME(n^2),0.0,0.0,1,n,0.0,0,,
homog_small_llama::56e1c720e3433e140042316a__56e1c720e3433e140042316b,homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,4,4,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,219,93,9.03e-06,Novita,stop,357,386,52,1.0812,0.7184,0.2885,0.3333,1.0,EQUIVALENT,0,0,critical_detail_loss,critical_detail_loss,primary,meta-llama/llama-3.1-8b-instruct,DTIME(n^2),0.0,0.0,1,DTIME(n),0.0,0,,
homog_small_llama::56e1c720e3433e140042316a__56e1c720e3433e140042316b,homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,5,5,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,230,171,1.144e-05,DeepInfra,stop,386,791,107,2.0492,0.6541,0.514,0.4951,1.0,EQUIVALENT,0,0,critical_detail_loss,critical_detail_loss,primary,meta-llama/llama-3.1-8b-instruct,DTIME(n^2),0.0,0.0,1,DTIME(n),0.0,0,,
homog_small_llama::56e1c720e3433e140042316a__56e1c720e3433e140042316b,homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,6,6,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,327,171,3.003e-05,Groq,stop,791,791,107,1.0,1.0,0.0,1.0,1.0,EQUIVALENT,0,0,verbatim_copy,verbatim_copy,primary,meta-llama/llama-3.1-8b-instruct,DTIME(n^2),0.0,0.0,1,DTIME(n),0.0,0,,
homog_small_llama::5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,homog_small_llama,matched_small,False,5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,1,1,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,,,source_to_first_agent,,none,,,1774,46,3.732e-05,DeepInfra,stop,8002,194,28,0.0242,0.0475,0.0,0.9583,0.0,MAJOR_LOSS,1,0,semantic_drift,information_loss,primary,meta-llama/llama-3.1-8b-instruct,Apollo X,1.0,1.0,1,Earth,0.0,0,,
homog_small_llama::5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,homog_small_llama,matched_small,False,5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,2,2,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,175,50,5.5e-06,DeepInfra,stop,194,231,34,1.1907,0.7742,0.2941,0.3667,1.0,EQUIVALENT,1,0,benign_paraphrase,critical_detail_loss,primary,meta-llama/llama-3.1-8b-instruct,Apollo X,1.0,1.0,1,Earth,0.0,0,,
homog_small_llama::5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,homog_small_llama,matched_small,False,5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,3,3,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,179,56,5.82e-06,DeepInfra,stop,231,244,36,1.0563,0.9714,0.0556,0.8125,1.0,EQUIVALENT,1,0,verbatim_copy,verbatim_copy,primary,meta-llama/llama-3.1-8b-instruct,Apollo Extension Series (Apollo X),0.0,0.7499999999999999,1,Jupiter,0.0,0,,
homog_small_llama::5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,homog_small_llama,matched_small,False,5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,4,4,meta-llama/llama-3.1-8b-instruct,llama_small,llama,small,8.0,llama_small,8.0,same_family_size_same,False,same,1.0,0.0,186,66,7.02e-06,Novita,stop,244,298,43,1.2213,0.8608,0.2093,0.3333,1.0,EQUIVALENT,1,0,benign_paraphrase,critical_detail_loss,primary,meta-llama/llama-3.1-8b-instruct,Apollo X,1.0,1.0,1,Venus,1.0,1,,
