comparison,treatment,control,measure,treatment_mean,control_mean,delta,lo,hi,p_value,n
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,lexical_similarity,0.7098,0.873,-0.16314189917961835,-0.2003854152891973,-0.1306439886619183,0.0,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,novel_token_rate,0.2761,0.1141,0.1620150065343871,0.13184364116784003,0.1949339306054903,0.0,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,retained_token_rate,0.7502,0.8715,-0.12133446239094062,-0.15966672069991872,-0.08761509271369788,0.0,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,ngram_copy_rate,0.34,0.6074,-0.2673715010417877,-0.3140003188771053,-0.21872230754785865,0.0,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,length_ratio,1.2777,1.0143,0.263379097701276,0.14035890127111944,0.39402436366713245,0.0002,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,current_characters,428.7136,475.7854,-47.071723943712264,-114.88226672852565,19.214514586841553,0.1735,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,semantic_preserved,0.9399,0.9889,-0.04892578070249209,-0.08803756466433532,-0.015326431427647051,0.0083,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,fact_A_survived,0.7051,0.8209,-0.11581712125884189,-0.23755918372889062,-0.006302328616881133,0.0476,20
cross_vs_same_family_at_matched_size,cross_family_size_same,same_family_size_same,fact_B_survived,0.1571,0.2542,-0.09707488106250826,-0.17300420755142942,-0.02009266555888608,0.0121,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,lexical_similarity,0.7007,0.8249,-0.124196196969697,-0.16678353229166662,-0.07891596657196975,0.0,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,novel_token_rate,0.2915,0.1712,0.12029680808080807,0.06945097493686872,0.1678673232954545,0.0,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,retained_token_rate,0.7322,0.8344,-0.10216377020202021,-0.14253633857323234,-0.061357049494949446,0.0,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,ngram_copy_rate,0.2139,0.4559,-0.24205876767676768,-0.37352047020202017,-0.11914570839646468,0.0004,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,length_ratio,1.2121,1.0201,0.19201745580808077,0.07160155438762632,0.3178852973800505,0.0028,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,current_characters,407.603,421.1417,-13.538686868686863,-96.85006186868686,61.35268150252525,0.7385,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,semantic_preserved,0.9835,0.9875,-0.00402777777777778,-0.030277777777777782,0.030010416666666515,0.7922,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,fact_A_survived,0.7395,0.7917,-0.05213383838383837,-0.1892200126262626,0.059280934343434344,0.4127,20
cross_vs_same_family_when_growing,cross_family_size_larger,same_family_size_larger,fact_B_survived,0.1638,0.15,0.013750000000000002,-0.03,0.06625,0.5824,20
