scope,transition_type,to_stage,family_changed,size_direction,n_edges,n_pairs,lexical_similarity,lexical_similarity_lo,lexical_similarity_hi,novel_token_rate,novel_token_rate_lo,novel_token_rate_hi,retained_token_rate,retained_token_rate_lo,retained_token_rate_hi,ngram_copy_rate,ngram_copy_rate_lo,ngram_copy_rate_hi,length_ratio,length_ratio_lo,length_ratio_hi,current_characters,current_characters_lo,current_characters_hi,semantic_preserved,semantic_preserved_lo,semantic_preserved_hi,fact_A_survived,fact_A_survived_lo,fact_A_survived_hi,fact_B_survived,fact_B_survived_lo,fact_B_survived_hi
by_type,cross_family_size_larger,all,True,larger,192,20,0.7007,0.6676,0.7321,0.2915,0.2553,0.3319,0.7322,0.703,0.7596,0.2139,0.1696,0.2596,1.2121,1.0919,1.3425,407.603,332.0496,490.4461,0.9835,0.9667,0.9975,0.7395,0.5761,0.8856,0.1638,0.0375,0.3225
by_type,cross_family_size_same,all,True,same,185,20,0.7098,0.6707,0.7475,0.2761,0.2415,0.3123,0.7502,0.7091,0.7886,0.34,0.293,0.3852,1.2777,1.1645,1.4029,428.7136,349.6066,510.6881,0.9399,0.9017,0.9731,0.7051,0.5358,0.8599,0.1571,0.0325,0.3097
by_type,cross_family_size_smaller,all,True,smaller,211,20,0.7786,0.7557,0.8015,0.186,0.1597,0.2119,0.7742,0.7474,0.8006,0.4057,0.3546,0.4593,0.9912,0.9407,1.0439,421.3463,340.8791,504.4143,0.9746,0.9496,0.9936,0.8162,0.6939,0.9187,0.1687,0.0459,0.3203
by_type,same_family_size_larger,all,False,larger,77,20,0.8249,0.7781,0.8713,0.1712,0.1222,0.2236,0.8344,0.7921,0.8773,0.4559,0.3296,0.5941,1.0201,0.9705,1.08,421.1417,306.7272,549.1826,0.9875,0.9625,1.0,0.7917,0.6167,0.9375,0.15,0.0,0.3
by_type,same_family_size_same,all,False,same,944,20,0.873,0.8577,0.8885,0.1141,0.101,0.1273,0.8715,0.8549,0.8878,0.6074,0.5727,0.6434,1.0143,0.9932,1.0445,475.7854,403.825,549.9725,0.9889,0.9819,0.9947,0.8209,0.7346,0.8957,0.2542,0.1468,0.3823
by_type,same_family_size_smaller,all,False,smaller,60,20,0.8445,0.8022,0.8866,0.1305,0.0872,0.1782,0.8514,0.8101,0.8921,0.5642,0.4649,0.6642,1.0695,0.9646,1.1994,453.0333,344.6662,570.1617,0.9417,0.8998,0.975,0.8333,0.6833,0.95,0.1667,0.0333,0.3167
by_type,source_to_first_agent,all,,none,340,20,0.0768,0.0635,0.091,0.1482,0.1218,0.1763,0.0417,0.034,0.0499,0.3507,0.2752,0.4319,0.0555,0.0439,0.0688,440.5265,349.3559,544.6331,0.55,0.4353,0.6632,0.8735,0.8,0.9353,0.2765,0.1559,0.4147
by_type_stage,cross_family_size_larger,2,True,larger,42,20,0.6697,0.6059,0.7292,0.2963,0.2391,0.3583,0.6833,0.6013,0.7575,0.1663,0.0967,0.2406,1.1158,0.9122,1.3379,375.8333,272.2229,505.3681,0.975,0.925,1.0,0.8333,0.6667,0.9833,0.2,0.05,0.4
by_type_stage,cross_family_size_larger,3,True,larger,25,10,0.6893,0.6231,0.7492,0.2887,0.1941,0.3973,0.6968,0.6544,0.7429,0.1557,0.0853,0.2339,1.1968,0.8385,1.6819,415.1,297.6258,541.1367,1.0,1.0,1.0,0.8333,0.6,1.0,0.2,0.0,0.5
by_type_stage,cross_family_size_larger,4,True,larger,55,20,0.6969,0.6386,0.756,0.3028,0.2317,0.3791,0.7393,0.7009,0.7822,0.2581,0.1651,0.3669,1.2412,1.015,1.5173,387.2917,305.6083,476.6194,0.9792,0.9458,1.0,0.6583,0.4583,0.8417,0.1333,0.0167,0.2833
