comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,fixed,target,1,em,0.2,0.0,0.5,0.2334,10
conditioned_minus_generic,switching,target,1,em,0.2,0.0,0.5,0.2334,10
switching_minus_fixed,conditioned,target,1,em,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,1,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,1,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,target,1,f1,0.10222222222222221,-0.19555555555555557,0.42000000000000004,0.4804,10
conditioned_minus_generic,switching,target,1,f1,0.10222222222222221,-0.19555555555555557,0.42000000000000004,0.4804,10
switching_minus_fixed,conditioned,target,1,f1,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,1,f1,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,1,f1,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,target,1,judge_correct,0.1,-0.3,0.5,0.8208,10
conditioned_minus_generic,switching,target,1,judge_correct,0.1,-0.3,0.5,0.8208,10
switching_minus_fixed,conditioned,target,1,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,target,2,em,0.1,-0.2,0.4,0.7682,10
conditioned_minus_generic,switching,target,2,em,0.0,-0.4,0.4,1.0,10
switching_minus_fixed,conditioned,target,2,em,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,2,em,0.1,0.0,0.3,0.6084,10
conditioning_x_switching_interaction,factorial,target,2,em,-0.1,-0.3,0.0,0.6112,10
conditioned_minus_generic,fixed,target,2,f1,0.06285714285714286,-0.2742857142857143,0.4,0.7716,10
conditioned_minus_generic,switching,target,2,f1,0.10666666666666665,-0.1733333333333333,0.4333333333333333,0.4717,10
switching_minus_fixed,conditioned,target,2,f1,0.08666666666666667,0.0,0.22000000000000003,0.2047,10
switching_minus_fixed,generic,target,2,f1,0.04285714285714285,0.0,0.12857142857142856,0.6084,10
conditioning_x_switching_interaction,factorial,target,2,f1,0.04380952380952381,-0.06857142857142855,0.2,0.6282,10
conditioned_minus_generic,fixed,target,2,judge_correct,0.1,-0.3,0.5,0.8309,10
conditioned_minus_generic,switching,target,2,judge_correct,0.0,-0.4,0.4,1.0,10
switching_minus_fixed,conditioned,target,2,judge_correct,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,generic,target,2,judge_correct,0.1,0.0,0.3,0.6084,10
conditioning_x_switching_interaction,factorial,target,2,judge_correct,-0.1,-0.6,0.3,0.8426,10
conditioned_minus_generic,fixed,target,3,em,0.2,0.0,0.5,0.2334,10
conditioned_minus_generic,switching,target,3,em,0.1,-0.2,0.4,0.7682,10
switching_minus_fixed,conditioned,target,3,em,-0.1,-0.3,0.0,0.6091,10
switching_minus_fixed,generic,target,3,em,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,target,3,em,-0.1,-0.3,0.0,0.6079,10
conditioned_minus_generic,fixed,target,3,f1,0.15333333333333335,-0.09333333333333332,0.4533333333333333,0.2469,10
conditioned_minus_generic,switching,target,3,f1,0.16666666666666666,-0.06666666666666668,0.4666666666666666,0.2556,10
switching_minus_fixed,conditioned,target,3,f1,0.026666666666666672,-0.24,0.26,0.8763,10
