arm,conditioning,schedule,query_type,depth,n,summary_characters_mean,language_match_rate,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned_fixed,conditioned,fixed,heldout,1,10,883.6,0.9,0.6,0.3,0.9,0.6,0.3,0.9,0.9,0.7,1.0
conditioned_fixed,conditioned,fixed,heldout,2,10,1025.7,1.0,0.5,0.2,0.8,0.5,0.2,0.8,0.8,0.5,1.0
conditioned_fixed,conditioned,fixed,heldout,3,10,1119.7,1.0,0.5,0.2,0.8,0.5,0.2,0.8,0.9,0.7,1.0
conditioned_fixed,conditioned,fixed,heldout,4,10,1137.9,1.0,0.4,0.1,0.7,0.45,0.15,0.75,0.9,0.7,1.0
conditioned_fixed,conditioned,fixed,heldout,5,10,1195.4,1.0,0.4,0.1,0.7,0.4,0.1,0.7,0.8,0.5,1.0
conditioned_fixed,conditioned,fixed,heldout,6,10,1172.0,1.0,0.5,0.2,0.8,0.5,0.2,0.8,0.8,0.5,1.0
conditioned_fixed,conditioned,fixed,target,1,10,883.6,0.9,0.3,0.0,0.6,0.3222,0.0667,0.6222,0.6,0.3,0.9
conditioned_fixed,conditioned,fixed,target,2,10,1025.7,1.0,0.3,0.0,0.6,0.32,0.06,0.62,0.5,0.2,0.8
conditioned_fixed,conditioned,fixed,target,3,10,1119.7,1.0,0.3,0.0,0.6,0.32,0.06,0.62,0.6,0.3,0.9
conditioned_fixed,conditioned,fixed,target,4,10,1137.9,1.0,0.3,0.0,0.6,0.32,0.06,0.62,0.5,0.2,0.8
conditioned_fixed,conditioned,fixed,target,5,10,1195.4,1.0,0.3,0.0,0.6,0.3333,0.1,0.6333,0.5,0.2,0.8
conditioned_fixed,conditioned,fixed,target,6,10,1172.0,1.0,0.3,0.0,0.6,0.32,0.06,0.62,0.6,0.3,0.9
conditioned_switching,conditioned,switching,heldout,1,10,883.6,0.9,0.6,0.3,0.9,0.6,0.3,0.9,0.9,0.7,1.0
conditioned_switching,conditioned,switching,heldout,2,10,967.0,1.0,0.3,0.0,0.6,0.34,0.08,0.64,0.8,0.5,1.0
conditioned_switching,conditioned,switching,heldout,3,10,1244.6,1.0,0.2,0.0,0.5,0.25,0.0,0.5,0.9,0.7,1.0
conditioned_switching,conditioned,switching,heldout,4,10,1007.6,1.0,0.3,0.0,0.6,0.35,0.1,0.65,0.9,0.7,1.0
conditioned_switching,conditioned,switching,heldout,5,10,1037.9,1.0,0.4,0.1,0.7,0.4,0.1,0.7,0.7,0.4,1.0
conditioned_switching,conditioned,switching,heldout,6,10,979.9,0.9,0.2,0.0,0.5,0.2786,0.0571,0.5357,0.8,0.5,1.0
conditioned_switching,conditioned,switching,target,1,10,883.6,0.9,0.3,0.0,0.6,0.3222,0.0667,0.6222,0.6,0.3,0.9
conditioned_switching,conditioned,switching,target,2,10,967.0,1.0,0.3,0.0,0.6,0.4067,0.14,0.68,0.5,0.2,0.8
conditioned_switching,conditioned,switching,target,3,10,1244.6,1.0,0.2,0.0,0.5,0.3467,0.1,0.6267,0.5,0.2,0.8
conditioned_switching,conditioned,switching,target,4,10,1007.6,1.0,0.2,0.0,0.5,0.3752,0.1286,0.6419,0.6,0.3,0.9
conditioned_switching,conditioned,switching,target,5,10,1037.9,1.0,0.3,0.0,0.6,0.3667,0.1,0.6333,0.5,0.2,0.8
conditioned_switching,conditioned,switching,target,6,10,979.9,0.9,0.2,0.0,0.5,0.34,0.1067,0.6,0.5,0.2,0.8
direct,direct,direct,heldout,0,10,8088.8,,0.9,0.7,1.0,0.9,0.7,1.0,0.9,0.7,1.0
direct,direct,direct,target,0,10,8088.8,,0.8,0.5,1.0,0.875,0.675,1.0,1.0,1.0,1.0
generic_fixed,generic,fixed,heldout,1,10,1655.5,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_fixed,generic,fixed,heldout,2,10,1446.4,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_fixed,generic,fixed,heldout,3,10,1443.6,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_fixed,generic,fixed,heldout,4,10,1433.1,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_fixed,generic,fixed,heldout,5,10,1451.5,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_fixed,generic,fixed,heldout,6,10,1476.7,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_fixed,generic,fixed,target,1,10,1655.5,1.0,0.1,0.0,0.3,0.22,0.0,0.46,0.5,0.2,0.8
generic_fixed,generic,fixed,target,2,10,1446.4,1.0,0.2,0.0,0.5,0.2571,0.0,0.5143,0.4,0.1,0.7
generic_fixed,generic,fixed,target,3,10,1443.6,1.0,0.1,0.0,0.3,0.1667,0.0,0.4,0.4,0.1,0.7
generic_fixed,generic,fixed,target,4,10,1433.1,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.3,0.0,0.6
generic_fixed,generic,fixed,target,5,10,1451.5,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.3,0.0,0.6
generic_fixed,generic,fixed,target,6,10,1476.7,1.0,0.2,0.0,0.5,0.2667,0.0,0.5333,0.4,0.1,0.7
generic_switching,generic,switching,heldout,1,10,1655.5,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.5
generic_switching,generic,switching,heldout,2,10,1418.8,0.9,0.1,0.0,0.3,0.1,0.0,0.3,0.3,0.0,0.6
generic_switching,generic,switching,heldout,3,10,1275.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3
generic_switching,generic,switching,heldout,4,10,1106.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3
generic_switching,generic,switching,heldout,5,10,1155.6,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.1,0.0,0.3
generic_switching,generic,switching,heldout,6,10,1144.0,1.0,0.1,0.0,0.3,0.1,0.0,0.3,0.1,0.0,0.3
generic_switching,generic,switching,target,1,10,1655.5,1.0,0.1,0.0,0.3,0.22,0.0,0.46,0.5,0.2,0.8
generic_switching,generic,switching,target,2,10,1418.8,0.9,0.3,0.0,0.6,0.3,0.0,0.6,0.5,0.2,0.8
generic_switching,generic,switching,target,3,10,1275.1,1.0,0.1,0.0,0.3,0.18,0.0,0.42,0.3,0.0,0.6
generic_switching,generic,switching,target,4,10,1106.6,0.9,0.1,0.0,0.3,0.1667,0.0,0.4,0.2,0.0,0.5
generic_switching,generic,switching,target,5,10,1155.6,1.0,0.1,0.0,0.3,0.1667,0.0,0.4,0.2,0.0,0.5
generic_switching,generic,switching,target,6,10,1144.0,1.0,0.0,0.0,0.0,0.0667,0.0,0.2,0.2,0.0,0.5
