comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,fixed,target,1,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,switching,target,1,em,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,conditioned,target,1,em,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,1,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,1,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,target,1,f1,0.06071428571428571,-0.23928571428571427,0.3607142857142857,0.7571,10
conditioned_minus_generic,switching,target,1,f1,0.06071428571428571,-0.23928571428571427,0.3607142857142857,0.7571,10
switching_minus_fixed,conditioned,target,1,f1,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,1,f1,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,1,f1,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,target,1,judge_correct,0.1,-0.2,0.4,0.7668,10
conditioned_minus_generic,switching,target,1,judge_correct,0.1,-0.2,0.4,0.7668,10
switching_minus_fixed,conditioned,target,1,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,target,2,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,switching,target,2,em,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,conditioned,target,2,em,0.1,0.0,0.3,0.6102,10
switching_minus_fixed,generic,target,2,em,0.1,0.0,0.3,0.6104,10
conditioning_x_switching_interaction,factorial,target,2,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,target,2,f1,-0.002777777777777779,-0.008333333333333337,0.0,0.6062,10
conditioned_minus_generic,switching,target,2,f1,0.10666666666666666,-0.12,0.36666666666666664,0.3979,10
switching_minus_fixed,conditioned,target,2,f1,0.18444444444444444,0.0,0.40888888888888886,0.0816,10
switching_minus_fixed,generic,target,2,f1,0.075,-0.075,0.3,0.6062,10
conditioning_x_switching_interaction,factorial,target,2,f1,0.10944444444444446,-0.12,0.37777777777777777,0.3966,10
conditioned_minus_generic,fixed,target,2,judge_correct,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,switching,target,2,judge_correct,-0.2,-0.6,0.3,0.5341,10
switching_minus_fixed,conditioned,target,2,judge_correct,-0.1,-0.4,0.2,0.7627,10
switching_minus_fixed,generic,target,2,judge_correct,0.1,0.0,0.3,0.6197,10
conditioning_x_switching_interaction,factorial,target,2,judge_correct,-0.2,-0.6,0.2,0.4196,10
conditioned_minus_generic,fixed,target,3,em,0.1,0.0,0.3,0.6098,10
conditioned_minus_generic,switching,target,3,em,-0.1,-0.3,0.0,0.6166,10
switching_minus_fixed,conditioned,target,3,em,-0.2,-0.5,0.0,0.2272,10
switching_minus_fixed,generic,target,3,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,3,em,-0.2,-0.5,0.0,0.2259,10
conditioned_minus_generic,fixed,target,3,f1,0.09722222222222222,-0.008333333333333337,0.3,0.6007,10
conditioned_minus_generic,switching,target,3,f1,-0.07333333333333333,-0.33999999999999997,0.15999999999999998,0.5321,10
switching_minus_fixed,conditioned,target,3,f1,-0.11555555555555556,-0.41555555555555557,0.15333333333333335,0.4283,10
switching_minus_fixed,generic,target,3,f1,0.05500000000000001,-0.075,0.24000000000000005,0.6062,10
conditioning_x_switching_interaction,factorial,target,3,f1,-0.17055555555555554,-0.48,0.10883333333332605,0.2443,10
conditioned_minus_generic,fixed,target,3,judge_correct,0.1,-0.2,0.4,0.7668,10
conditioned_minus_generic,switching,target,3,judge_correct,-0.1,-0.4,0.2,0.7599,10
switching_minus_fixed,conditioned,target,3,judge_correct,-0.2,-0.5,0.0,0.2225,10
switching_minus_fixed,generic,target,3,judge_correct,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,target,3,judge_correct,-0.2,-0.5,0.0,0.2226,10
conditioned_minus_generic,fixed,target,4,em,0.1,0.0,0.3,0.6098,10
conditioned_minus_generic,switching,target,4,em,-0.1,-0.3,0.0,0.612,10
switching_minus_fixed,conditioned,target,4,em,-0.2,-0.5,0.0,0.2265,10
switching_minus_fixed,generic,target,4,em,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,target,4,em,-0.2,-0.5,0.0,0.2279,10
conditioned_minus_generic,fixed,target,4,f1,0.09722222222222222,-0.008333333333333337,0.3,0.6007,10
conditioned_minus_generic,switching,target,4,f1,-0.11333333333333333,-0.31333333333333335,0.0,0.2194,10
switching_minus_fixed,conditioned,target,4,f1,-0.15555555555555559,-0.45555555555555555,0.11111111111111112,0.3221,10
switching_minus_fixed,generic,target,4,f1,0.05500000000000001,-0.25,0.37,0.7586,10
conditioning_x_switching_interaction,factorial,target,4,f1,-0.21055555555555555,-0.49722222222222223,0.0,0.0727,10
conditioned_minus_generic,fixed,target,4,judge_correct,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,switching,target,4,judge_correct,-0.1,-0.4,0.2,0.7629,10
switching_minus_fixed,conditioned,target,4,judge_correct,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,generic,target,4,judge_correct,0.1,-0.2,0.4,0.7609,10
conditioning_x_switching_interaction,factorial,target,4,judge_correct,-0.1,-0.6,0.5,0.8483,10
conditioned_minus_generic,fixed,target,5,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,switching,target,5,em,-0.2,-0.6,0.2,0.4311,10
switching_minus_fixed,conditioned,target,5,em,-0.2,-0.5,0.0,0.2265,10
switching_minus_fixed,generic,target,5,em,0.0,-0.4,0.4,1.0,10
conditioning_x_switching_interaction,factorial,target,5,em,-0.2,-0.6,0.2,0.4313,10
conditioned_minus_generic,fixed,target,5,f1,-0.002777777777777779,-0.30277777777777776,0.2972222222222222,0.8674,10
conditioned_minus_generic,switching,target,5,f1,-0.12166666666666667,-0.425,0.2,0.4423,10
