arm,conditioning,schedule,query_type,depth,n,summary_characters_mean,summary_words_mean,language_match_rate,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned_fixed,conditioned,fixed,heldout,1,10,695.6,104.1,1.0,0.2,0.0,0.5,0.2,0.0,0.5,0.5,0.2,0.8
conditioned_fixed,conditioned,fixed,heldout,2,10,550.1,81.3,1.0,0.2,0.0,0.5,0.2,0.0,0.5,0.4,0.1,0.7
conditioned_fixed,conditioned,fixed,heldout,3,10,557.6,82.5,1.0,0.2,0.0,0.5,0.25,0.0,0.5,0.4,0.1,0.7
conditioned_fixed,conditioned,fixed,heldout,4,10,574.0,85.0,1.0,0.3,0.0,0.6,0.3,0.0,0.6,0.4,0.1,0.7
conditioned_fixed,conditioned,fixed,heldout,5,10,553.2,82.5,1.0,0.2,0.0,0.5,0.2,0.0,0.5,0.4,0.1,0.7
conditioned_fixed,conditioned,fixed,heldout,6,10,567.4,84.8,1.0,0.2,0.0,0.5,0.2,0.0,0.5,0.4,0.1,0.7
conditioned_fixed,conditioned,fixed,target,1,10,695.6,104.1,1.0,0.4,0.1,0.7,0.4857,0.1857,0.7857,0.8,0.5,1.0
conditioned_fixed,conditioned,fixed,target,2,10,550.1,81.3,1.0,0.3,0.0,0.6,0.3222,0.0667,0.6222,0.7,0.4,1.0
conditioned_fixed,conditioned,fixed,target,3,10,557.6,82.5,1.0,0.4,0.1,0.7,0.4222,0.1222,0.7222,0.8,0.5,1.0
conditioned_fixed,conditioned,fixed,target,4,10,574.0,85.0,1.0,0.4,0.1,0.7,0.4222,0.1222,0.7222,0.7,0.4,1.0
conditioned_fixed,conditioned,fixed,target,5,10,553.2,82.5,1.0,0.4,0.1,0.7,0.4222,0.1222,0.7222,0.6,0.3,0.9
conditioned_fixed,conditioned,fixed,target,6,10,567.4,84.8,1.0,0.4,0.1,0.7,0.4222,0.1222,0.7222,0.6,0.3,0.9
conditioned_switching,conditioned,switching,heldout,1,10,695.6,104.1,1.0,0.2,0.0,0.5,0.2,0.0,0.5,0.5,0.2,0.8
conditioned_switching,conditioned,switching,heldout,2,10,656.7,101.2,0.9,0.4,0.1,0.7,0.4,0.1,0.7,0.6,0.3,0.9
conditioned_switching,conditioned,switching,heldout,3,10,678.6,103.7,1.0,0.2,0.0,0.5,0.2,0.0,0.5,0.6,0.3,0.9
conditioned_switching,conditioned,switching,heldout,4,10,610.6,92.5,0.9,0.2,0.0,0.5,0.2,0.0,0.5,0.5,0.2,0.8
conditioned_switching,conditioned,switching,heldout,5,10,677.1,99.5,1.0,0.3,0.0,0.6,0.3,0.0,0.6,0.6,0.3,0.9
conditioned_switching,conditioned,switching,heldout,6,10,673.4,102.6,1.0,0.3,0.0,0.6,0.3833,0.1333,0.65,0.6,0.3,0.9
conditioned_switching,conditioned,switching,target,1,10,695.6,104.1,1.0,0.4,0.1,0.7,0.4857,0.1857,0.7857,0.8,0.5,1.0
