arm,conditioning,schedule,query_type,depth,n,summary_characters_mean,language_match_rate,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned_fixed,conditioned,fixed,heldout,1,2,372.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_fixed,conditioned,fixed,heldout,2,2,403.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditioned_fixed,conditioned,fixed,heldout,3,2,385.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditioned_fixed,conditioned,fixed,heldout,4,2,396.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditioned_fixed,conditioned,fixed,heldout,5,2,396.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_fixed,conditioned,fixed,heldout,6,2,459.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_fixed,conditioned,fixed,target,1,2,372.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_fixed,conditioned,fixed,target,2,2,403.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_fixed,conditioned,fixed,target,3,2,385.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_fixed,conditioned,fixed,target,4,2,396.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_fixed,conditioned,fixed,target,5,2,396.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_fixed,conditioned,fixed,target,6,2,459.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_switching,conditioned,switching,heldout,1,2,372.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_switching,conditioned,switching,heldout,2,2,411.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_switching,conditioned,switching,heldout,3,2,421.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_switching,conditioned,switching,heldout,4,2,585.5,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_switching,conditioned,switching,heldout,5,2,451.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_switching,conditioned,switching,heldout,6,2,413.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
conditioned_switching,conditioned,switching,target,1,2,372.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_switching,conditioned,switching,target,2,2,411.5,1.0,0.0,0.0,0.0,0.375,0.0,0.75,1.0,1.0,1.0
conditioned_switching,conditioned,switching,target,3,2,421.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_switching,conditioned,switching,target,4,2,585.5,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
conditioned_switching,conditioned,switching,target,5,2,451.5,1.0,0.0,0.0,0.0,0.375,0.0,0.75,1.0,1.0,1.0
conditioned_switching,conditioned,switching,target,6,2,413.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0
direct,direct,direct,heldout,0,2,848.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
direct,direct,direct,target,0,2,848.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
generic_fixed,generic,fixed,heldout,1,2,449.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_fixed,generic,fixed,heldout,2,2,409.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_fixed,generic,fixed,heldout,3,2,387.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_fixed,generic,fixed,heldout,4,2,419.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_fixed,generic,fixed,heldout,5,2,446.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_fixed,generic,fixed,heldout,6,2,469.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_fixed,generic,fixed,target,1,2,449.5,1.0,0.5,0.0,1.0,0.8333,0.6667,1.0,1.0,1.0,1.0
generic_fixed,generic,fixed,target,2,2,409.0,1.0,0.0,0.0,0.0,0.3333,0.0,0.6667,1.0,1.0,1.0
generic_fixed,generic,fixed,target,3,2,387.5,1.0,0.0,0.0,0.0,0.3333,0.0,0.6667,1.0,1.0,1.0
generic_fixed,generic,fixed,target,4,2,419.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
generic_fixed,generic,fixed,target,5,2,446.0,1.0,0.0,0.0,0.0,0.1667,0.0,0.3333,1.0,1.0,1.0
generic_fixed,generic,fixed,target,6,2,469.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
generic_switching,generic,switching,heldout,1,2,449.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,heldout,2,2,451.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
generic_switching,generic,switching,heldout,3,2,461.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
generic_switching,generic,switching,heldout,4,2,297.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
generic_switching,generic,switching,heldout,5,2,241.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,heldout,6,2,212.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,target,1,2,449.5,1.0,0.5,0.0,1.0,0.8333,0.6667,1.0,1.0,1.0,1.0
generic_switching,generic,switching,target,2,2,451.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,target,3,2,461.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,target,4,2,297.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,target,5,2,241.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
generic_switching,generic,switching,target,6,2,212.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
