condition,signal_ratio,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi
signal_1_0,1.0,0,2,0.5,0.0,1.0,0.8333,0.6667,1.0,0.8555,0.711,1.0
signal_1_0,1.0,1,2,0.5,0.0,1.0,0.8333,0.6667,1.0,0.8181,0.6361,1.0
signal_1_0,1.0,3,2,0.0,0.0,0.0,0.3333,0.0,0.6667,0.6606,0.6101,0.711
signal_1_0,1.0,5,2,0.5,0.0,1.0,0.75,0.5,1.0,0.7739,0.5478,1.0
signal_0_5,0.5,0,2,0.5,0.0,1.0,0.8333,0.6667,1.0,0.8555,0.711,1.0
signal_0_5,0.5,1,2,0.5,0.0,1.0,0.7,0.4,1.0,0.7524,0.5049,1.0
signal_0_5,0.5,3,2,0.5,0.0,1.0,0.7,0.4,1.0,0.7524,0.5049,1.0
signal_0_5,0.5,5,2,0.5,0.0,1.0,0.7,0.4,1.0,0.7441,0.4881,1.0
signal_0_1,0.1,0,2,0.5,0.0,1.0,0.8333,0.6667,1.0,0.8555,0.711,1.0
signal_0_1,0.1,1,2,0.5,0.0,1.0,0.7,0.4,1.0,0.7524,0.5049,1.0
signal_0_1,0.1,3,2,0.5,0.0,1.0,0.8333,0.6667,1.0,0.8555,0.711,1.0
signal_0_1,0.1,5,2,0.5,0.0,1.0,0.7,0.4,1.0,0.7524,0.5049,1.0
