comparison,condition,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,signal_1_0,1,em,-0.1,-0.25,0.0,0.2562,20
depth_minus_depth0,signal_1_0,1,f1,-0.046269841269841266,-0.116984126984127,0.0,0.1257,20
depth_minus_depth0,signal_1_0,1,judge_correct,-0.05,-0.15,0.0,0.6271,20
depth_minus_depth0,signal_1_0,3,em,-0.1,-0.25,0.0,0.2532,20
depth_minus_depth0,signal_1_0,3,f1,-0.0865546218487395,-0.20357142857142857,-0.004411764705882354,0.0785,20
depth_minus_depth0,signal_1_0,3,judge_correct,-0.1,-0.25,0.0,0.2519,20
depth_minus_depth0,signal_1_0,5,em,-0.1,-0.25,0.0,0.2585,20
depth_minus_depth0,signal_1_0,5,f1,-0.09488795518207283,-0.21428571428571427,-0.008333333333333331,0.064,20
depth_minus_depth0,signal_1_0,5,judge_correct,-0.15,-0.3,0.0,0.1068,20
depth_minus_depth0,signal_0_5,1,em,-0.1,-0.25,0.0,0.2491,20
depth_minus_depth0,signal_0_5,1,f1,-0.0472689075630252,-0.11155462184873947,0.0,0.0947,20
depth_minus_depth0,signal_0_5,1,judge_correct,-0.05,-0.15,0.0,0.6232,20
depth_minus_depth0,signal_0_5,3,em,-0.1,-0.25,0.0,0.2569,20
depth_minus_depth0,signal_0_5,3,f1,-0.044047619047619044,-0.12142857142857141,0.0,0.2408,20
depth_minus_depth0,signal_0_5,3,judge_correct,0.0,0.0,0.0,1.0,20
depth_minus_depth0,signal_0_5,5,em,-0.05,-0.15,0.0,0.6321,20
depth_minus_depth0,signal_0_5,5,f1,-0.010714285714285714,-0.03214285714285715,0.0,0.6251,20
depth_minus_depth0,signal_0_5,5,judge_correct,0.0,0.0,0.0,1.0,20
depth_minus_depth0,signal_0_1,1,em,0.0,-0.2,0.2,1.0,20
depth_minus_depth0,signal_0_1,1,f1,0.029583333333333333,-0.13708333333333333,0.2,0.768,20
depth_minus_depth0,signal_0_1,1,judge_correct,0.0,-0.15,0.15,1.0,20
depth_minus_depth0,signal_0_1,3,em,0.1,0.0,0.25,0.2475,20
depth_minus_depth0,signal_0_1,3,f1,0.08142857142857143,-0.030000000000000006,0.23285714285714282,0.2465,20
depth_minus_depth0,signal_0_1,3,judge_correct,0.0,-0.15,0.15,1.0,20
depth_minus_depth0,signal_0_1,5,em,0.05,-0.1,0.2,0.7653,20
depth_minus_depth0,signal_0_1,5,f1,0.03935897435897436,-0.09397435897435899,0.2037756410256402,0.6263,20
depth_minus_depth0,signal_0_1,5,judge_correct,0.05,0.0,0.15,0.6228,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,0,em,0.15,0.0,0.3,0.1017,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,0,f1,0.16250700280112046,0.04441176470588236,0.30620238095238084,0.0139,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,0,judge_correct,0.15,0.0,0.3,0.1077,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,1,em,0.05,-0.1,0.2,0.7643,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,1,f1,0.08665382819794584,-0.029397759103641462,0.2290079365079365,0.1933,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,1,judge_correct,0.1,-0.1,0.3,0.4346,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,3,em,-0.05,-0.2,0.1,0.7627,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,3,f1,-0.005476190476190473,-0.15333333333333335,0.14049404761904735,0.9359,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,3,judge_correct,0.05,-0.1,0.2,0.7647,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,5,em,0.0,-0.2,0.2,1.0,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,5,f1,0.028260073260073258,-0.11904761904761904,0.16525641025641025,0.6929,20
signal_1_0_minus_signal_0_1,signal_1_0_minus_signal_0_1,5,judge_correct,-0.05,-0.2,0.1,0.759,20
