comparison,condition,negative_type,retrieval_condition,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,good,hard,good,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,good,hard,good,1,f1,-0.06957170563321147,-0.16044202373776867,0.008653602687841776,0.1033,20
depth_minus_depth0,good,hard,good,1,bertscore_f1,-0.07367529999999999,-0.16901181749999997,0.010882976249999938,0.105,20
depth_minus_depth0,good,hard,good,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,good,hard,good,3,f1,-0.07464593463679861,-0.15666501456238685,0.003729601919819304,0.0653,20
depth_minus_depth0,good,hard,good,3,bertscore_f1,-0.04841975,-0.10747345750000001,0.0090102625,0.1001,20
depth_minus_depth0,good,hard,good,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,good,hard,good,5,f1,-0.05934308589372217,-0.1253402864353156,0.006172230149225104,0.0753,20
depth_minus_depth0,good,hard,good,5,bertscore_f1,-0.057225099999999994,-0.11039616374999998,-0.010244187500000002,0.0234,20
depth_minus_depth0,medium,hard,medium,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,medium,hard,medium,1,f1,0.00969986064301173,-0.05729142661466868,0.07441281700687265,0.7652,20
depth_minus_depth0,medium,hard,medium,1,bertscore_f1,-0.017858649999999993,-0.09880503249999999,0.05924313625,0.6566,20
depth_minus_depth0,medium,hard,medium,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,medium,hard,medium,3,f1,-0.09255478479672308,-0.19969985330436568,0.0010833040477938687,0.0714,20
depth_minus_depth0,medium,hard,medium,3,bertscore_f1,-0.10878025,-0.21526505999999992,-0.015388913750000028,0.0333,20
depth_minus_depth0,medium,hard,medium,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,medium,hard,medium,5,f1,-0.04632305496402861,-0.1315910717551135,0.0299315323878073,0.254,20
depth_minus_depth0,medium,hard,medium,5,bertscore_f1,-0.062148800000000004,-0.15064538999999996,0.016882928749999946,0.1437,20
depth_minus_depth0,bad,hard,bad,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,bad,hard,bad,1,f1,-0.033440469557947716,-0.1067247832834379,0.012866139072528112,0.3279,20
